name,original_Pincode,lat,lon,county,state,state_code,country
Kaneti,382110,23.002862,72.401259,Ahmadabad,Gujarat,GJ,India
Makhiav,382110,,,,,,
Mankol,382110,22.890405,72.269725,Ahmadabad,Gujarat,GJ,India
Moti Kishol,382110,21.871414,70.153444,Rajkot,Gujarat,GJ,India
Pimpan,382110,,,,,,
Rethal,382110,22.889382,72.188224,Ahmadabad,Gujarat,GJ,India
Sanand,382110,22.989632,72.38545,Ahmadabad,Gujarat,GJ,India
Upardal,382110,22.849865,72.145651,Ahmadabad,Gujarat,GJ,India
Vekaria,382110,21.31661,70.91288,Junagadh,Gujarat,GJ,India
Vinchhiya,382110,22.20947,71.379939,Rajkot,Gujarat,GJ,India
D Cabin,380019,23.1023628,72.5702646,Ahmedabad City Taluka,Gujarat,GJ,India
Railway Colony (Ahmedabad),380019,23.09567075,72.58211624,Ahmedabad City Taluka,Gujarat,GJ,India
Gandhi Ashram (Ahmedabad),380027,23.06016515,72.58063822,Ahmedabad City Taluka,Gujarat,GJ,India
Ghatlodia,380061,23.0848516,72.53032771,Daskroi Taluka,Gujarat,GJ,India
Ghodasar (Ahmedabad),380050,22.9873418,72.611577,Ahmedabad City Taluka,Gujarat,GJ,India
Isanpur,382443,22.9798932,72.5997604,Ahmedabad City Taluka,Gujarat,GJ,India
Juhapura,380055,23.0040778,72.52849647,Ahmedabad City Taluka,Gujarat,GJ,India
Krishnanagar (Ahmedabad),382345,,,,,,
Memnagar,380052,23.0455534,72.5424176,Ahmedabad City Taluka,Gujarat,GJ,India
Kubernagar,382340,23.0750588,72.64197244,Ahmedabad City Taluka,Gujarat,GJ,India
Naroda Road,382345,23.0586915,72.6374085,Ahmedabad City Taluka,Gujarat,GJ,India
Navjivan,380014,23.114943,72.581545,Ahmedabad City Taluka,Gujarat,GJ,India
Saijpur Bogha,382345,22.365751,72.815223,Anand,Gujarat,GJ,India
Noblenagar,382340,,,,,,
N C Market,380002,23.465795,73.113439,Sabar Kantha,Gujarat,GJ,India
Railwaypura,380002,23.655446,72.389027,Mahesana,Gujarat,GJ,India
Revdibazar,380002,,,,,,
Sardarnagar,382475,23.0804289,72.620522,Ahmedabad City Taluka,Gujarat,GJ,India
"
",,,,,,,
