Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
HOSHIARPUR,Overall,0.02,0.03,0.02,5.58,6.85,6.26,14.19,17.49,16.03,12609,31.5896,75.88803
JALANDHAR,General,2.04,3.27,2.71,11.85,14.02,13.05,25.67,31.15,28.72,12610,31.3323762,75.576889
JALANDHAR,OBC,0.0,0.0,0.0,1.59,1.7,1.65,0.0,2.26,0.79,12610,31.3323762,75.576889
JALANDHAR,SC,0.0,0.88,0.22,3.39,4.15,3.79,2.43,4.68,3.61,12610,31.3323762,75.576889
JALANDHAR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12610,31.3323762,75.576889
JALANDHAR,Overall,0.57,1.53,1.08,7.28,8.82,8.11,13.82,18.65,16.43,12610,31.3323762,75.576889
KAPURTHALA,General,1.99,1.24,1.58,11.01,12.55,11.86,30.25,33.67,32.19,12611,31.366586,75.38225
KAPURTHALA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.57,12611,31.366586,75.38225
KAPURTHALA,SC,4.73,3.5,4.09,5.57,7.09,6.36,3.85,8.82,6.49,12611,31.366586,75.38225
KAPURTHALA,ST,22.62,19.47,20.81,0.0,1.64,0.0,9.37,13.51,11.59,12611,31.366586,75.38225
KAPURTHALA,Overall,2.56,1.66,2.08,6.58,7.76,7.22,15.78,21.05,18.69,12611,31.366586,75.38225
LUDHIANA,General,4.7,6.57,5.72,12.15,14.16,13.26,25.74,29.29,27.73,12612,30.9090157,75.851601
LUDHIANA,OBC,0.0,0.12,0.0,2.09,4.04,3.13,3.77,6.75,5.37,12612,30.9090157,75.851601
LUDHIANA,SC,0.72,0.0,0.17,3.42,3.95,3.7,2.66,5.53,4.19,12612,30.9090157,75.851601
LUDHIANA,ST,67.31,72.79,70.42,47.06,64.06,58.16,44.44,68.42,60.71,12612,30.9090157,75.851601
LUDHIANA,Overall,3.23,4.53,3.93,9.09,10.97,10.11,17.9,21.8,20.06,12612,30.9090157,75.851601
MALERKOTLA,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12613,30.52696,75.86633
MALERKOTLA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12613,30.52696,75.86633
MALERKOTLA,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12613,30.52696,75.86633
MALERKOTLA,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12613,30.52696,75.86633
MALERKOTLA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12613,30.52696,75.86633
MANSA,General,2.79,3.43,3.16,9.16,12.83,11.29,27.53,28.49,28.09,12614,29.988294,75.404113
MANSA,OBC,0.0,0.0,0.0,2.51,3.4,2.97,0.0,2.86,1.3,12614,29.988294,75.404113
MANSA,SC,0.36,1.71,1.07,4.54,4.47,4.5,4.45,4.25,4.35,12614,29.988294,75.404113
MANSA,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12614,29.988294,75.404113
MANSA,Overall,1.1,1.81,1.48,6.25,8.45,7.46,15.66,17.55,16.72,12614,29.988294,75.404113
MOGA,General,0.61,1.0,0.83,8.39,9.99,9.29,27.67,29.44,28.67,12615,30.78664,75.19556
MOGA,OBC,0.0,0.0,0.0,0.35,5.56,3.18,0.0,6.13,3.28,12615,30.78664,75.19556
MOGA,SC,0.0,0.0,0.0,0.89,2.2,1.58,4.26,5.56,4.95,12615,30.78664,75.19556
MOGA,ST,0.0,96.55,98.08,0.0,0.0,0.0,0.0,0.0,0.0,12615,30.78664,75.19556
MOGA,Overall,0.0,0.0,0.0,3.92,6.05,5.06,14.62,17.69,16.31,12615,30.78664,75.19556
MOHALI,General,6.51,7.96,7.3,12.86,16.61,14.96,37.16,36.78,36.94,12616,30.450764,76.0484147
MOHALI,OBC,0.0,0.0,0.0,3.97,5.11,4.6,6.98,5.02,5.91,12616,30.450764,76.0484147
MOHALI,SC,0.38,0.0,0.0,2.06,3.34,2.74,3.72,6.4,5.18,12616,30.450764,76.0484147
MOHALI,ST,43.48,35.38,38.74,43.75,34.37,37.5,0.0,0.0,0.0,12616,30.450764,76.0484147
MOHALI,Overall,4.11,4.93,4.55,9.03,12.13,10.74,24.21,25.07,24.7,12616,30.450764,76.0484147
MUKTSAR,General,4.44,5.82,5.24,11.07,13.81,12.68,29.28,30.45,29.97,12617,30.50036,74.55546
MUKTSAR,OBC,0.0,0.0,0.0,0.96,5.12,3.21,1.87,5.26,3.65,12617,30.50036,74.55546
MUKTSAR,SC,0.0,0.74,0.31,4.52,4.95,4.75,6.14,5.94,6.03,12617,30.50036,74.55546
MUKTSAR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12617,30.50036,74.55546
MUKTSAR,Overall,1.12,2.45,1.84,6.36,8.48,7.52,15.26,17.54,16.53,12617,30.50036,74.55546
NAWANSHAHR,General,4.26,6.56,5.5,14.48,15.6,15.08,36.21,42.75,39.94,12618,30.9293211,75.5004841
NAWANSHAHR,OBC,1.8,0.0,0.49,2.07,4.94,3.58,2.31,2.53,2.43,12618,30.9293211,75.5004841
NAWANSHAHR,SC,0.0,0.0,0.0,2.64,3.67,3.18,2.03,3.8,2.98,12618,30.9293211,75.5004841
NAWANSHAHR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12618,30.9293211,75.5004841
NAWANSHAHR,Overall,1.29,2.15,1.75,6.6,8.12,7.41,15.29,19.64,17.7,12618,30.9293211,75.5004841
PATHANKOT,General,3.56,4.87,4.28,17.01,17.39,17.22,34.74,35.14,34.98,12619,32.2692452,75.6528858
PATHANKOT,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12619,32.2692452,75.6528858
PATHANKOT,SC,0.0,0.0,0.0,1.61,1.41,1.5,0.0,0.0,0.0,12619,32.2692452,75.6528858
PATHANKOT,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12619,32.2692452,75.6528858
PATHANKOT,Overall,0.0,0.05,0.0,8.21,8.68,8.47,16.85,18.74,17.91,12619,32.2692452,75.6528858
PATIALA,General,8.47,9.21,8.89,14.68,14.75,14.73,28.8,29.54,29.22,12620,30.3295605,76.4127819
PATIALA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12620,30.3295605,76.4127819
PATIALA,SC,0.0,0.0,0.0,1.55,0.99,1.26,0.0,1.93,0.8,12620,30.3295605,76.4127819
PATIALA,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12620,30.3295605,76.4127819
PATIALA,Overall,2.66,3.15,2.92,7.37,7.88,7.65,15.52,17.57,16.66,12620,30.3295605,76.4127819
RUPNAGAR,General,4.38,5.0,4.71,16.69,17.69,17.25,33.04,35.06,34.19,12621,30.2102325,73.9925288
RUPNAGAR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12621,30.2102325,73.9925288
RUPNAGAR,SC,0.0,0.0,0.0,0.93,0.81,0.86,0.0,0.0,0.0,12621,30.2102325,73.9925288
RUPNAGAR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12621,30.2102325,73.9925288
RUPNAGAR,Overall,0.01,0.0,0.0,6.41,7.46,6.98,12.69,16.53,14.84,12621,30.2102325,73.9925288
SANGRUR,General,23.77,23.38,23.55,30.61,30.25,30.4,46.72,47.19,46.99,12622,30.23873,75.82639
SANGRUR,OBC,45.91,43.76,44.77,47.28,46.81,47.04,46.31,44.73,45.48,12622,30.23873,75.82639
SANGRUR,SC,17.75,18.13,17.95,21.09,21.0,21.04,21.66,23.45,22.62,12622,30.23873,75.82639
SANGRUR,ST,10.26,0.0,4.5,0.0,33.33,21.87,33.33,0.0,0.0,12622,30.23873,75.82639
SANGRUR,Overall,26.6,25.93,26.23,31.11,30.71,30.89,38.67,39.72,39.25,12622,30.23873,75.82639
TARAN TARAN,General,0.0,0.0,0.0,8.12,8.64,8.42,27.09,24.31,25.48,12623,31.4555254,74.9269621
TARAN TARAN,OBC,0.0,0.0,0.0,0.89,0.58,0.73,0.47,2.27,1.46,12623,31.4555254,74.9269621
TARAN TARAN,SC,0.0,0.0,0.0,5.15,4.09,4.59,11.18,8.63,9.79,12623,31.4555254,74.9269621
TARAN TARAN,ST,95.24,89.13,92.05,88.89,89.47,89.19,0.0,0.0,0.0,12623,31.4555254,74.9269621
TARAN TARAN,Overall,0.0,0.0,0.0,5.99,5.96,5.97,18.4,16.8,17.49,12623,31.4555254,74.9269621
