DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
13256,OBC,2,4,1,0,4,1,4,1,1
13257,OBC,2,4,1,0,4,1,4,1,1
13258,OBC,2,4,1,0,4,1,4,1,1
13259,OBC,2,2,1,0,2,3,4,1,1
13260,OBC,2,2,1,0,2,3,1,1,1
13261,OBC,2,2,1,2,4,1,1,1,1
13262,OBC,2,2,1,2,2,3,1,1,1
13263,OBC,2,2,1,2,2,3,1,1,1
13264,OBC,4,2,4,2,2,3,1,1,4
13265,OBC,4,2,4,2,2,3,1,1,4
13266,OBC,4,2,4,2,2,3,1,1,1
13267,OBC,4,2,4,2,2,3,1,1,4
13268,OBC,4,2,4,2,2,3,1,1,1
13269,OBC,4,2,4,2,2,3,1,1,4
13270,OBC,4,2,4,2,2,3,1,1,4
13271,OBC,4,2,4,2,2,3,1,1,4
13272,OBC,4,2,4,2,2,3,1,1,4
13273,OBC,4,2,4,2,2,3,1,1,4
13274,OBC,4,2,4,2,2,3,1,1,4
13275,OBC,4,2,4,2,2,3,1,1,4
13201,Overall,3,2,3,0,3,4,4,4,4
13202,Overall,3,2,3,0,3,4,4,4,4
13203,Overall,3,2,3,0,3,4,4,4,4
13204,Overall,3,2,3,0,3,4,4,4,4
13205,Overall,3,2,3,0,3,4,4,4,4
13206,Overall,3,2,3,0,3,4,4,4,4
13207,Overall,3,2,3,0,3,4,4,4,4
13208,Overall,3,2,3,0,3,4,2,1,2
13209,Overall,3,2,3,0,3,4,4,4,4
13210,Overall,3,2,3,0,3,4,2,4,4
13211,Overall,3,2,3,0,3,4,2,1,2
13212,Overall,3,2,3,0,3,4,2,1,2
13213,Overall,0,2,1,0,3,4,2,1,2
13214,Overall,0,2,1,0,4,1,2,1,2
13215,Overall,0,2,1,0,3,1,2,1,2
13216,Overall,0,2,1,0,4,1,2,1,2
13217,Overall,0,2,1,0,4,1,2,1,2
13218,Overall,0,0,1,0,4,1,2,1,2
13219,Overall,0,0,1,0,4,1,2,1,2
13220,Overall,0,0,1,0,4,1,2,1,2
13221,Overall,0,0,1,0,4,1,2,1,2
13222,Overall,0,0,1,0,4,1,2,1,2
13223,Overall,0,0,1,0,4,1,2,1,2
13224,Overall,0,0,1,1,1,2,0,1,2
13225,Overall,0,0,1,1,4,2,0,1,2
13226,Overall,0,0,1,1,4,2,0,3,0
13227,Overall,0,0,1,1,1,2,0,3,0
13228,Overall,0,0,1,1,1,2,0,3,0
13229,Overall,0,0,1,1,1,2,0,3,0
13230,Overall,0,0,1,1,1,2,0,3,0
13231,Overall,0,0,4,1,1,2,0,3,0
13232,Overall,0,0,4,1,1,2,0,3,0
13233,Overall,4,0,4,1,1,2,0,3,0
13234,Overall,4,0,4,1,1,2,0,3,0
13235,Overall,4,0,4,1,1,2,0,0,0
13236,Overall,4,0,4,1,1,2,0,0,0
13237,Overall,4,0,4,1,1,2,0,0,0
13238,Overall,4,3,4,1,1,2,0,0,0
13239,Overall,4,3,4,1,1,2,0,0,0
13240,Overall,4,3,4,3,0,2,0,0,0
13241,Overall,4,3,4,3,0,2,0,0,0
13242,Overall,4,3,4,3,0,0,0,0,0
13243,Overall,4,3,4,3,0,0,0,0,0
13244,Overall,1,3,2,3,0,0,0,0,0
13245,Overall,1,3,2,3,0,0,0,0,0
13246,Overall,1,3,2,3,0,0,1,0,0
13247,Overall,1,3,2,3,0,0,1,0,1
13248,Overall,1,3,2,3,0,0,1,0,0
13249,Overall,1,3,2,3,0,0,1,0,1
13250,Overall,1,3,2,3,0,0,1,0,1
13251,Overall,1,1,2,3,0,0,1,0,0
13252,Overall,1,1,2,2,0,0,1,0,1
13253,Overall,1,1,2,2,0,0,1,0,1
13254,Overall,1,1,2,2,0,0,1,0,1
13255,Overall,1,1,2,2,0,0,1,0,1
13256,Overall,1,1,2,2,0,0,1,2,1
13257,Overall,1,1,0,2,0,0,1,2,1
13258,Overall,1,1,0,2,0,0,1,2,1
13259,Overall,2,1,0,2,2,0,1,2,1
13260,Overall,2,1,0,2,2,3,1,2,1
13261,Overall,2,1,0,2,0,0,1,2,1
13262,Overall,2,1,0,2,2,3,1,2,1
13263,Overall,2,1,0,2,2,3,3,2,3
13264,Overall,2,1,0,4,2,3,3,2,3
13265,Overall,2,1,0,4,2,3,1,2,3
13266,Overall,2,4,0,4,2,3,3,2,3
13267,Overall,2,4,0,4,2,3,3,2,3
13268,Overall,2,4,0,4,2,3,3,2,3
13269,Overall,2,4,0,4,2,3,3,2,3
13270,Overall,2,4,0,4,2,3,3,2,3
13271,Overall,2,4,0,4,2,3,3,2,3
13272,Overall,2,4,0,4,2,3,3,2,3
13273,Overall,2,4,0,4,2,3,3,2,3
13274,Overall,2,4,0,4,2,3,3,2,3
13275,Overall,2,4,0,4,2,3,3,2,3
13201,SC,2,2,3,4,4,4,1,4,4
13202,SC,2,2,3,4,4,4,1,4,4
13203,SC,2,2,3,4,4,4,1,4,4
13204,SC,2,2,3,4,4,4,1,4,4
13205,SC,2,2,3,4,4,4,1,4,4
13206,SC,2,2,3,4,4,0,1,4,4
13207,SC,2,2,3,4,4,4,1,4,4
13208,SC,2,2,3,4,4,0,1,1,2
13209,SC,2,2,3,4,4,4,1,4,4
13210,SC,2,2,3,3,4,0,1,1,2
13211,SC,2,2,3,3,4,0,1,1,2
13212,SC,2,2,3,3,4,0,1,1,2
13213,SC,2,2,3,3,4,0,4,1,2
13214,SC,2,2,1,3,1,0,4,1,2
