Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
DHUBRI,OBC,0.02,2.12,1.1,0.0,0.0,0.0,11.72,6.35,9.09,10211,26.0186768,89.9857236
DHUBRI,SC,0.53,0.62,0.57,2.08,3.87,2.97,7.04,24.03,15.35,10211,26.0186768,89.9857236
DHUBRI,ST,0.0,0.0,0.0,26.9,21.97,24.21,0.0,0.0,0.0,10211,26.0186768,89.9857236
DHUBRI,Overall,5.71,7.65,6.7,11.52,14.66,13.03,25.5,19.74,22.89,10211,26.0186768,89.9857236
DIBRUGARH,General,7.29,9.67,8.51,6.1,8.17,7.16,0.0,0.0,0.0,10212,27.4844597,94.9019447
DIBRUGARH,OBC,6.01,6.52,6.26,6.72,8.54,7.63,21.45,23.96,22.65,10212,27.4844597,94.9019447
DIBRUGARH,SC,2.29,0.95,1.63,0.68,2.22,1.45,19.8,14.08,17.03,10212,27.4844597,94.9019447
DIBRUGARH,ST,5.08,1.43,3.24,12.05,6.35,9.21,21.02,12.64,17.12,10212,27.4844597,94.9019447
DIBRUGARH,Overall,5.87,6.22,6.05,6.72,7.91,7.32,17.25,17.59,17.42,10212,27.4844597,94.9019447
DIMA HASAO,General,0.0,0.0,0.0,8.92,13.87,11.39,0.0,7.13,0.0,10213,25.400362549999997,93.07522922678905
DIMA HASAO,OBC,5.03,10.55,7.84,19.83,18.78,19.28,37.53,36.26,36.96,10213,25.400362549999997,93.07522922678905
DIMA HASAO,SC,10.78,8.35,9.53,0.0,3.49,0.0,2.8,3.23,3.02,10213,25.400362549999997,93.07522922678905
DIMA HASAO,ST,5.59,8.12,6.86,6.94,0.5,3.92,14.7,20.23,17.28,10213,25.400362549999997,93.07522922678905
DIMA HASAO,Overall,4.87,7.4,6.15,7.82,4.24,6.09,14.08,19.76,16.76,10213,25.400362549999997,93.07522922678905
GOALPARA,General,7.86,12.61,10.31,14.2,18.61,16.22,31.38,30.55,31.03,10214,26.1783623,90.6226683
GOALPARA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,6.93,12.63,9.63,10214,26.1783623,90.6226683
GOALPARA,SC,3.09,3.2,3.15,0.0,2.66,0.38,26.35,20.64,23.65,10214,26.1783623,90.6226683
GOALPARA,ST,4.27,4.37,4.32,0.0,1.01,0.0,13.05,16.15,14.51,10214,26.1783623,90.6226683
GOALPARA,Overall,6.41,10.31,8.42,9.97,13.68,11.71,25.89,25.39,25.66,10214,26.1783623,90.6226683
GOLAGHAT,General,0.1,0.74,0.43,7.58,6.64,7.12,18.66,12.65,15.74,10215,26.5108262,93.9743686
GOLAGHAT,OBC,7.01,6.33,6.67,5.95,7.34,6.65,24.77,23.17,24.02,10215,26.5108262,93.9743686
GOLAGHAT,SC,0.2,4.27,2.28,2.19,7.8,5.01,24.65,22.76,23.72,10215,26.5108262,93.9743686
GOLAGHAT,ST,3.92,2.19,3.06,2.3,5.98,4.14,16.38,12.29,14.39,10215,26.5108262,93.9743686
GOLAGHAT,Overall,4.75,4.52,4.64,5.48,7.04,6.26,22.23,19.19,20.78,10215,26.5108262,93.9743686
HAILAKANDI,General,9.0,10.46,9.74,12.09,15.21,13.58,20.28,17.95,19.2,10216,24.68797,92.56921
HAILAKANDI,OBC,4.3,5.72,5.01,0.0,0.0,0.0,13.76,24.0,18.68,10216,24.68797,92.56921
HAILAKANDI,SC,3.32,5.48,4.44,0.0,0.0,0.0,19.94,20.38,20.14,10216,24.68797,92.56921
HAILAKANDI,ST,13.33,15.14,14.26,3.53,16.91,10.8,29.76,10.14,19.9,10216,24.68797,92.56921
