DNo,Location,Social Category,Income,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
10001,ANANTAPUR,General,High,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398,91.87340289354324,8.126592636108398
10001,ANANTAPUR,OBC,High,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531,99.9091662641149,0.09083747863769531
10001,ANANTAPUR,SC,High,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807,58.28952193260193,41.71047806739807
10001,ANANTAPUR,ST,High,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336,98.51324893534184,1.4867544174194336
10001,ANANTAPUR,Overall,High,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417,99.11124967038631,0.888746976852417
10002,CHITTOOR,General,High,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289,98.57954792678356,1.420450210571289
10002,CHITTOOR,OBC,High,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929,92.43680238723755,7.563203573226929
10002,CHITTOOR,SC,High,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368,0.008137012628139928,99.99185800552368
10002,CHITTOOR,ST,High,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588,1.1159883812069893,98.88401627540588
10002,CHITTOOR,Overall,High,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738,99.75435168016702,0.24564862251281738
10003,EASTGODAVARI,General,High,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867,99.87127074273303,0.12873411178588867
10003,EASTGODAVARI,OBC,High,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977,0.005249660534900613,99.99475479125977
10003,EASTGODAVARI,SC,High,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461,99.89683352177963,0.1031637191772461
10003,EASTGODAVARI,ST,High,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537,0.012032931408612058,99.98795986175537
10003,EASTGODAVARI,Overall,High,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996,99.86764395143837,0.13236403465270996
