,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
82,11317,Overall,1,1,1,4,0,4,3,3,1,PALAMU
83,11317,SC,0,0,0,0,0,0,0,0,0,PALAMU
84,11317,ST,1,0,0,2,0,2,2,2,4,PALAMU
85,11318,General,1,1,1,2,2,2,0,2,1,PASHCHIMI SINGHBHUM
86,11318,OBC,0,4,0,2,0,0,3,3,0,PASHCHIMI SINGHBHUM
87,11318,Overall,1,1,1,0,4,1,3,3,1,PASHCHIMI SINGHBHUM
88,11318,SC,0,0,0,0,2,0,0,0,0,PASHCHIMI SINGHBHUM
89,11318,ST,1,0,0,4,3,4,2,2,4,PASHCHIMI SINGHBHUM
90,11319,General,1,1,1,2,1,4,0,2,1,PURBI SINGHBHUM
91,11319,OBC,0,4,0,3,4,4,3,3,1,PURBI SINGHBHUM
92,11319,Overall,1,1,1,4,2,4,3,3,1,PURBI SINGHBHUM
93,11319,SC,0,3,0,0,0,0,0,2,2,PURBI SINGHBHUM
94,11319,ST,1,0,0,2,3,4,1,2,2,PURBI SINGHBHUM
95,11320,General,1,1,1,2,2,2,0,2,1,RAMGARH
96,11320,OBC,2,4,0,2,4,4,3,3,1,RAMGARH
97,11320,Overall,1,3,1,4,0,4,3,3,1,RAMGARH
98,11320,SC,2,3,2,4,3,4,0,2,2,RAMGARH
99,11320,ST,0,3,3,4,3,4,1,2,2,RAMGARH
100,11321,General,1,1,1,2,2,2,0,2,1,RANCHI
101,11321,OBC,4,1,3,3,4,4,3,3,1,RANCHI
102,11321,Overall,3,3,3,4,0,4,3,3,1,RANCHI
103,11321,SC,0,0,0,4,3,4,0,2,2,RANCHI
104,11321,ST,0,3,3,2,0,2,1,2,2,RANCHI
105,11322,General,3,2,4,2,4,4,3,4,4,SAHIBGANJ
106,11322,OBC,2,1,0,2,0,0,1,1,3,SAHIBGANJ
107,11322,Overall,3,3,3,3,2,1,1,1,3,SAHIBGANJ
108,11322,SC,0,3,2,4,2,0,0,0,0,SAHIBGANJ
109,11322,ST,0,3,3,2,0,2,2,1,2,SAHIBGANJ
110,11323,General,1,1,1,2,2,2,0,2,1,SARAIKELA-KHARSAWAN
111,11323,OBC,4,3,3,2,0,0,1,1,3,SARAIKELA-KHARSAWAN
112,11323,Overall,3,3,3,4,2,4,1,1,3,SARAIKELA-KHARSAWAN
113,11323,SC,2,3,2,0,3,0,0,2,2,SARAIKELA-KHARSAWAN
114,11323,ST,0,3,3,4,3,4,2,2,2,SARAIKELA-KHARSAWAN
115,11324,General,3,2,4,0,2,4,3,2,1,SIMDEGA
116,11324,OBC,2,1,0,2,0,0,3,1,1,SIMDEGA
117,11324,Overall,3,3,3,3,2,1,1,1,3,SIMDEGA
118,11324,SC,2,3,2,0,2,0,0,2,2,SIMDEGA
119,11324,ST,0,3,3,4,3,4,2,1,2,SIMDEGA
