,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,Location
0,General,2.5050000000000003,2.3733333333333335,2.4250000000000003,4.148333333333333,4.9366666666666665,4.5616666666666665,4.088333333333334,6.214166666666667,5.183333333333334,11106.5,31.816760150000004,77.34932052,Himachal Pradesh
1,OBC,7.61,3.7383333333333333,4.810833333333334,0.4025,0.18583333333333332,0.0,3.249166666666666,0.6083333333333334,0.49499999999999994,11106.5,31.816760150000004,77.34932052,Himachal Pradesh
2,Overall,0.8841666666666667,0.8516666666666667,0.8016666666666666,1.413333333333333,0.9908333333333333,1.0991666666666666,3.02,3.7966666666666664,3.356666666666667,11106.5,31.816760150000004,77.34932052,Himachal Pradesh
3,SC,3.606666666666667,1.1108333333333333,2.0433333333333334,0.8375,2.2958333333333334,1.2916666666666667,6.1125,2.7525,4.554166666666666,11106.5,31.816760150000004,77.34932052,Himachal Pradesh
4,ST,0.37749999999999995,0.6016666666666667,0.2708333333333333,1.6075,0.8308333333333332,0.8566666666666668,2.8341666666666665,3.320833333333333,3.1033333333333335,11106.5,31.816760150000004,77.34932052,Himachal Pradesh
