"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Madhya Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOPAL,General,4.3,2.81,3.54,6.71,7.29,7,7.79,9.34,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOPAL,OBC,2.22,3.01,2.64,4.48,5.83,5.18,12.1,19.45,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOPAL,SC,0,0.46,0,3.51,3.15,3.33,16.08,19.97,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOPAL,ST,0.91,2.2,1.6,7.22,7.58,7.41,18.9,14.12,16.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOPAL,Overall,2.25,2.45,2.35,5.32,6.02,5.69,11.5,15.6,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURHANPUR,General,6.52,7.97,7.28,8.88,7.92,8.36,9.92,5.34,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURHANPUR,OBC,0,0.6,0.01,3.09,2,2.52,17.22,22.41,20.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURHANPUR,SC,0,0,0,2.14,0.06,1.05,23.59,29.54,26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURHANPUR,ST,5.11,5.06,5.08,13.19,13.8,13.52,32.01,33.54,32.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURHANPUR,Overall,1.77,2.55,2.19,6.65,6.25,6.44,20.84,24.35,22.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATARPUR,General,0,0,0,0,0,0,12.37,13.05,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATARPUR,OBC,1.22,0.1,0.64,3.5,2.99,3.23,30.35,32.16,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATARPUR,SC,0,0,0,1.32,0,0.17,24.29,31.33,28.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATARPUR,ST,0,0,0,4.69,4.18,4.41,34,40.49,37.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
