"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Chhattisgarh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR,OBC,8.64,9.13,8.88,12.79,14.37,13.59,23.58,25.84,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR,SC,5.73,6.06,5.9,8.81,10.24,9.53,21.99,24.76,23.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR,ST,40.76,41.41,41.08,44.32,43.68,44,50.29,52.39,51.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR,Overall,15.36,15.91,15.65,18.69,19.71,19.21,28.83,30.28,29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANTEWADA,General,6.97,3.88,5.34,1.94,3.05,2.52,0.53,8.05,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANTEWADA,OBC,3.66,0,0.93,0.81,6.06,3.49,3.16,12.27,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANTEWADA,SC,4.12,0,1.63,20.16,1.07,11.94,11,15,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANTEWADA,ST,3.39,5.41,4.5,0,5.62,2.78,10.23,10.91,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANTEWADA,Overall,3.76,4.18,3.98,1.16,5.26,3.34,7.7,11.06,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMTARI,General,2.61,0.86,1.7,1.23,1.65,1.44,10.74,7.88,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMTARI,OBC,0,0,0,0.61,0.9,0.76,6.03,9.68,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMTARI,SC,0,0.88,0.32,1.37,2.9,2.14,6.57,12.4,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMTARI,ST,0.3,0,0,2.54,4.85,3.7,9.99,15.71,12.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMTARI,Overall,0,0,0,1.21,2.15,1.68,7.24,11.29,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURG,General,1.16,0.8,0.98,0,1.3,0.13,3.75,5.52,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURG,OBC,0.34,0,0.15,0.51,2.58,1.56,6.97,11.88,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURG,SC,0,0,0,0.6,3.16,1.89,9.05,13.64,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURG,ST,0.45,0,0,6.82,4.81,5.8,8.98,10.52,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURG,Overall,0.38,0,0.15,0.58,2.52,1.58,6.78,10.52,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIABAND,General,14.07,17.01,15.63,7.57,9.79,8.75,11.06,9.47,10.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIABAND,OBC,0.53,0.9,0.71,3.14,5.26,4.2,11.15,14.95,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIABAND,SC,0,0,0,0,0.79,0,15.21,18.02,16.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIABAND,ST,0.67,0.2,0.43,7.35,7.71,7.52,12,22.25,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIABAND,Overall,0.79,0.72,0.75,4.19,5.77,4.98,11.91,17.62,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURELA PENDRA MARVAHI,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURELA PENDRA MARVAHI,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURELA PENDRA MARVAHI,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURELA PENDRA MARVAHI,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURELA PENDRA MARVAHI,Overall,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANJGIR - CHAMPA,General,0,0,0,0.82,2.09,1.48,17.19,30.67,24.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANJGIR - CHAMPA,OBC,0.26,0.04,0.15,2.55,4.57,3.58,10.3,10.97,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANJGIR - CHAMPA,SC,0,0,0,1.62,4.47,3.09,10.8,11.97,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANJGIR - CHAMPA,ST,0,0,0,3.29,4.8,4.04,11.1,18.01,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANJGIR - CHAMPA,Overall,0,0,0,2.32,4.48,3.42,10.75,12.82,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASHPUR,General,0,0,0,0,0,0,6.4,4.02,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASHPUR,OBC,2.38,2.16,2.27,5.29,6.34,5.81,9.32,11.59,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASHPUR,SC,0.22,0.92,0.58,8.52,10.54,9.54,14.43,16.75,15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASHPUR,ST,1.53,2.61,2.08,4.41,7.31,5.87,9.61,13.53,11.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASHPUR,Overall,1.2,1.85,1.53,4.65,6.71,5.68,9.74,12.77,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANKER,General,0,0.91,0.44,0,0,0,11.66,15.8,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANKER,OBC,1.73,0.12,0.91,0.95,0.63,0.79,5.17,10.2,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANKER,SC,4.78,0.92,2.85,0,0,0,0,10.54,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANKER,ST,0.67,1.1,0.88,4.24,4.05,4.15,7.32,14.61,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANKER,Overall,0.97,0.85,0.9,1.8,1.79,1.8,7.27,13.65,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAWARDHA,General,0,0,0,0,0,0,37.41,34.57,35.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAWARDHA,OBC,0,0,0,3.68,3.93,3.81,11.51,15.14,13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAWARDHA,SC,0,0,0,2.14,1.61,1.88,12.03,15.6,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAWARDHA,ST,0.8,2.48,1.66,6.4,6.4,6.4,14.64,19.69,17.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAWARDHA,Overall,0,0,0,3.76,3.83,3.8,13.48,17.02,15.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONDAGAON,General,0,0,0,20.11,15.71,17.88,25.76,25,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONDAGAON,OBC,0,0,0,3.42,4.19,3.8,11.83,14.95,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONDAGAON,SC,0,0,0,6.42,1.12,3.75,17.1,22.35,19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONDAGAON,ST,1.16,1.54,1.35,4.01,5.4,4.71,10.97,13.31,12.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONDAGAON,Overall,0.48,0.98,0.73,4.53,5.34,4.94,11.84,14.51,13.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORBA,General,2.04,0.44,1.19,0,0,0,1.29,5.42,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORBA,OBC,0.1,1.4,0.76,3.51,5.66,4.6,8.61,14.65,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORBA,SC,0.08,1.87,1.01,3.81,5.06,4.45,12.18,15.52,13.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORBA,ST,1.32,1.34,1.34,7.03,9.12,8.07,11.9,16.39,13.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORBA,Overall,0.79,1.34,1.08,4.59,6.25,5.42,9.77,14.52,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORIYA,General,1.56,1.82,1.71,1.51,0,0.17,8.96,11.23,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORIYA,OBC,0.15,1.24,0.72,3.16,2.45,2.8,13.77,18.08,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORIYA,SC,3.8,2.97,3.39,0,10.08,4.28,15.74,24.27,20.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORIYA,ST,1.09,1.93,1.52,6.13,6.5,6.32,14.45,22.64,18.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORIYA,Overall,1.11,1.8,1.47,4.08,4.85,4.47,13.86,20.03,16.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHASAMUND,General,0,0,0,0,4.11,1.55,12.71,14.51,13.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHASAMUND,OBC,0.02,0.17,0.1,0.91,2.9,1.93,10.11,17.89,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHASAMUND,SC,0,0,0,5.42,5.89,5.65,18.32,23.65,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHASAMUND,ST,0.06,0,0,3.54,4.98,4.26,16.85,24.28,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
