"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:19 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Arunachal Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMLE,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMLE,ST,64.48,67.51,66.09,35.34,32.58,33.89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMLE,Overall,63.84,67.09,65.57,35.07,32.41,33.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRA DADI,General,96,0,98.04,88.89,0,94.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRA DADI,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRA DADI,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRA DADI,ST,6.65,7.34,6.99,17.92,8.99,14.19,13.68,25.81,20.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRA DADI,Overall,5.3,4.57,4.94,17.86,8.48,13.95,13.61,25.81,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNG KUMEY,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNG KUMEY,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNG KUMEY,SC,89.66,76.67,83.05,33.33,33.33,33.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNG KUMEY,ST,3.33,6.57,4.91,0,0,0,10.64,13.65,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNG KUMEY,Overall,2.22,4.92,3.54,0,0,0,5.84,8.58,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPA RADA,General,21.95,44.68,34.09,7.55,32.84,21.67,16,27.03,22.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPA RADA,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPA RADA,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPA RADA,ST,4.96,9.71,7.42,0,0,0,13.22,13.08,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPA RADA,Overall,1.75,9.37,5.71,0,0,0,12.07,13.33,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHIT,General,10.53,9.62,10.08,12.31,14.12,13.25,30.91,22.28,26.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHIT,OBC,20,0,0,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHIT,SC,25,0,6.25,0,0,0,50,33.33,42.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHIT,ST,13.35,27.94,20.2,11.11,18.28,14.17,24.57,22.58,23.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHIT,Overall,11.74,16.52,14.04,11.71,15.45,13.49,27.51,22,25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGDING,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGDING,OBC,20,32,27.5,83.33,33.33,53.33,50,0,42.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGDING,SC,96.38,91.53,95.36,0,99.53,99.77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGDING,ST,3.86,6.88,5.4,0,7.54,3.46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGDING,Overall,8.05,7.95,8,10.31,16.53,13.34,7.89,6.98,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER DIBANG VALLEY,General,0,0,0,9.02,15.4,12.31,19.28,15.82,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER DIBANG VALLEY,OBC,91.18,84.31,87.54,0,26.09,9.3,26.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER DIBANG VALLEY,SC,89.47,90.7,90.12,63.16,80,70.59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER DIBANG VALLEY,ST,0,0.63,0,2.99,2.04,2.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER DIBANG VALLEY,Overall,2.14,3.99,3.1,6.23,9.04,7.68,5.41,2.38,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SIANG,General,0,8.09,3.75,14.02,1.26,8.59,25.89,31.62,29.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SIANG,OBC,22.73,35.06,29.37,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SIANG,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SIANG,ST,0,9.76,3.44,0,0,0,15.48,2.13,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SIANG,Overall,0,7.95,1.9,0,0,0,12.56,4.16,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SUBANSIRI,General,15.9,14.4,15.13,23.65,15.85,19.95,33.93,34.95,34.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SUBANSIRI,OBC,57.23,43.03,50.29,69,70,69.55,73.68,50,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SUBANSIRI,SC,74.64,73.6,74.15,91.47,87.41,89.34,0,94.51,97.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SUBANSIRI,ST,0.61,1.73,1.2,0,0,0,7.03,14.95,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER SUBANSIRI,Overall,12.8,10.91,11.81,5.58,8.56,7.12,21.5,25.03,23.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMSAI,General,9.65,12.34,11.06,10.39,22.08,16.35,17.07,20.39,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMSAI,OBC,12.9,11.77,12.31,47.62,63.33,56.86,33.33,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMSAI,SC,37.94,40.29,39.2,5.88,37.04,25,25,77.78,61.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMSAI,ST,0,0.47,0,0,0,0,0,8.93,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMSAI,Overall,7.48,10.13,8.89,6.76,14.57,10.71,9.5,17.29,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKKE KESSANG,General,34.52,30.53,32.4,22.22,30,26.32,16.67,45,31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKKE KESSANG,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKKE KESSANG,SC,33.33,54.55,47.06,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKKE KESSANG,ST,0,0,0,0,0,0,28.18,13.77,21.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKKE KESSANG,Overall,0,0,0,0,0,0,26.63,15.82,21.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPUM PARE,General,13.83,15.79,14.92,5.32,10.33,7.87,23.08,17.14,19.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPUM PARE,OBC,11.32,8.9,10.07,10.81,0.93,5.96,18.75,30.3,24.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPUM PARE,SC,0,8.06,0,0,0,0,20,50,38.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPUM PARE,ST,0,0,0,0.28,0,0,6.35,9.96,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPUM PARE,Overall,0,0,0,0,0,0,8.38,12.41,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHI YOMI,General,93.33,75.51,86.29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHI YOMI,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHI YOMI,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHI YOMI,ST,0,0,0,0,0,0,14.47,4.51,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHI YOMI,Overall,0.63,2.95,1.76,0,0,0,16.13,6.61,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIANG,General,29.04,26.66,27.87,32.81,43.29,38.16,53.12,21.87,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIANG,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIANG,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIANG,ST,8.59,9.57,9.13,2.63,4.91,3.84,13.68,19.91,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIANG,Overall,8.94,9.84,9.42,3.52,6.13,4.89,15.4,19.65,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWANG,General,0,8.06,0.44,6.93,23.4,14.87,22.03,52.38,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWANG,OBC,79.31,66.67,72.89,75,80,77.27,0,77.78,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWANG,SC,25,0,6.66,0,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWANG,ST,5.76,8.72,7.05,2.01,4.68,3.02,7.35,9.34,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAWANG,Overall,5.43,9.54,7.29,2.16,8.5,4.63,8.5,16.25,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIRAP,General,0,4.3,2.2,5.56,15.3,10.72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIRAP,OBC,31.43,23.69,27.4,29.41,0,0,33.33,38.46,36.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIRAP,SC,0,0,0,0,42.86,30,33.33,33.33,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
