"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Bihar,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOJPUR,SC,2.27,0.4,1.3,4.47,3.26,3.86,23.78,12.36,18.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOJPUR,ST,0,0,0,0,0,0,39.86,24.14,32.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHOJPUR,Overall,0,0,0,1.25,0,0.08,21.84,12.7,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUXAR,General,4.42,7.5,6.11,6.3,9.86,8.14,27.27,19.44,23.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUXAR,OBC,0,0,0,2.24,1.8,2.02,26.55,24.96,25.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUXAR,SC,1.85,4.43,3.19,4.15,3.85,3.99,30.13,26.88,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUXAR,ST,8.54,12.67,10.71,1.79,1.68,1.74,43.43,39.51,41.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUXAR,Overall,0.2,0.84,0.53,3.17,3.51,3.34,27.96,25.07,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARBHANGA,General,0.97,0,0.46,3.41,1.53,2.5,34.2,28.02,31.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARBHANGA,OBC,1.21,0,0.47,6.66,5.7,6.2,27.94,25.54,26.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARBHANGA,SC,3.17,4.41,3.81,6.95,9.11,8.07,30.11,32.29,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARBHANGA,ST,1.11,5.48,3.43,0,0,0,59.01,77.93,72.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARBHANGA,Overall,1.58,0.88,1.23,5.79,5.27,5.53,30.26,27.76,29.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAYA,General,2.66,4.57,3.7,0,0,0,16.03,11.92,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAYA,OBC,0,0,0,0,0,0,14.31,15.53,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAYA,SC,3.88,4.24,4.07,10.15,8.05,9.11,28.16,25.26,26.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAYA,ST,5.87,6.23,6.06,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAYA,Overall,0,0,0,1.47,0,0.35,17.47,16.72,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPALGANJ,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPALGANJ,OBC,0.44,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPALGANJ,SC,0,0,0,0,0,0,4.5,0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPALGANJ,ST,0,0,0,0,0,0,6.18,4.47,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPALGANJ,Overall,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMUI,General,0.05,2.69,1.51,1.77,5.31,3.67,6.12,0,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMUI,OBC,0.31,0,0,8.4,7.02,7.71,9.95,1.98,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMUI,SC,0.92,0.94,0.92,12.17,9.31,10.72,11.3,3.57,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMUI,ST,8.87,10.06,9.49,10.77,11.83,11.3,0.09,2.53,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMUI,Overall,1.06,0.9,0.97,8.57,7.49,8.02,9.24,1.63,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEHANABAD,General,0,0,0,0,0,0,25.96,22.84,24.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEHANABAD,OBC,0,0,0,4.99,0,1.57,27.51,29.72,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEHANABAD,SC,0,0,0,2.92,0,0.36,20.71,23.68,22.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEHANABAD,ST,0,0,0,0,0,0,30.62,0,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEHANABAD,Overall,0,0,0,2.35,0,0,26,27.1,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIMUR (BHABUA),General,1.71,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIMUR (BHABUA),OBC,0,0,0,5.16,4.22,4.71,5.96,0,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIMUR (BHABUA),SC,0,0,0,7.22,5.88,6.56,26.04,12.58,19.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIMUR (BHABUA),ST,24.58,25.06,24.82,25.09,19.66,22.51,33.02,20.88,27.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIMUR (BHABUA),Overall,0,0,0,5.82,4.98,5.41,10.82,2.22,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATIHAR,General,0,0,0,11.71,10.48,11.16,32.43,29.55,31.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATIHAR,OBC,0,0,0,10.07,9.09,9.61,25.32,21.95,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATIHAR,SC,0,0,0,7.27,6.45,6.86,28.38,24.99,26.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATIHAR,ST,3.13,4.55,3.86,9.91,12.99,11.43,28.86,28.6,28.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATIHAR,Overall,0,0,0,10.3,9.41,9.88,27.45,24.17,25.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAGARIA,General,0,0,0,1.53,0,0,2.27,8.8,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAGARIA,OBC,0,0,0,3.29,0.64,1.99,16.91,15.63,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAGARIA,SC,4.03,4.67,4.35,8.83,9.15,8.99,10.55,9.61,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAGARIA,ST,59.46,58.03,58.74,72.85,68.69,70.49,31.25,58.06,48.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAGARIA,Overall,0,0,0,4.24,2.04,3.15,14.61,14.18,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISHANGANJ,General,0,0,0,6.45,5.98,6.25,5.7,7.38,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISHANGANJ,OBC,4.66,4.35,4.5,15.74,10.83,13.55,41.39,21.92,32.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISHANGANJ,SC,0,0,0,0,0,0,21.33,5.78,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISHANGANJ,ST,0,0,0,0,0.96,0,20.09,11.7,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISHANGANJ,Overall,0,0,0,9.35,6.91,8.29,23.63,14.31,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHISARAI,General,1.46,1.8,1.65,2.09,0,0,9.93,4.52,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHISARAI,OBC,0,0,0,1.9,0,0.01,7.63,5.57,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHISARAI,SC,0.23,0,0,0,0,0,8.69,4.44,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHISARAI,ST,0,2.46,1.13,0,0,0,0,35.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHISARAI,Overall,0,0,0,1.48,0,0,7.86,5.45,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHEPURA,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHEPURA,OBC,0,0.39,0,9.87,9.76,9.81,31.83,29.13,30.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHEPURA,SC,0,0,0,15.15,12.73,13.89,19.01,23.26,21.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHEPURA,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHEPURA,Overall,0,0,0,9.03,8.14,8.57,25.33,21.19,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHUBANI,General,0,0,0,4.26,5.16,4.7,32.02,34.54,33.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHUBANI,OBC,0,0,0,5.65,6.76,6.2,22.88,24.93,23.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHUBANI,SC,2.49,2.97,2.74,11.62,12.94,12.29,25.68,31.64,28.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHUBANI,ST,34.23,36.09,35.24,22.66,50.97,37.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADHUBANI,Overall,0.04,0,0,6.63,7.97,7.3,24.63,27.36,25.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNGER,General,1.68,4.7,3.28,2.4,9.4,6.12,12.93,8.93,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNGER,OBC,0,0,0,3.08,2.32,2.7,12.81,3.47,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNGER,SC,2.26,0,0.92,4.71,3.38,4.03,14.21,8.95,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNGER,ST,8.48,12.88,10.82,11.82,22.15,17.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNGER,Overall,0,0,0,3.48,4.08,3.78,12.14,4.93,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFARPUR,General,0,0,0,0,0,0,25.9,21.24,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFARPUR,OBC,0,0,0,3.45,3.15,3.31,22.28,20,21.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFARPUR,SC,3.41,2.04,2.72,6.54,7.03,6.78,28.49,25.12,26.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFARPUR,ST,0,0,0,0,0,0,16.94,8.66,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFARPUR,Overall,0,0,0,1.95,2.04,2,23.91,20.81,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALANDA,General,0,0.21,0,1.01,0,0,15.59,14.76,15.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALANDA,OBC,0,0,0,0,0,0,22.5,16.12,19.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALANDA,SC,0,0,0,3.73,0,1.21,17.2,14.74,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALANDA,ST,0,0,0,3.9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALANDA,Overall,0,0,0,0,0,0,20.43,15.61,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAWADA,General,2.88,4.03,3.5,2.48,0.14,1.28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAWADA,OBC,0,0,0,1.73,0,0.47,4.06,0,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAWADA,SC,0,0,0,9.43,7.32,8.39,11.28,6.04,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAWADA,ST,0,0.84,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAWADA,Overall,0,0,0,3.6,1.19,2.41,2.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIM CHAMPARAN,General,6.28,7.08,6.71,6.41,5.64,6.01,20.19,8.39,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIM CHAMPARAN,OBC,1.36,0,0.66,4.9,1.74,3.36,22.08,14.77,18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIM CHAMPARAN,SC,6.44,6.96,6.71,7.43,9.1,8.28,20.98,9.76,15.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIM CHAMPARAN,ST,2.55,2.85,2.7,3.18,2.28,2.76,25.75,25.9,25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIM CHAMPARAN,Overall,2.9,2.36,2.62,5.29,3.44,4.38,22.12,14.4,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATNA,General,0,0,0,0,0,0,15.32,15.81,15.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATNA,OBC,0,0,0,0,0,0,24.11,21.58,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATNA,SC,0,0,0,0,0,0,18.74,25.37,22.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATNA,ST,0,0,0,0,0,0,13.87,15.33,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATNA,Overall,0,0,0,0,0,0,20.83,20.42,20.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA CHAMPARAN,General,0.69,1.98,1.37,0,0,0,15.64,14.22,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA CHAMPARAN,OBC,0,0,0,5.05,4.9,4.98,18.25,19.57,18.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA CHAMPARAN,SC,1.86,2.91,2.4,3.74,5.3,4.53,14.47,15.37,14.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA CHAMPARAN,ST,2.06,5.99,4.1,0,0,0,21.33,5.52,13.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA CHAMPARAN,Overall,0,0,0,3.38,3.34,3.36,17.34,17.61,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURNIA,General,0,0,0,5.71,2.84,4.23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURNIA,OBC,0,0,0,5.17,4.84,5.02,19.32,12.11,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURNIA,SC,0.51,1.09,0.81,9.15,10.51,9.87,12.63,7.73,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURNIA,ST,4.69,6.72,5.76,4.12,6.66,5.4,8.54,6.28,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURNIA,Overall,0.06,0.26,0.16,5.62,5.45,5.54,16.03,9.02,12.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAS,General,0,0,0,0,0,0,10.68,12.84,11.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAS,OBC,0,0,0,1.48,0.07,0.78,16.58,17.93,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAS,SC,0,0,0,1.21,4.38,2.79,20.31,28.49,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAS,ST,0,0,0,0,0,0,15.69,16.44,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAS,Overall,0,0,0,0,0,0,16.61,19.54,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHARSA,General,0,0,0,1.13,0,0.31,5.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHARSA,OBC,0,0.99,0,8.36,9.22,8.81,29.25,29.4,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHARSA,SC,6.42,7.17,6.82,17.76,17.68,17.72,32.68,35.01,34.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHARSA,ST,0,0,0,0,0,0,62.07,41.54,51.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHARSA,Overall,0,1.54,0.62,8.64,9.13,8.9,25.85,24.95,25.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMASTIPUR,General,9.97,6.21,8.02,12.45,7.42,9.97,20.52,7.2,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
