"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Assam,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,OBC,0,3.72,1.62,5,7.88,6.45,40.52,39.21,39.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,SC,3.05,2.96,3,12.19,16.24,14.11,40.25,40.81,40.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,ST,3.49,5.13,4.33,1.62,6.07,3.83,32.75,30.64,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,Overall,3.04,5.38,4.24,3.25,6.39,4.78,36.5,33.93,35.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,General,5.18,8.79,7,7.43,8.49,7.9,32.07,28.26,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,OBC,0,0.86,0.15,0,0,0,17.72,18.36,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,SC,4.41,8.7,6.64,1.43,8.13,4.72,37.46,43.31,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,ST,5.06,13.1,9.13,0,0,0,21.14,25.41,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,Overall,4.59,8.09,6.35,5.37,6.54,5.89,29.7,27.2,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,OBC,1.31,0.19,0.75,0,0.45,0,18.82,15.1,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,SC,7.99,7.3,7.65,7.46,10.85,9.17,18.99,22.32,20.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,ST,1.54,1.88,1.71,0.12,1.63,0.87,16.96,18.38,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,Overall,2.06,1.43,1.76,0,1.9,0.83,17.22,17.24,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,General,2.98,5.78,4.41,8.54,13.28,10.82,38.3,34.57,36.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,OBC,3.46,5.84,4.7,0.47,0.91,0.69,27.42,25.43,26.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,SC,0,1.42,0.52,0,0,0,35,17.7,27.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,ST,0,0,0,0,0,0,12.62,2.35,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,Overall,2.89,5.62,4.28,7.33,11.33,9.27,36.48,32.22,34.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,General,0,0,0,0,2.34,0.26,12.24,9.71,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,OBC,6.18,6.2,6.19,4.61,6.6,5.61,34.87,32.52,33.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,SC,0,3.39,1.47,5.42,7.41,6.4,29.31,28.93,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,ST,1.68,1.72,1.7,0,0,0,21.75,24.35,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,Overall,4.23,4.28,4.25,2.97,5.45,4.21,29.82,27.87,28.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,General,0,13.13,4.44,0,2.33,0,25.58,19.5,22.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,OBC,0,1.82,0,0,0,0,30.12,29.56,29.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,SC,16.74,18.67,17.76,13.64,6.31,9.61,28.67,14.42,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,ST,4.79,8.42,6.62,0,8.51,4,23.26,27,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,Overall,4.01,8.8,6.45,0,5.78,2.38,24.39,26.08,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,General,1.1,4.34,2.76,1.67,6.27,3.78,39.46,33.81,37.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,OBC,9.58,10.47,10.03,4.62,5.89,5.24,34.64,44.55,39.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,SC,5.6,5.19,5.39,0.32,3.27,1.77,41.67,40.55,41.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,ST,1.61,1.86,1.74,0.86,2.26,1.56,33.05,38.28,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,Overall,1.78,4.28,3.06,1.66,5.38,3.4,37.9,36.38,37.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,General,10.64,11.06,10.84,6.34,7.5,6.91,22,17.09,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,OBC,0.22,1.99,1.12,1.84,8.67,5.3,35.39,34.07,34.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,SC,1.87,1.11,1.48,0,0,0,32.95,24.7,29.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,ST,1.13,4.92,3.08,3.25,1.88,2.57,33.96,31.47,32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,Overall,2.73,4.24,3.5,2.54,6.38,4.46,32.17,29.29,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,General,2.83,4.7,3.77,7.29,9.29,8.25,29.78,28.21,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,OBC,0,3.29,1.36,10.41,8.3,9.4,49.18,42.32,46.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,SC,0,0.14,0,4.43,9.24,6.87,47.13,46.58,46.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,ST,11.49,8.04,9.73,15.42,10.12,12.65,41.84,46.12,43.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,Overall,2.18,4.12,3.16,7.58,9.16,8.35,36.16,33.84,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,General,1.46,5.92,3.69,1.78,8.17,4.68,41.41,42.83,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,OBC,0.7,0,0,0,0,0,35.49,37.53,36.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,SC,0.84,2.5,1.67,0,0,0,40.98,43.45,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,ST,9.28,15.57,12.47,17.32,14.16,15.84,36.74,43.94,40.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,Overall,1.61,4.91,3.26,0,5.93,2.69,40.24,42.06,41.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORHAT,General,0,0,0,0,0,0,12.82,13.33,13.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORHAT,OBC,3.74,2.19,2.97,3.34,6.7,5.04,33.72,33.16,33.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORHAT,SC,1.37,2.63,2.02,5.03,6.67,5.87,22.12,26.76,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORHAT,ST,6.14,6.77,6.46,0,3.65,0.47,1.79,7.11,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORHAT,Overall,1.47,1.52,1.5,1.56,4.55,3.09,24.7,25.09,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-METRO,General,3.45,2.63,3.02,0.54,1.43,1,13.06,11.69,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
