"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:21 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Gujarat,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAVNAGAR,OBC,0,0,0,2.41,0.62,1.47,25.63,26.9,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAVNAGAR,SC,0,0,0,0,0,0,10.88,13.38,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAVNAGAR,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAVNAGAR,Overall,1.37,0,0,4.57,0.97,2.68,23.61,22.99,23.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAD,General,0,0,0,0,0,0,9.76,25.51,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAD,OBC,0.48,0,0.06,8.48,2.35,5.22,28.31,24.97,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAD,SC,0.67,1.74,1.23,1.54,3.27,2.46,24.76,27.22,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAD,ST,14.13,8.84,11.07,29.59,24.93,26.52,19.75,15.88,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAD,Overall,0.62,0,0.21,7.81,2.56,4.96,26.1,25.02,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHOTAUDEPUR,General,6.3,5.91,6.1,3.67,0,1.67,19.84,24.26,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHOTAUDEPUR,OBC,4.62,4.38,4.5,10.18,7.35,8.7,22.21,30.24,26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHOTAUDEPUR,SC,7.85,2.94,5.41,0,0,0,29.47,38.56,34.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHOTAUDEPUR,ST,0,0.05,0,7.51,7.27,7.39,26.25,31.74,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHOTAUDEPUR,Overall,0.78,0.83,0.81,7.43,6.65,7.03,25.38,31.17,28.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVBHOOMI DWARKA,General,2.14,0.16,1.09,5.82,0.99,3.26,20.84,25.73,23.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVBHOOMI DWARKA,OBC,0,0,0,9.09,4.64,6.77,24.69,31.32,28.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVBHOOMI DWARKA,SC,0,0.57,0,7.03,9.08,8.1,29.46,29.91,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVBHOOMI DWARKA,ST,6.17,1.9,3.76,0,0,0,29.81,27.1,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVBHOOMI DWARKA,Overall,0,0,0,8.48,4.33,6.31,24.67,30.43,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHAD,General,2.27,0,0,0,0,0,17.75,13.52,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHAD,OBC,0.55,1.27,0.93,3.19,2.98,3.08,22.1,21.65,21.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHAD,SC,25.98,24.44,25.18,28.08,27.29,27.67,13.48,18.21,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHAD,ST,0,0,0,0,0,0,28.12,29.87,29.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHAD,Overall,0.32,0.3,0.31,0.68,0.76,0.72,26.47,27.56,27.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHINAGAR,General,2.65,0,0.39,3.59,0.6,1.89,2.82,9.56,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHINAGAR,OBC,0.54,1.18,0.88,5.35,3.42,4.31,21.8,23.73,22.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHINAGAR,SC,0,1.8,0.86,3.23,0,0.43,11.6,18.22,15.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHINAGAR,ST,0,0.89,0,0,3.17,0,15.04,12.37,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHINAGAR,Overall,0.95,0.42,0.67,4.31,2.12,3.1,14.77,18.37,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIR SOMNATH,General,0,0.71,0,1.66,0,0,17.49,22.16,20.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIR SOMNATH,OBC,0.42,0.09,0.25,6.66,5.61,6.11,26.74,30.52,28.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIR SOMNATH,SC,0,0,0,0,0,0,15.88,24.41,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIR SOMNATH,ST,7.52,9.68,8.71,8.51,0,0.78,9.7,27.94,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIR SOMNATH,Overall,0,0.16,0.07,5.28,3.87,4.55,24.35,28.96,26.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMNAGAR,General,6.23,3.95,4.97,5.08,5.65,5.4,17.8,21.6,19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
