"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:24 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Jharkhand,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,OBC,2.13,2.64,2.39,3.17,2,2.61,15.81,11.25,13.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,SC,8.13,7.77,7.95,10.25,11.44,10.81,23.43,17.02,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,ST,13.07,14.01,13.55,14.58,12.86,13.74,22.31,19.82,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,Overall,4.42,4.86,4.65,4.78,4.02,4.41,15.51,12.44,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,General,8.32,9.49,8.99,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,OBC,0,0.2,0,7,3.64,5.4,17.81,15.7,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,SC,0,0.29,0,6.93,4.47,5.67,11.86,3.13,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,ST,13.62,16.3,15.03,18.19,14.8,16.49,11.08,16.38,13.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,Overall,2.47,4.42,3.47,8.46,5.28,6.92,14.52,12.19,13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,General,6.69,13.83,10.54,47.86,0,28.28,50.74,0,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,OBC,0,0,0,0,4.66,0.64,9.51,14.88,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,SC,0,0.49,0,5.99,0,2.44,4.81,4.52,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,ST,7.94,8.23,8.1,7.31,11.75,9.5,18.43,28.46,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,Overall,5.73,6.39,6.06,7.49,9.19,8.32,18.32,22.03,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,General,0,0,0,0,0,0,0,7.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,OBC,2.08,2.84,2.48,2.24,1.69,1.97,9.36,0,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,SC,3.88,5.79,4.84,5.08,6.53,5.78,17.66,11.37,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
