"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Maharashtra,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULDANA,OBC,1.45,1.39,1.42,2.33,1.63,1.95,13.15,12.98,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULDANA,SC,1.31,0.88,1.09,1.47,0.29,0.85,13.69,12.93,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULDANA,ST,1.44,0.91,1.16,5.47,5.64,5.56,21.79,18.73,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULDANA,Overall,0.4,0.65,0.54,0.7,0.53,0.61,12.72,12.57,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDRAPUR,General,0,0,0,0,0,0,0,7.67,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDRAPUR,OBC,1.19,1.35,1.27,1.55,1.62,1.59,5.89,9.84,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDRAPUR,SC,1.51,1.98,1.76,0.71,0.04,0.36,5.36,8.52,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDRAPUR,ST,0,0,0,0,0,0,8.46,12.26,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDRAPUR,Overall,0.37,0.62,0.5,0.39,0.12,0.25,5.7,9.89,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHULE,General,0,0,0,2.8,2.29,2.53,8.63,10.06,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHULE,OBC,2.48,1.69,2.05,0.49,0.47,0.48,9.37,10.07,9.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHULE,SC,0,0,0,0,0,0,10.95,7.85,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHULE,ST,1.46,1.33,1.39,2.95,2.58,2.75,30.83,28.34,29.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHULE,Overall,0.59,0.77,0.69,1.6,1.38,1.48,17.1,16.65,16.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADCHIROLI,General,0,0,0,0,0,0,5.62,4.19,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADCHIROLI,OBC,1.57,1.88,1.73,1.71,1.92,1.82,7.61,10.39,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADCHIROLI,SC,0,0.56,0.17,0,0,0,8.38,7.69,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADCHIROLI,ST,0.76,0.73,0.75,0.24,0.53,0.38,12.24,13.69,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADCHIROLI,Overall,0.87,0.88,0.87,0.35,0.73,0.54,9.4,10.81,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONDIYA,General,0,0.3,0,1,2.43,1.74,10.07,5.78,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONDIYA,OBC,0,0,0,0,0,0,0.85,3.04,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONDIYA,SC,0,0,0,1.93,0,0.86,4.18,4.07,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONDIYA,ST,4.02,4.16,4.09,1.85,2.4,2.13,4.07,7.23,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONDIYA,Overall,0,0.05,0,0.02,0.04,0.03,2.59,4.17,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGOLI,General,0,0.34,0.15,4.08,3.14,3.6,15.37,8.84,11.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGOLI,OBC,1.83,0.81,1.31,3.87,0.96,2.37,16.48,11.45,13.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGOLI,SC,1.05,0.1,0.57,4.08,4.03,4.06,16.41,15.19,15.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGOLI,ST,2.04,2.36,2.2,7.69,3.02,5.44,22.9,14.63,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGOLI,Overall,0.96,0.66,0.8,4.38,2.61,3.47,16.61,11.54,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALGAON,General,0.51,0,0,3.02,2.64,2.81,17.78,17.5,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALGAON,OBC,0.23,0.35,0.3,0.56,0,0,12.11,12.81,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALGAON,SC,0.27,0,0,1.14,1.65,1.41,18.46,16.79,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALGAON,ST,1.44,1.44,1.44,4.4,3.69,4.01,34.3,29.51,31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALGAON,Overall,0.59,0.34,0.45,1.96,0.89,1.38,18.12,17.21,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
