Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
CHANDIGARH,General,0.0,0.0,0.0,0.13,0,0,0,0,0,10401,30.7334421,76.7797143
CHANDIGARH,OBC,0.0,0.0,0.0,0.0,0,0,0,0,0,10401,30.7334421,76.7797143
CHANDIGARH,SC,0.0,0.0,0.0,0.0,0,0,0,0,0,10401,30.7334421,76.7797143
CHANDIGARH,ST,0.82,5.66,3.56,0.0,0,0,0,0,0,10401,30.7334421,76.7797143
CHANDIGARH,Overall,0.0,0.0,0.0,0.0,0,0,0,0,0,10401,30.7334421,76.7797143
