Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
KATHUA,SC,0.0,1.11,0.57,2.72,1.59,2.11,8.02,4.77,6.3,11208,32.3765524,75.5243044,33.6649297,75.1629584
KATHUA,ST,7.3,5.34,6.27,9.97,7.58,8.7,17.24,10.68,13.44,11208,32.3765524,75.5243044,33.6649297,75.1629584
KATHUA,Overall,2.55,3.94,3.3,1.91,2.35,2.14,4.85,4.02,4.39,11208,32.3765524,75.5243044,33.6649297,75.1629584
KISHTWAR,General,8.16,9.88,9.06,5.85,2.74,4.25,11.56,12.84,12.24,11209,33.3107908,75.7694213,33.6649297,75.1629584
KISHTWAR,OBC,30.75,31.77,31.27,25.77,17.91,22.34,0.0,0.0,0.0,11209,33.3107908,75.7694213,33.6649297,75.1629584
KISHTWAR,SC,5.79,0.0,2.32,0.0,0.0,0.0,6.4,0.0,0.33,11209,33.3107908,75.7694213,33.6649297,75.1629584
KISHTWAR,ST,9.34,8.92,9.1,12.8,11.3,11.94,27.62,25.48,26.2,11209,33.3107908,75.7694213,33.6649297,75.1629584
KISHTWAR,Overall,8.96,9.7,9.35,6.51,4.03,5.22,11.5,12.0,11.77,11209,33.3107908,75.7694213,33.6649297,75.1629584
KULGAM,General,8.27,8.37,8.33,6.94,7.48,7.21,8.15,4.55,6.35,11210,33.6446899,75.0188432,33.6649297,75.1629584
KULGAM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11210,33.6446899,75.0188432,33.6649297,75.1629584
KULGAM,SC,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11210,33.6446899,75.0188432,33.6649297,75.1629584
KULGAM,ST,10.02,9.97,10.0,0.0,2.05,0.0,13.61,2.04,7.4,11210,33.6446899,75.0188432,33.6649297,75.1629584
KULGAM,Overall,7.5,6.88,7.18,5.64,5.84,5.74,6.75,2.71,4.73,11210,33.6446899,75.0188432,33.6649297,75.1629584
KUPWARA,General,5.27,4.91,5.09,0.21,0.98,0.6,3.28,0.0,0.5,11211,34.5266079,74.2567173,33.6649297,75.1629584
KUPWARA,OBC,7.13,3.81,5.45,0.0,0.0,0.0,39.57,39.39,39.47,11211,34.5266079,74.2567173,33.6649297,75.1629584
KUPWARA,SC,88.89,0.0,95.45,0.0,96.87,98.8,0.0,0.0,0.0,11211,34.5266079,74.2567173,33.6649297,75.1629584
KUPWARA,ST,6.67,7.33,7.0,5.56,0.78,3.1,22.6,24.17,23.57,11211,34.5266079,74.2567173,33.6649297,75.1629584
KUPWARA,Overall,5.6,5.18,5.38,0.71,0.63,0.67,9.37,6.43,7.79,11211,34.5266079,74.2567173,33.6649297,75.1629584
PULWAMA,General,2.92,2.05,2.48,0.0,0.0,0.0,0.0,0.0,0.0,11212,33.8756947,74.9003129,33.6649297,75.1629584
PULWAMA,OBC,0.0,0.0,0.0,5.14,9.95,7.55,37.69,40.29,38.91,11212,33.8756947,74.9003129,33.6649297,75.1629584
PULWAMA,SC,50.0,63.64,56.0,66.67,0.0,16.67,0.0,0.0,0.0,11212,33.8756947,74.9003129,33.6649297,75.1629584
PULWAMA,ST,1.03,0.0,0.0,3.22,7.63,5.64,3.12,0.0,0.0,11212,33.8756947,74.9003129,33.6649297,75.1629584
PULWAMA,Overall,1.61,0.69,1.15,0.0,0.97,0.0,1.55,0.0,0.0,11212,33.8756947,74.9003129,33.6649297,75.1629584
PUNCH,General,0.93,2.67,1.84,0.04,0.92,0.51,10.71,7.99,9.28,11213,33.7670004,74.0957143,33.6649297,75.1629584
PUNCH,OBC,31.31,32.69,32.04,27.55,33.44,30.66,0.0,12.19,6.07,11213,33.7670004,74.0957143,33.6649297,75.1629584
PUNCH,SC,79.73,84.33,82.69,84.09,43.75,73.33,50.0,33.33,42.86,11213,33.7670004,74.0957143,33.6649297,75.1629584
PUNCH,ST,7.7,5.58,6.6,6.16,4.34,5.2,22.21,9.05,14.69,11213,33.7670004,74.0957143,33.6649297,75.1629584
PUNCH,Overall,5.82,5.97,5.9,4.49,4.29,4.38,14.45,8.58,11.25,11213,33.7670004,74.0957143,33.6649297,75.1629584
RAJAURI,General,4.4,5.15,4.8,4.99,5.03,5.01,0.43,3.47,2.11,11214,33.3772495,74.3132332,33.6649297,75.1629584
RAJAURI,OBC,36.85,30.96,33.89,24.45,17.96,21.22,11.69,33.17,22.77,11214,33.3772495,74.3132332,33.6649297,75.1629584
RAJAURI,SC,0.0,0.0,0.0,0.0,0.0,0.0,24.24,0.0,8.02,11214,33.3772495,74.3132332,33.6649297,75.1629584
RAJAURI,ST,5.7,2.72,4.16,11.1,3.06,6.88,19.21,7.67,12.6,11214,33.3772495,74.3132332,33.6649297,75.1629584
RAJAURI,Overall,6.01,4.59,5.27,7.35,3.55,5.34,8.12,5.41,6.62,11214,33.3772495,74.3132332,33.6649297,75.1629584
RAMBAN,General,2.4,2.15,2.27,2.54,3.92,3.25,0.0,5.84,2.94,11215,33.2387042,75.2404448,33.6649297,75.1629584
RAMBAN,OBC,16.3,12.16,14.19,25.99,27.34,26.72,32.94,21.62,26.53,11215,33.2387042,75.2404448,33.6649297,75.1629584
RAMBAN,SC,1.6,2.68,2.15,0.0,0.0,0.0,0.0,0.0,0.0,11215,33.2387042,75.2404448,33.6649297,75.1629584
RAMBAN,ST,2.89,0.0,0.0,8.97,3.41,6.05,18.01,18.87,18.49,11215,33.2387042,75.2404448,33.6649297,75.1629584
RAMBAN,Overall,2.96,1.54,2.22,3.75,4.25,4.01,1.42,6.86,4.4,11215,33.2387042,75.2404448,33.6649297,75.1629584
REASI,General,10.59,10.07,10.32,6.48,7.07,6.8,10.68,10.61,10.64,11216,33.0791771,74.8362947,33.6649297,75.1629584
REASI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,19.05,26.76,23.09,11216,33.0791771,74.8362947,33.6649297,75.1629584
REASI,SC,1.99,0.0,0.0,5.26,2.28,3.77,11.2,15.03,13.11,11216,33.0791771,74.8362947,33.6649297,75.1629584
