,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
83,11217,SC,2,1,3,2,4,2,0,2,2,SAMBA
84,11217,ST,1,2,2,0,2,0,3,4,0,SAMBA
85,11218,General,2,1,2,0,0,4,2,4,4,SHOPIAN
86,11218,OBC,0,0,0,1,2,0,2,2,4,SHOPIAN
87,11218,Overall,1,0,0,0,2,3,2,1,2,SHOPIAN
88,11218,SC,2,1,2,0,0,0,0,4,2,SHOPIAN
89,11218,ST,1,2,4,4,0,2,3,1,0,SHOPIAN
90,11219,General,2,1,2,0,0,4,2,4,4,SRINAGAR
91,11219,OBC,1,3,3,0,4,1,4,3,2,SRINAGAR
92,11219,Overall,1,0,0,0,2,3,2,1,2,SRINAGAR
93,11219,SC,2,1,3,1,3,3,0,4,2,SRINAGAR
94,11219,ST,3,2,4,4,0,2,3,1,0,SRINAGAR
95,11220,General,2,1,2,0,1,2,2,4,4,UDHAMPUR
96,11220,OBC,1,3,3,0,4,1,3,3,2,UDHAMPUR
97,11220,Overall,1,0,0,3,1,4,2,1,2,UDHAMPUR
98,11220,SC,2,1,3,2,4,2,0,2,2,UDHAMPUR
99,11220,ST,3,2,4,0,2,0,4,1,0,UDHAMPUR
