,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
45,Jammu & Kashmir,112,Overall,3,2,,4,4,,1,0,
46,Jammu & Kashmir,112,ST,1,1,3.0,0,0,3.0,1,0,1.0
47,Jammu & Kashmir,112,SC,0,4,2.0,2,0,4.0,0,0,1.0
48,Jammu & Kashmir,112,OBC,1,4,1.0,1,1,0.0,0,0,0.0
49,Jammu & Kashmir,112,General,0,1,0.0,1,4,3.0,4,4,0.0
