Location,Cluster,Caste
AHMEDABAD,5,ST
AMRELI,5,ST
ANAND,5,ST
ARAVALLI,5,ST
BANAS KANTHA,4,ST
BHARUCH,5,ST
BHAVNAGAR,7,ST
BOTAD,5,ST
CHHOTAUDEPUR,5,ST
DEVBHOOMI DWARKA,5,ST
DOHAD,5,ST
GANDHINAGAR,6,ST
GIR SOMNATH,3,ST
JAMNAGAR,2,ST
JUNAGADH,4,ST
KACHCHH,2,ST
KHEDA,5,ST
MAHESANA,4,ST
MAHISAGAR,5,ST
MORBI,1,ST
NARMADA,6,ST
NAVSARI,5,ST
PANCH MAHALS,5,ST
PATAN,5,ST
PORBANDAR,1,ST
RAJKOT,3,ST
SABAR KANTHA,6,ST
SURAT,6,ST
SURENDRANAGAR,4,ST
TAPI,4,ST
THE DANGS,4,ST
VADODARA,4,ST
VALSAD,6,ST
