Location,Cluster,Caste
AHMEDABAD,1,SC
AMRELI,2,SC
ANAND,3,SC
ARAVALLI,1,SC
BANAS KANTHA,1,SC
BHARUCH,1,SC
BHAVNAGAR,6,SC
BOTAD,1,SC
CHHOTAUDEPUR,1,SC
DEVBHOOMI DWARKA,1,SC
DOHAD,1,SC
GANDHINAGAR,4,SC
GIR SOMNATH,1,SC
JAMNAGAR,6,SC
JUNAGADH,1,SC
KACHCHH,2,SC
KHEDA,2,SC
MAHESANA,1,SC
MAHISAGAR,1,SC
MORBI,1,SC
NARMADA,1,SC
NAVSARI,1,SC
PANCH MAHALS,1,SC
PATAN,1,SC
PORBANDAR,2,SC
RAJKOT,1,SC
SABAR KANTHA,1,SC
SURAT,1,SC
SURENDRANAGAR,2,SC
TAPI,1,SC
THE DANGS,1,SC
VADODARA,7,SC
VALSAD,5,SC
