Location,Cluster,Caste
AHMEDABAD,4,ST
AMRELI,2,ST
ANAND,6,ST
ARAVALLI,6,ST
BANAS KANTHA,4,ST
BHARUCH,2,ST
BHAVNAGAR,3,ST
BOTAD,3,ST
CHHOTAUDEPUR,5,ST
DEVBHOOMI DWARKA,3,ST
DOHAD,4,ST
GANDHINAGAR,6,ST
GIR SOMNATH,7,ST
JAMNAGAR,4,ST
JUNAGADH,7,ST
KACHCHH,1,ST
KHEDA,3,ST
MAHESANA,5,ST
MAHISAGAR,7,ST
MORBI,1,ST
NARMADA,7,ST
NAVSARI,7,ST
PANCH MAHALS,4,ST
PATAN,2,ST
PORBANDAR,7,ST
RAJKOT,3,ST
SABAR KANTHA,7,ST
SURAT,6,ST
SURENDRANAGAR,3,ST
TAPI,5,ST
THE DANGS,6,ST
VADODARA,3,ST
VALSAD,7,ST
