Location,Cluster,Caste
AHMEDABAD,1,SC
AMRELI,1,SC
ANAND,1,SC
ARAVALLI,2,SC
BANAS KANTHA,2,SC
BHARUCH,2,SC
BHAVNAGAR,6,SC
BOTAD,1,SC
CHHOTAUDEPUR,7,SC
DEVBHOOMI DWARKA,2,SC
DOHAD,1,SC
GANDHINAGAR,3,SC
GIR SOMNATH,3,SC
JAMNAGAR,6,SC
JUNAGADH,1,SC
KACHCHH,3,SC
KHEDA,4,SC
MAHESANA,1,SC
MAHISAGAR,4,SC
MORBI,1,SC
NARMADA,1,SC
NAVSARI,4,SC
PANCH MAHALS,1,SC
PATAN,2,SC
PORBANDAR,5,SC
RAJKOT,3,SC
SABAR KANTHA,1,SC
SURAT,2,SC
SURENDRANAGAR,2,SC
TAPI,1,SC
THE DANGS,1,SC
VADODARA,4,SC
VALSAD,5,SC
