Location,Cluster,Caste
AHMEDABAD,6,SC
AMRELI,7,SC
ANAND,6,SC
ARAVALLI,3,SC
BANAS KANTHA,5,SC
BHARUCH,3,SC
BHAVNAGAR,1,SC
BOTAD,5,SC
CHHOTAUDEPUR,1,SC
DEVBHOOMI DWARKA,7,SC
DOHAD,6,SC
GANDHINAGAR,3,SC
GIR SOMNATH,3,SC
JAMNAGAR,1,SC
JUNAGADH,6,SC
KACHCHH,5,SC
KHEDA,5,SC
MAHESANA,6,SC
MAHISAGAR,3,SC
MORBI,5,SC
NARMADA,2,SC
NAVSARI,6,SC
PANCH MAHALS,7,SC
PATAN,7,SC
PORBANDAR,7,SC
RAJKOT,3,SC
SABAR KANTHA,3,SC
SURAT,3,SC
SURENDRANAGAR,7,SC
TAPI,7,SC
THE DANGS,4,SC
VADODARA,5,SC
VALSAD,7,SC
