Location,Cluster,Caste
AHMEDABAD,6,SC
AMRELI,5,SC
ANAND,6,SC
ARAVALLI,6,SC
BANAS KANTHA,4,SC
BHARUCH,6,SC
BHAVNAGAR,2,SC
BOTAD,4,SC
CHHOTAUDEPUR,1,SC
DEVBHOOMI DWARKA,2,SC
DOHAD,5,SC
GANDHINAGAR,6,SC
GIR SOMNATH,6,SC
JAMNAGAR,1,SC
JUNAGADH,6,SC
KACHCHH,4,SC
KHEDA,2,SC
MAHESANA,5,SC
MAHISAGAR,6,SC
MORBI,5,SC
NARMADA,3,SC
NAVSARI,5,SC
PANCH MAHALS,4,SC
PATAN,5,SC
PORBANDAR,5,SC
RAJKOT,6,SC
SABAR KANTHA,6,SC
SURAT,6,SC
SURENDRANAGAR,5,SC
TAPI,6,SC
THE DANGS,7,SC
VADODARA,2,SC
VALSAD,4,SC
