,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
74,13015,ST,0,1,1,4,0,4,1,0,4,MANCHERIAL
75,13016,General,2,4,2,3,1,1,1,1,0,MEDAK
76,13016,OBC,0,0,3,1,1,0,2,0,0,MEDAK
77,13016,Overall,1,1,0,0,3,4,2,0,4,MEDAK
78,13016,SC,2,1,1,0,3,0,0,2,2,MEDAK
79,13016,ST,0,1,1,0,0,4,1,2,4,MEDAK
80,13017,General,2,4,2,3,1,1,1,1,0,MEDCHAL
81,13017,OBC,0,0,3,1,2,0,2,0,2,MEDCHAL
82,13017,Overall,3,3,0,0,2,3,2,0,4,MEDCHAL
83,13017,SC,2,1,1,0,2,0,0,2,2,MEDCHAL
84,13017,ST,0,1,1,0,0,4,1,2,4,MEDCHAL
85,13018,General,2,2,2,3,1,1,1,3,0,MULUGU
86,13018,OBC,0,0,3,1,2,0,2,0,2,MULUGU
87,13018,Overall,3,3,0,0,4,4,2,3,2,MULUGU
88,13018,SC,2,1,1,0,2,0,3,2,2,MULUGU
89,13018,ST,0,3,3,4,0,4,0,2,1,MULUGU
90,13019,General,2,2,2,3,1,1,1,1,0,NAGARKURNOOL
91,13019,OBC,0,0,0,1,1,0,2,0,2,NAGARKURNOOL
92,13019,Overall,3,3,0,2,4,4,2,3,2,NAGARKURNOOL
93,13019,SC,2,1,1,1,2,0,3,3,2,NAGARKURNOOL
94,13019,ST,0,1,1,4,0,4,0,2,1,NAGARKURNOOL
95,13020,General,3,2,2,3,4,2,1,3,0,NALGONDA
96,13020,OBC,0,0,0,1,1,0,2,0,2,NALGONDA
97,13020,Overall,3,3,0,2,4,4,4,3,2,NALGONDA
98,13020,SC,1,1,0,1,0,0,3,3,0,NALGONDA
99,13020,ST,3,3,3,0,0,4,0,2,1,NALGONDA
100,13021,General,3,2,2,3,1,1,3,3,0,NARAYANAPET
101,13021,OBC,0,0,0,1,1,0,0,0,2,NARAYANAPET
102,13021,Overall,3,3,0,2,4,4,4,3,2,NARAYANAPET
103,13021,SC,1,1,0,0,2,0,3,3,0,NARAYANAPET
104,13021,ST,3,3,3,0,0,4,0,2,1,NARAYANAPET
105,13022,General,3,2,2,4,1,2,3,3,0,NIRMAL
106,13022,OBC,0,0,0,3,1,1,0,0,2,NIRMAL
107,13022,Overall,3,3,0,2,4,2,4,3,2,NIRMAL
108,13022,SC,1,1,0,1,0,1,3,3,0,NIRMAL
109,13022,ST,3,3,3,0,0,0,0,2,1,NIRMAL
110,13023,General,3,0,2,3,1,2,3,3,0,NIZAMABAD
111,13023,OBC,4,4,0,3,1,1,0,4,2,NIZAMABAD
112,13023,Overall,2,2,2,2,4,2,4,3,2,NIZAMABAD
113,13023,SC,1,1,0,1,0,1,3,3,0,NIZAMABAD
114,13023,ST,3,4,2,0,0,0,0,4,0,NIZAMABAD
115,13024,General,0,0,0,1,1,1,0,4,4,PEDDAPALLI
116,13024,OBC,4,4,0,1,1,0,0,4,3,PEDDAPALLI
117,13024,Overall,2,2,2,2,1,2,0,1,0,PEDDAPALLI
118,13024,SC,1,2,0,1,0,1,4,4,0,PEDDAPALLI
119,13024,ST,3,4,2,0,2,0,0,4,0,PEDDAPALLI
120,13025,General,0,0,0,3,1,2,0,4,4,RAJANNA SIRICILLA
121,13025,OBC,4,4,0,1,3,0,0,4,3,RAJANNA SIRICILLA
122,13025,Overall,2,2,2,2,4,2,0,1,0,RAJANNA SIRICILLA
123,13025,SC,1,2,0,1,0,1,4,4,0,RAJANNA SIRICILLA
124,13025,ST,1,4,2,3,2,0,0,4,0,RAJANNA SIRICILLA
125,13026,General,0,0,0,4,4,2,0,4,4,RANGAREDDY
126,13026,OBC,4,4,0,3,3,1,0,4,3,RANGAREDDY
127,13026,Overall,2,2,2,2,4,2,0,1,0,RANGAREDDY
128,13026,SC,1,2,0,1,0,1,4,4,0,RANGAREDDY
129,13026,ST,1,4,2,0,0,0,0,4,0,RANGAREDDY
130,13027,General,0,0,0,1,1,1,0,4,4,SANGAREDDY
131,13027,OBC,4,2,2,4,3,0,0,4,3,SANGAREDDY
132,13027,Overall,2,2,2,4,1,2,0,1,0,SANGAREDDY
133,13027,SC,1,2,0,2,0,1,1,1,3,SANGAREDDY
134,13027,ST,1,4,2,3,3,3,0,1,1,SANGAREDDY
135,13028,General,0,0,0,4,4,2,0,4,4,SIDDIPET
136,13028,OBC,4,2,2,3,3,1,0,4,3,SIDDIPET
137,13028,Overall,2,2,2,2,1,2,0,1,0,SIDDIPET
138,13028,SC,3,2,0,2,0,1,4,4,0,SIDDIPET
139,13028,ST,1,4,2,0,2,0,3,1,0,SIDDIPET
140,13029,General,0,0,0,1,4,2,0,4,4,SURYAPET
141,13029,OBC,2,2,2,3,3,1,0,2,3,SURYAPET
142,13029,Overall,2,4,2,2,1,2,0,1,0,SURYAPET
143,13029,SC,3,2,0,2,0,1,1,1,3,SURYAPET
144,13029,ST,1,4,2,3,3,3,3,1,0,SURYAPET
145,13030,General,0,0,0,1,1,2,0,2,1,VIKARABAD
146,13030,OBC,2,2,2,4,3,1,4,2,4,VIKARABAD
147,13030,Overall,4,4,4,4,1,2,0,4,0,VIKARABAD
148,13030,SC,3,4,3,2,0,1,1,1,3,VIKARABAD
149,13030,ST,1,2,4,3,3,3,3,1,0,VIKARABAD
150,13031,General,0,0,0,1,4,2,0,2,1,WANAPARTHY
151,13031,OBC,2,2,2,3,3,1,4,2,4,WANAPARTHY
152,13031,Overall,4,4,4,2,1,2,0,4,0,WANAPARTHY
153,13031,SC,3,4,3,2,0,1,1,1,3,WANAPARTHY
154,13031,ST,1,2,4,3,2,0,3,1,0,WANAPARTHY
155,13032,General,0,0,0,1,4,2,0,2,1,WARANGAL
156,13032,OBC,2,2,2,4,3,1,4,2,4,WARANGAL
157,13032,Overall,4,4,4,4,1,2,0,4,0,WARANGAL
158,13032,SC,3,4,3,2,0,1,1,1,3,WARANGAL
159,13032,ST,1,2,4,3,2,0,3,1,0,WARANGAL
160,13033,General,0,0,0,1,4,2,0,2,1,YADADRI BHUVANAGIRI
161,13033,OBC,2,2,2,4,3,1,4,2,4,YADADRI BHUVANAGIRI
162,13033,Overall,4,4,4,4,1,2,0,4,0,YADADRI BHUVANAGIRI
163,13033,SC,3,4,3,2,0,1,1,1,3,YADADRI BHUVANAGIRI
164,13033,ST,1,2,4,3,3,3,3,1,0,YADADRI BHUVANAGIRI
