,Location,Caste,Boys,Girls,Overall,Boys.2,Girls.2,Overall.2,Boys.1,Girls.1,Overall.1
100,AMRELI,SC,7,3,2,7,7,5,1,4,1
101,ANAND,SC,3,2,3,3,6,6,1,2,2
102,ARAVALLI,SC,5,1,1,3,3,6,2,4,2
103,BANAS KANTHA,SC,5,1,1,5,5,4,2,1,6
104,BHARUCH,SC,6,1,1,5,3,6,2,3,1
105,BHAVNAGAR,SC,2,4,6,1,1,2,6,5,3
106,BOTAD,SC,5,1,1,5,5,4,1,1,2
107,CHHOTAUDEPUR,SC,5,1,1,1,1,1,7,7,7
108,DEVBHOOMI DWARKA,SC,5,1,1,2,7,2,2,4,2
109,DOHAD,SC,5,1,1,5,6,5,1,3,1
110,GANDHINAGAR,SC,1,7,4,7,3,6,3,1,6
111,GIR SOMNATH,SC,5,2,1,3,3,6,3,2,6
112,JAMNAGAR,SC,2,4,6,2,1,1,6,5,3
113,JUNAGADH,SC,5,1,1,7,6,6,1,4,2
114,KACHCHH,SC,6,1,2,1,5,4,3,1,6
115,KHEDA,SC,7,3,2,1,5,2,4,1,6
116,MAHESANA,SC,5,1,1,5,6,5,1,4,1
117,MAHISAGAR,SC,5,1,1,6,3,6,4,1,5
118,MORBI,SC,5,1,1,6,5,5,1,2,2
119,NARMADA,SC,5,1,1,2,2,3,1,3,1
120,NAVSARI,SC,5,1,1,5,6,5,4,2,6
121,PANCH MAHALS,SC,7,1,1,1,7,4,1,2,2
122,PATAN,SC,5,2,1,6,7,5,2,2,2
123,PORBANDAR,SC,3,1,2,5,7,5,5,2,5
124,RAJKOT,SC,7,1,1,6,3,6,3,2,6
125,SABAR KANTHA,SC,5,1,1,3,3,6,1,3,1
126,SURAT,SC,5,1,1,7,3,6,2,4,2
127,SURENDRANAGAR,SC,6,3,2,5,7,5,2,1,6
128,TAPI,SC,5,1,1,7,7,6,1,3,1
129,THE DANGS,SC,5,1,1,4,4,7,1,3,1
130,VADODARA,SC,4,5,7,2,5,2,4,1,5
131,VALSAD,SC,1,6,5,1,7,4,5,6,4
132,AHMEDABAD,ST,5,2,4,4,6,4,6,4,6
133,AMRELI,ST,5,2,4,2,6,7,3,4,1
134,ANAND,ST,5,2,4,6,2,1,1,5,3
135,ARAVALLI,ST,5,4,4,6,3,1,2,5,4
136,BANAS KANTHA,ST,4,4,6,4,7,3,5,7,6
137,BHARUCH,ST,5,2,4,2,7,4,2,6,2
138,BHAVNAGAR,ST,7,7,7,3,4,5,7,1,7
139,BOTAD,ST,5,4,4,3,1,2,6,4,6
140,CHHOTAUDEPUR,ST,5,2,4,5,2,2,3,6,2
141,DEVBHOOMI DWARKA,ST,5,2,4,3,3,4,1,5,3
142,DOHAD,ST,5,2,4,4,7,4,3,6,2
143,GANDHINAGAR,ST,6,6,1,6,1,2,5,3,6
144,GIR SOMNATH,ST,3,2,6,7,3,1,1,5,3
145,JAMNAGAR,ST,2,1,2,4,4,6,3,4,1
146,JUNAGADH,ST,4,1,5,7,1,2,2,5,3
147,KACHCHH,ST,2,1,2,1,4,5,5,4,6
148,KHEDA,ST,5,2,4,3,6,7,1,5,3
149,MAHESANA,ST,4,2,6,5,2,2,3,7,2
150,MAHISAGAR,ST,5,2,4,7,3,1,2,5,4
151,MORBI,ST,1,6,3,1,4,5,4,2,5
152,NARMADA,ST,6,5,6,7,3,1,2,6,4
153,NAVSARI,ST,5,3,4,7,3,1,1,5,3
154,PANCH MAHALS,ST,5,2,4,4,3,3,3,6,2
155,PATAN,ST,5,2,4,2,6,6,1,7,4
156,PORBANDAR,ST,1,1,1,7,2,2,1,5,3
157,RAJKOT,ST,3,2,6,3,7,6,6,4,6
158,SABAR KANTHA,ST,6,3,4,7,3,1,3,7,1
159,SURAT,ST,6,2,4,6,3,1,3,6,2
160,SURENDRANAGAR,ST,4,2,4,3,5,5,4,3,5
161,TAPI,ST,4,4,6,5,2,2,3,6,2
162,THE DANGS,ST,4,4,6,6,3,1,3,6,2
163,VADODARA,ST,4,1,5,3,6,7,5,4,6
164,VALSAD,ST,6,3,6,7,3,1,2,6,4
