Location,Social Category,Girls,Boys,Overall,Girls.1,Boys.1,Overall.1,Girls.2,Boys.2,Overall.2,latitude,longitude
MORBI,SC,0.0,0.0,0.0,3.22,0.98,2.05,21.8,17.71,19.59,22.8176662,70.8345928
MORBI,ST,13.61,6.6,9.41,32.99,22.23,26.08,38.46,44.44,42.47,22.8176662,70.8345928
MORBI,Overall,0.48,0.18,0.32,10.07,7.43,8.65,18.5,19.13,18.86,22.8176662,70.8345928
NARMADA,General,0.0,0.0,0.0,7.58,1.64,4.39,20.23,24.95,22.76,23.16290525,72.688694965
NARMADA,OBC,0.0,0.0,0.0,1.22,0.0,0.33,19.34,20.13,19.74,23.16290525,72.688694965
NARMADA,SC,0.0,0.0,0.0,0.0,0.0,0.0,55.56,39.29,48.91,23.16290525,72.688694965
NARMADA,ST,3.05,1.21,2.12,5.83,3.74,4.76,16.42,18.87,17.7,23.16290525,72.688694965
NARMADA,Overall,1.6,0.0,0.62,4.78,2.49,3.61,17.7,19.61,18.69,23.16290525,72.688694965
NAVSARI,General,0.06,0.58,0.34,0.32,1.56,0.99,6.74,16.74,12.21,20.952407,72.9323831
NAVSARI,OBC,0.27,0.22,0.24,1.53,1.68,1.61,7.7,10.59,9.25,20.952407,72.9323831
NAVSARI,SC,0.0,0.0,0.0,2.83,9.89,6.49,12.02,20.57,16.57,20.952407,72.9323831
NAVSARI,ST,0.66,0.0,0.28,0.0,0.0,0.0,13.29,19.21,16.35,20.952407,72.9323831
NAVSARI,Overall,0.22,0.0,0.08,0.0,0.0,0.0,10.85,16.78,13.98,20.952407,72.9323831
PANCH MAHALS,General,0.0,0.0,0.0,0.51,2.21,1.41,14.76,18.46,16.8,23.16290525,72.688694965
PANCH MAHALS,OBC,0.0,0.0,0.0,5.27,3.75,4.49,22.15,24.81,23.6,23.16290525,72.688694965
PANCH MAHALS,SC,0.0,0.62,0.31,4.18,0.0,1.29,14.67,28.05,21.83,23.16290525,72.688694965
PANCH MAHALS,ST,0.0,0.0,0.0,7.24,6.26,6.74,18.24,26.0,22.3,23.16290525,72.688694965
PANCH MAHALS,Overall,0.0,0.0,0.0,5.42,4.13,4.76,20.37,24.65,22.69,23.16290525,72.688694965
PATAN,General,1.98,2.62,2.32,6.07,6.08,6.07,10.48,18.13,14.88,29.7578585,79.984626392
PATAN,OBC,0.0,0.0,0.0,7.69,3.5,5.47,26.41,23.29,24.55,29.7578585,79.984626392
PATAN,SC,1.96,0.0,0.56,3.24,3.19,3.21,13.39,17.01,15.39,29.7578585,79.984626392
PATAN,ST,0.0,0.0,0.0,11.09,0.0,4.13,29.96,33.33,32.02,29.7578585,79.984626392
PATAN,Overall,0.37,0.0,0.1,7.12,3.81,5.36,22.38,22.06,22.19,29.7578585,79.984626392
PORBANDAR,General,2.37,0.0,0.0,4.18,0.0,0.0,6.2,19.28,13.51,21.6409,69.611
PORBANDAR,OBC,0.0,0.56,0.0,5.16,6.04,5.62,14.84,20.91,18.08,21.6409,69.611
PORBANDAR,SC,0.0,3.37,1.75,4.3,18.36,11.54,14.41,21.56,18.05,21.6409,69.611
PORBANDAR,ST,4.76,7.58,6.35,1.32,0.0,0.0,9.38,16.87,14.12,21.6409,69.611
PORBANDAR,Overall,0.0,0.93,0.31,4.79,4.78,4.79,13.39,20.46,17.21,21.6409,69.611
RAJKOT,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.79,25.7317537,75.5911088
RAJKOT,OBC,2.2,2.38,2.29,9.19,8.04,8.58,18.29,22.81,20.85,25.7317537,75.5911088
RAJKOT,SC,0.0,0.94,0.26,4.29,4.51,4.41,5.84,18.24,12.48,25.7317537,75.5911088
RAJKOT,ST,0.0,4.83,2.52,13.38,18.34,16.44,25.19,35.77,31.75,25.7317537,75.5911088
RAJKOT,Overall,1.0,1.05,1.03,5.64,5.04,5.31,9.37,14.88,12.51,25.7317537,75.5911088
SABAR KANTHA,General,2.22,1.45,1.8,1.17,0.0,0.13,5.97,13.83,10.38,23.16290525,72.688694965
SABAR KANTHA,OBC,0.03,0.0,0.0,3.02,2.35,2.67,19.28,19.51,19.41,23.16290525,72.688694965
SABAR KANTHA,SC,0.0,0.0,0.0,0.04,0.0,0.0,8.27,12.17,10.4,23.16290525,72.688694965
