"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:undefined,,,,,,,,,,,,,,,,,,State Name :Lakshadweep,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKSHADWEEP,General,71.43,11.11,53.33,57.14,0,30.77,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKSHADWEEP,OBC,24.39,24.39,24.39,11.76,27.27,17.86,9.09,0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKSHADWEEP,SC,33.33,0,12.5,0,50,33.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKSHADWEEP,ST,0,0.08,0,1.42,2.96,2.24,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKSHADWEEP,Overall,0.43,0.48,0.45,1.9,3.23,2.6,0,0.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Overall,0.43,0.48,0.45,1.9,3.23,2.6,0,0.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
