,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
60,Kerala,115,Overall,3,2,3,4,4,1,4,0,0
61,Kerala,115,General,0,1,0,1,4,3,1,3,0
62,Kerala,115,ST,1,1,3,0,0,3,1,0,1
63,Kerala,115,SC,0,3,0,2,4,3,0,0,0
64,Kerala,115,OBC,1,3,1,0,4,0,0,0,0
