DNo,Location
12001,BISHNUPUR
12002,CHANDEL
12003,CHURACHANDPUR
12004,IMPHAL EAST
12005,IMPHAL WEST
12006,JIRIBAM
12007,KAKCHING
12008,KAMJONG
12009,KANGPOKPI
12010,NONEY
12011,PHERZAWL
12012,SENAPATI
12013,TAMENGLONG
12014,TENGNOUPAL
12015,THOUBAL
12016,UKHRUL
