DNo,Location
11301,BOKARO
11302,CHATRA
11303,DEOGHAR
11304,DHANBAD
11305,DUMKA
11306,GARHWA
11307,GIRIDIH
11308,GODDA
11309,GUMLA
11310,HAZARIBAG
11311,JAMTARA
11312,KHUNTI
11313,KODARMA
11314,LATEHAR
11315,LOHARDAGA
11316,PAKAUR
11317,PALAMU
11318,PASHCHIMI SINGHBHUM
11319,PURBI SINGHBHUM
11320,RAMGARH
11321,RANCHI
11322,SAHIBGANJ
11323,SARAIKELA-KHARSAWAN
11324,SIMDEGA
