DNo,Location
12601,AMRITSAR
12602,BARNALA
12603,BATHINDA
12604,FARIDKOT
12605,FATEHGARH SAHIB
12606,FAZILKA
12607,FIROZPUR
12608,GURDASPUR
12609,HOSHIARPUR
12610,JALANDHAR
12611,KAPURTHALA
12612,LUDHIANA
12613,MALERKOTLA
12614,MANSA
12615,MOGA
12616,MOHALI
12617,MUKTSAR
12618,NAWANSHAHR
12619,PATHANKOT
12620,PATIALA
12621,RUPNAGAR
12622,SANGRUR
12623,TARAN TARAN
