DNo,Location
11101,BILASPUR (H.P.)
11102,CHAMBA
11103,HAMIRPUR (H.P.)
11104,KANGRA
11105,KINNAUR
11106,KULLU
11107,LAHUL & SPITI
11108,MANDI
11109,SHIMLA
11110,SIRMAUR
11111,SOLAN
11112,UNA
