DNo,Location
11501,ALAPPUZHA
11502,ERNAKULAM
11503,IDUKKI
11504,KANNUR
11505,KASARAGOD
11506,KOLLAM
11507,KOTTAYAM
11508,KOZHIKODE
11509,MALAPPURAM
11510,PALAKKAD
11511,PATHANAMTHITTA
11512,THIRUVANANTHAPURAM
11513,THRISSUR
11514,WAYANAD
