DNo,Location
13301,ALMORA
13302,BAGESHWAR
13303,CHAMOLI
13304,CHAMPAWAT
13305,DEHRADUN
13306,HARDWAR
13307,NAINITAL
13308,PAURI
13309,PITHORAGARH
13310,RUDRAPRAYAG
13311,TEHRI GARHWAL
13312,UDHAM SINGH NAGAR
13313,UTTARKASHI
