DNo,Location
13101,DHALAI
13102,GOMATI
13103,KHOWAI
13104,NORTH TRIPURA
13105,SEPAHIJALA
13106,SOUTH TRIPURA
13107,UNAKOTI
13108,WEST TRIPURA
