"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"UT Zone Total","1338560","791604","59.14%","137225","10.25%","93946","7.02%","560573","41.88%","216570","223027","480016","35.86%","507298","37.9%","351244","26.24%"
"State Total","115249","38527","33.43%","10852","9.42%","3593","3.12%","24182","20.98%","6705","4327","80135","69.53%","20978","18.2%","14135","12.26%"
"Puducherry (02)","88898","29323","32.98%","7890","8.88%","2572","2.89%","18959","21.33%","4814","2547","62899","70.75%","15887","17.87%","10111","11.37%"
"Karaikal (04)","26351","9204","34.93%","2962","11.24%","1021","3.87%","5223","19.82%","1891","1780","17236","65.41%","5091","19.32%","4024","15.27%"
