"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"North Eastern Zone Total","8061458","1081787","13.42%","741744","9.2%","68841","0.85%","273031","3.39%","604791","271708","6121734","75.94%","1183955","14.69%","754967","9.37%"
"State Total","88723","23833","26.86%","18261","20.58%","1060","1.19%","4512","5.09%","13531","4805","64762","72.99%","11432","12.89%","12400","13.98%"
"North  District (01)","6550","2018","30.81%","1547","23.62%","51","0.78%","420","6.41%","662","293","4630","70.69%","970","14.81%","937","14.31%"
"West District (02)","26267","5564","21.18%","4888","18.61%","99","0.38%","577","2.2%","2570","1079","20680","78.73%","2602","9.91%","2930","11.15%"
"South District (03)","24429","5872","24.04%","4191","17.16%","527","2.16%","1154","4.72%","3120","1284","18644","76.32%","2797","11.45%","2970","12.16%"
"East District (04)","31477","10379","32.97%","7635","24.26%","383","1.22%","2361","7.5%","7179","2149","20808","66.11%","5063","16.08%","5563","17.67%"
