"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"West Zone Total","31206237","3352606","10.74%","1600362","5.13%","356772","1.14%","1398615","4.48%","1458445","1126170","22135192","70.93%","5855964","18.77%","3204134","10.27%"
"State Total","220731","129404","58.63%","28800","13.05%","6195","2.81%","94538","42.83%","43381","19614","88335","40.02%","74568","33.78%","57667","26.13%"
"NorthGoa (01)","140451","84295","60.02%","21665","15.43%","3331","2.37%","59299","42.22%","28302","12023","55266","39.35%","44929","31.99%","40181","28.61%"
"SouthGoa (02)","80280","45109","56.19%","7135","8.89%","2864","3.57%","35239","43.9%","15079","7591","33069","41.19%","29639","36.92%","17486","21.78%"
