Location,Caste
NARMADA,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
NAVSARI,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
PANCH MAHALS,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
PATAN,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
PORBANDAR,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
RAJKOT,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
SABAR KANTHA,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
SURAT,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
SURENDRANAGAR,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
TAPI,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
THE DANGS,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
VADODARA,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
VALSAD,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
