DNo,Location,Social Category,Income,prim_Girls_social_cat,prim_Girls_income,prim_Boys_social_cat,prim_Boys_income,prim_Overall_social_cat,prim_Overall_income,upPrim_Girls_social_cat,upPrim_Girls_income,upPrim_Boys_social_cat,upPrim_Boys_income,upPrim_Overall_social_cat,upPrim_Overall_income,snr_Girls_social_cat,snr_Girls_income,snr_Boys_social_cat,snr_Boys_income,snr_Overall_social_cat,snr_Overall_income
10009,PRAKASAM,ST,High,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616,47.496387,52.503616
10009,PRAKASAM,Overall,High,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826,0.14116551,99.858826
10010,SRIKAKULAM,General,High,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226,10.952781,89.047226
10010,SRIKAKULAM,OBC,High,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478,1.8152251,98.18478
10010,SRIKAKULAM,Overall,High,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984,26.64016,73.35984
10011,VISAKHAPATNAM,General,High,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204,1.6679549,98.33204
10011,VISAKHAPATNAM,OBC,High,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655,0.0943524,99.905655
10011,VISAKHAPATNAM,SC,High,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952,16.610477,83.38952
10011,VISAKHAPATNAM,ST,High,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048,0.4895184,99.51048
10012,VIZIANAGARAM,General,High,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977,0.15022548,99.84977
