DNo,Location,Social Category,Income,dropout,snr_Girls_social_category,snr_Girls_income
10001,ANANTAPUR,General,High,1,0.4073945339769125,99.5926022529602
10001,ANANTAPUR,OBC,High,1,0.006825922173447907,99.99316930770874
10001,ANANTAPUR,SC,High,1,0.02768966369330883,99.97231364250183
10001,ANANTAPUR,ST,High,1,0.1124288304708898,99.88756775856018
10001,ANANTAPUR,Overall,High,1,0.013557921920437366,99.98644590377808
10002,CHITTOOR,General,High,1,37.12126314640045,62.87873387336731
10002,CHITTOOR,OBC,High,1,0.16396084101870656,99.83603358268738
10002,CHITTOOR,SC,High,1,0.32727366778999567,99.67272281646729
10002,CHITTOOR,ST,High,1,25.340616703033447,74.65938329696655
10002,CHITTOOR,Overall,High,1,0.28254997450858355,99.71745014190674
10003,EASTGODAVARI,General,High,1,0.17522041453048587,99.82478618621826
10003,EASTGODAVARI,OBC,High,1,0.06531550316140056,99.93467926979065
10003,EASTGODAVARI,SC,High,1,0.147921871393919,99.85207915306091
10003,EASTGODAVARI,ST,High,1,0.11446460848674178,99.88553524017334
10003,EASTGODAVARI,Overall,High,1,0.06625225069001317,99.93374943733215
10004,GUNTUR,General,High,1,0.08718083263374865,99.91281628608704
10004,GUNTUR,OBC,High,1,0.022573681781068444,99.97742772102356
10004,GUNTUR,SC,High,1,0.06560338661074638,99.93439316749573
10004,GUNTUR,ST,High,1,0.04299894208088517,99.95699524879456
10004,GUNTUR,Overall,High,1,0.028744377777911723,99.97125267982483
10005,KADAPA,General,High,1,0.17354227602481842,99.82646107673645
10005,KADAPA,OBC,High,1,0.005258438613964245,99.99474287033081
10005,KADAPA,SC,High,1,0.054234336130321026,99.94576573371887
10005,KADAPA,ST,High,1,0.003361647031852044,99.99663829803467
10005,KADAPA,Overall,High,1,0.014393914898391813,99.98559951782227
10006,KRISHNA,General,High,1,0.028811267111450434,99.9711811542511
10006,KRISHNA,OBC,High,1,0.007602174446219578,99.99239444732666
10006,KRISHNA,SC,High,1,0.021038037084508687,99.97896552085876
10006,KRISHNA,ST,High,1,0.006810714694438502,99.99319314956665
10006,KRISHNA,Overall,High,1,0.008833449828671291,99.99116659164429
10007,KURNOOL,General,High,1,0.3150681732222438,99.68493580818176
10007,KURNOOL,OBC,High,1,0.0068751069193240255,99.99312162399292
10007,KURNOOL,SC,High,1,0.08347060065716505,99.91652965545654
10007,KURNOOL,ST,High,1,0.21018742118030787,99.78981018066406
10007,KURNOOL,Overall,High,1,0.014991643547546118,99.98500347137451
10008,NELLORE,General,High,1,0.8395381271839142,99.16046261787415
10008,NELLORE,OBC,High,1,0.0837043218780309,99.91629123687744
10008,NELLORE,SC,High,1,0.147555663716048,99.85244870185852
10008,NELLORE,ST,High,1,0.002205989403591957,99.99779462814331
10008,NELLORE,Overall,High,1,0.07611198234371841,99.92388486862183
10009,PRAKASAM,General,High,1,0.024602000485174358,99.9754011631012
10009,PRAKASAM,OBC,High,1,0.0069246525526978076,99.9930739402771
10009,PRAKASAM,SC,High,1,0.019523582886904478,99.98047947883606
10009,PRAKASAM,ST,High,1,0.08022919064387679,99.91976618766785
10009,PRAKASAM,Overall,High,1,0.00928879962884821,99.990713596344
10010,SRIKAKULAM,General,High,0,74.35958087444305,25.640422105789185
10010,SRIKAKULAM,OBC,High,1,0.07976837805472314,99.9202311038971
10010,SRIKAKULAM,SC,High,1,0.1601346186362207,99.83986020088196
10010,SRIKAKULAM,ST,High,1,0.03954482963308692,99.96045231819153
10010,SRIKAKULAM,Overall,High,1,0.13159385416656733,99.86841082572937
10011,VISAKHAPATNAM,General,High,1,0.022249462199397385,99.97774958610535
10011,VISAKHAPATNAM,OBC,High,1,29.871714115142822,70.12828588485718
10011,VISAKHAPATNAM,SC,High,1,7.861574739217758,92.13842153549194
10011,VISAKHAPATNAM,ST,High,1,3.637181594967842,96.36281728744507
10011,VISAKHAPATNAM,Overall,High,1,0.335682719014585,99.66431856155396
10012,VIZIANAGARAM,General,High,0,74.35958087444305,25.640422105789185
10012,VIZIANAGARAM,OBC,High,1,0.14180972939357162,99.85818862915039
10012,VIZIANAGARAM,SC,High,0,52.59810984134674,47.4018931388855
10012,VIZIANAGARAM,ST,High,0,87.72907257080078,12.270933389663696
10012,VIZIANAGARAM,Overall,High,1,0.5407212767750025,99.45927262306213
10013,WESTGODAVARI,General,High,1,0.18788189627230167,99.81212019920349
10013,WESTGODAVARI,OBC,High,1,0.0876230071298778,99.9123752117157
10013,WESTGODAVARI,SC,High,1,0.15894807875156403,99.84104633331299
10013,WESTGODAVARI,ST,High,1,14.871326088905334,85.1286768913269
10013,WESTGODAVARI,Overall,High,1,0.08476101793348789,99.9152421951294
10101,ArunachalPradesh,General,High,1,0.016222777776420116,99.98377561569214
10101,ArunachalPradesh,SC,High,1,1.4859090559184551,98.51409196853638
10101,ArunachalPradesh,ST,High,1,0.46951049007475376,99.53049421310425
10101,ArunachalPradesh,OBC,High,1,0.20680585876107216,99.7931957244873
10201,BAJALI,General,High,0,74.35958087444305,25.640422105789185
10201,BAJALI,OBC,High,0,72.5934624671936,27.406537532806396
10201,BAJALI,SC,High,0,75.77421963214874,24.22577738761902
10201,BAJALI,ST,High,0,87.72907257080078,12.270933389663696
10201,BAJALI,Overall,High,0,52.83604562282562,47.163957357406616
10202,BAKSA,General,Low,1,6.879763425615693e-07,100.0
10202,BAKSA,OBC,Low,1,1.5000346520466223e-07,100.0
10202,BAKSA,SC,Low,1,5.3351781326149705e-09,100.0
10202,BAKSA,ST,Low,1,5.234189970337866e-06,100.0
