DNo,Location,Social Category,Income,snr_Boys_socialcat,snr_Boys_income
10711,SouthWestB,Overall,High,1.383256,98.61674
10712,WestA,General,High,0.046458714,99.953545
10712,WestA,OBC,High,13.352927,86.64707
10712,WestA,SC,High,0.041535098,99.95846
10712,WestA,ST,High,6.661024,93.33898
10712,WestA,Overall,High,16.021328,83.978676
10713,WestB,General,High,0.009067451,99.99093
10713,WestB,OBC,High,8.980034,91.01996
10713,WestB,ST,High,0.07404661,99.92596
10713,WestB,Overall,High,24.763317,75.23669
10801,NORTHGOA,General,High,44.90316,55.096848
10801,NORTHGOA,OBC,High,0.057697244,99.94231
10801,NORTHGOA,SC,High,1.3679161,98.63208
10801,NORTHGOA,ST,High,0.53943753,99.46056
10802,SOUTHGOA,General,High,2.5563824,97.44362
10802,SOUTHGOA,SC,High,1.0121818,98.987816
10802,SOUTHGOA,Overall,High,1.2662858,98.73372
10901,AHMEDABAD,General,High,0.76360005,99.236404
10901,AHMEDABAD,OBC,High,5.835946,94.16405
10901,AHMEDABAD,SC,High,0.53721607,99.46279
10901,AHMEDABAD,ST,High,1.8966161,98.10338
10901,AHMEDABAD,Overall,High,5.523869,94.47613
10902,AMRELI,General,High,0.93092555,99.06907
10902,AMRELI,OBC,High,9.051819,90.94817
10902,AMRELI,SC,High,0.68563867,99.314354
10902,AMRELI,ST,High,5.110629,94.88938
10902,AMRELI,Overall,High,0.017360272,99.982635
10903,ANAND,General,High,0.21253373,99.78746
10903,ANAND,OBC,High,14.292592,85.70741
10903,ANAND,SC,High,1.8492377,98.15076
10903,ANAND,Overall,High,0.14977463,99.85023
10904,ARAVALLI,General,High,2.0691354,97.93087
10904,ARAVALLI,OBC,High,0.71265113,99.287346
10904,ARAVALLI,SC,High,0.18504894,99.81495
10904,ARAVALLI,ST,High,4.5671406,95.43285
10905,BANASKANTHA,General,High,2.73862,97.261375
10905,BANASKANTHA,OBC,High,0.9510045,99.048996
10905,BANASKANTHA,SC,High,18.220276,81.77972
10905,BANASKANTHA,ST,High,0.071802735,99.92819
10905,BANASKANTHA,Overall,High,0.06325266,99.93675
10906,BHARUCH,General,High,1.8029177,98.19709
10906,BHARUCH,OBC,High,1.7784737,98.22152
10906,BHARUCH,SC,High,0.97592974,99.02407
10906,BHARUCH,ST,High,19.523685,80.47631
10906,BHARUCH,Overall,High,23.506985,76.49301
10907,BHAVNAGAR,General,High,0.3988719,99.60113
10907,BHAVNAGAR,OBC,High,2.6413965,97.358604
10907,BHAVNAGAR,SC,High,0.8428441,99.15716
10907,BHAVNAGAR,ST,High,10.775207,89.22479
10907,BHAVNAGAR,Overall,High,45.42554,54.57446
10908,BOTAD,General,High,43.834785,56.16522
10908,BOTAD,OBC,High,0.8430455,99.15696
10908,BOTAD,SC,High,0.16417158,99.83583
10908,BOTAD,ST,High,0.7254133,99.27458
10908,BOTAD,Overall,High,0.60072565,99.39928
