DNo,Location,Social Category,Income,snr_Girls_socialcat,snr_Girls_income
10706,NorthWestA,SC,High,0.44362327,99.55637
10706,NorthWestA,ST,High,4.088293,95.91171
10706,NorthWestA,Overall,High,0.071601674,99.9284
10707,NorthWestB,General,High,0.8064883,99.19351
10707,NorthWestB,OBC,High,0.19801436,99.80198
10707,NorthWestB,SC,High,0.22597678,99.774025
10707,NorthWestB,ST,High,0.7930719,99.206924
10707,NorthWestB,Overall,High,8.084379,91.91562
10708,South,General,High,0.0769061,99.923096
10708,South,SC,High,34.948933,65.05106
10708,South,ST,High,0.98258924,99.0174
10709,SouthEast,General,High,20.88673,79.113266
10709,SouthEast,OBC,High,0.055785675,99.944214
10709,SouthEast,SC,High,14.083813,85.91618
10709,SouthEast,ST,High,0.17309931,99.8269
10709,SouthEast,Overall,High,0.19243145,99.80757
10710,SouthWestA,General,High,46.510868,53.489136
10710,SouthWestA,OBC,High,0.50065106,99.49935
10710,SouthWestA,SC,High,0.71826124,99.28174
10710,SouthWestA,ST,High,0.13178587,99.86821
10710,SouthWestA,Overall,High,6.725996,93.274
10711,SouthWestB,General,High,0.34281576,99.65719
10711,SouthWestB,OBC,High,2.1591246,97.84088
10711,SouthWestB,SC,High,15.691796,84.308205
10711,SouthWestB,ST,High,17.84625,82.15374
10711,SouthWestB,Overall,High,1.2777706,98.72223
10712,WestA,General,High,0.056944117,99.94305
10712,WestA,OBC,High,22.884727,77.11527
10712,WestA,SC,High,0.049432773,99.95056
10712,WestA,ST,High,1.9187683,98.08123
10712,WestA,Overall,High,8.633281,91.36672
10713,WestB,General,High,0.003516539,99.99648
10713,WestB,OBC,High,5.0854588,94.91454
10713,WestB,ST,High,0.03396481,99.966034
10713,WestB,Overall,High,21.40724,78.592766
10801,NORTHGOA,OBC,High,0.035821956,99.96418
10801,NORTHGOA,SC,High,0.8541859,99.14581
10801,NORTHGOA,ST,High,0.36942884,99.63057
10802,SOUTHGOA,General,High,1.943624,98.05637
10802,SOUTHGOA,SC,High,0.79190695,99.2081
10802,SOUTHGOA,Overall,High,0.7058403,99.29416
10901,AHMEDABAD,General,High,0.120655514,99.87933
10901,AHMEDABAD,OBC,High,0.033507466,99.96649
10901,AHMEDABAD,SC,High,0.36545664,99.634544
10901,AHMEDABAD,ST,High,1.0399684,98.96003
10901,AHMEDABAD,Overall,High,2.9087417,97.091255
10902,AMRELI,General,High,0.51380455,99.48619
10902,AMRELI,OBC,High,10.154485,89.84551
10902,AMRELI,SC,High,1.1822019,98.817795
10902,AMRELI,ST,High,1.7762046,98.2238
10902,AMRELI,Overall,High,0.01524514,99.98476
10903,ANAND,General,High,0.14089663,99.8591
10903,ANAND,OBC,High,39.69012,60.30988
10903,ANAND,SC,High,1.4422779,98.55772
10903,ANAND,Overall,High,0.05238916,99.94762
10904,ARAVALLI,General,High,3.3793025,96.6207
10904,ARAVALLI,OBC,High,0.31270242,99.687294
10904,ARAVALLI,SC,High,0.17093144,99.82907
10904,ARAVALLI,ST,High,5.2661605,94.73385
10905,BANASKANTHA,General,High,2.4144483,97.58555
10905,BANASKANTHA,OBC,High,1.1143961,98.885605
10905,BANASKANTHA,SC,High,18.14156,81.858444
10905,BANASKANTHA,ST,High,0.06359796,99.93641
10905,BANASKANTHA,Overall,High,0.050455425,99.94954
10906,BHARUCH,General,High,4.591912,95.40809
10906,BHARUCH,OBC,High,2.6129367,97.38706
10906,BHARUCH,SC,High,0.7361905,99.26381
10906,BHARUCH,ST,High,25.589334,74.41067
10906,BHARUCH,Overall,High,0.089518815,99.91048
10907,BHAVNAGAR,General,High,0.46818042,99.531815
10907,BHAVNAGAR,OBC,High,7.623702,92.376305
10907,BHAVNAGAR,SC,High,0.56533694,99.434654
10907,BHAVNAGAR,ST,High,2.5307212,97.469284
10907,BHAVNAGAR,Overall,High,37.913567,62.086426
10908,BOTAD,OBC,High,0.6952017,99.3048
10908,BOTAD,SC,High,0.0640918,99.935905
10908,BOTAD,ST,High,0.39740494,99.60259
10908,BOTAD,Overall,High,0.44871956,99.55128
