DNo,Location,Social Category,Income,upPrim_Overall_socialcat,upPrim_Overall_income
10509,DHAMTARI,OBC,High,3.1893392,96.81066
10509,DHAMTARI,SC,High,0.4386989,99.561295
10509,DHAMTARI,ST,High,4.4323797,95.56761
10510,DURG,General,Middle,0.10861038,99.89139
10510,DURG,OBC,Middle,0.37656572,99.623436
10510,DURG,SC,Middle,1.555478,98.44452
10510,DURG,ST,Middle,2.297207,97.70279
10510,DURG,Overall,Middle,0.3006892,99.69931
10511,GARIABAND,General,Middle,0.4782489,99.52176
10511,GARIABAND,OBC,Middle,0.62257636,99.37742
10511,GARIABAND,SC,Middle,0.5027343,99.49727
10511,GARIABAND,ST,Middle,0.35798502,99.64201
10511,GARIABAND,Overall,Middle,29.012703,70.9873
10512,GOURELAPENDRAMARVAHI,General,Middle,0.71324694,99.28676
10512,GOURELAPENDRAMARVAHI,OBC,Middle,0.5754564,99.424545
10512,GOURELAPENDRAMARVAHI,SC,Middle,0.2599988,99.740005
10512,GOURELAPENDRAMARVAHI,Overall,Middle,0.24581233,99.75419
10513,JANJGIR-CHAMPA,General,Middle,0.24249649,99.7575
10514,JASHPUR,General,High,0.07248486,99.92751
10514,JASHPUR,SC,High,0.12797908,99.87203
10514,JASHPUR,ST,High,0.5803318,99.41966
10514,JASHPUR,Overall,High,0.24731359,99.752686
10515,KANKER,General,High,0.38457358,99.615425
10515,KANKER,OBC,High,0.7341516,99.26585
10515,KANKER,SC,High,4.0127993,95.9872
10516,KAWARDHA,General,High,12.178726,87.82127
10516,KAWARDHA,OBC,High,0.42766184,99.572334
10516,KAWARDHA,SC,High,0.17912008,99.82088
10517,KONDAGAON,General,High,0.20774387,99.79226
10517,KONDAGAON,OBC,High,1.6616367,98.33836
10517,KONDAGAON,SC,High,0.05042869,99.94958
10517,KONDAGAON,ST,High,21.771975,78.22803
10517,KONDAGAON,Overall,High,0.8748576,99.12514
10518,KORBA,General,High,4.502103,95.4979
10518,KORBA,OBC,High,19.852047,80.14796
10518,KORBA,SC,High,0.3422876,99.65771
10518,KORBA,ST,High,2.515068,97.48493
10518,KORBA,Overall,High,0.8536159,99.146385
10519,KORIYA,SC,High,1.0683099,98.93169
10519,KORIYA,ST,High,0.46209148,99.53791
10519,KORIYA,Overall,High,1.8917514,98.108246
10520,MAHASAMUND,General,High,0.22060457,99.77939
10520,MAHASAMUND,OBC,High,0.3898717,99.61012
10520,MAHASAMUND,SC,High,0.05678072,99.943214
10520,MAHASAMUND,ST,High,3.0096202,96.99038
10521,MUNGELI,General,High,0.31972772,99.68027
10521,MUNGELI,OBC,High,1.9127477,98.08725
10521,MUNGELI,SC,High,5.6230826,94.376915
10522,NARAYANPUR,General,High,0.31896666,99.68104
10522,NARAYANPUR,SC,High,0.19319251,99.8068
10522,NARAYANPUR,ST,High,0.325911,99.67409
10523,RAIGARH,OBC,High,1.2723738,98.72762
10523,RAIGARH,OBC,High,1.1575409,98.84245
10523,RAIGARH,SC,High,0.45591947,99.54408
10523,RAIGARH,ST,High,0.04577595,99.95422
10523,RAIGARH,Overall,High,0.19685228,99.80315
10524,RAIPUR,OBC,High,0.17064047,99.82936
10524,RAIPUR,SC,High,0.44408515,99.55591
10524,RAIPUR,Overall,High,0.9807706,99.019226
10525,RAJNANDGAON,OBC,High,0.70375425,99.29624
10525,RAJNANDGAON,SC,High,0.68773943,99.31226
10525,RAJNANDGAON,ST,High,0.16410172,99.8359
10526,SUKMA,General,High,0.06560652,99.934395
10526,SUKMA,OBC,High,3.767167,96.232834
10526,SUKMA,SC,High,0.48745275,99.51255
10526,SUKMA,Overall,High,7.3181963,92.68181
10527,SURAJPUR,General,High,0.5885112,99.41149
10527,SURAJPUR,OBC,High,30.652925,69.34708
10527,SURAJPUR,SC,High,1.685776,98.314224
10527,SURAJPUR,ST,High,0.21958807,99.78041
10528,SURGUJA,General,High,1.9492612,98.05073
10528,SURGUJA,SC,High,0.29873374,99.70126
10601,DADRAANDNAGARHAVELI(DIST),General,High,0.698637,99.30137
10601,DADRAANDNAGARHAVELI(DIST),SC,High,38.093082,61.90692
10601,DADRAANDNAGARHAVELI(DIST),ST,High,0.22679272,99.7732
10601,DADRAANDNAGARHAVELI(DIST),Overall,High,0.2061982,99.7938
10602,DAMAN(DIST),General,High,0.39976096,99.600235
10602,DAMAN(DIST),ST,High,0.167353,99.83265
10602,DAMAN(DIST),Overall,High,1.4406912,98.5593
10603,DIU(DIST),General,High,0.19025393,99.809746
10603,DIU(DIST),OBC,High,0.34432477,99.65568
10603,DIU(DIST),ST,High,1.0822144,98.917786
10603,DIU(DIST),Overall,High,0.2082939,99.79171
10701,Central,SC,High,0.24628863,99.753716
10701,Central,ST,High,0.2900036,99.71
10701,Central,Overall,High,7.1420984,92.857895
10702,East,General,High,44.43934,55.560654
10702,East,OBC,High,0.16540389,99.834595
10702,East,ST,High,6.3141866,93.685814
10702,East,Overall,High,0.10420375,99.8958
10703,NewDelhi,General,High,0.2347046,99.7653
10703,NewDelhi,SC,High,1.06112,98.93887
10703,NewDelhi,Overall,High,0.36960244,99.630394
10704,North,General,High,0.8770951,99.12291
10704,North,OBC,High,0.2720434,99.72796
10704,North,SC,High,5.147722,94.85227
10704,North,ST,High,0.013205533,99.98679
10704,North,Overall,High,0.4550179,99.54498
10705,NorthEast,General,High,0.14815743,99.85184
10705,NorthEast,OBC,High,0.58777195,99.41223
10705,NorthEast,SC,High,0.38901007,99.61099
10706,NorthWestA,General,High,0.47065964,99.52934
10706,NorthWestA,OBC,High,0.09506617,99.90494
10706,NorthWestA,SC,High,0.4038458,99.59616
10706,NorthWestA,ST,High,30.379498,69.6205
10706,NorthWestA,Overall,High,0.5920544,99.40794
10707,NorthWestB,General,High,1.9510156,98.04898
10707,NorthWestB,OBC,High,0.6499523,99.350044
10707,NorthWestB,SC,High,0.5110751,99.48892
10707,NorthWestB,ST,High,0.1113471,99.88865
10707,NorthWestB,Overall,High,1.0759537,98.92405
10708,South,General,High,1.236714,98.76329
10708,South,ST,High,1.2621306,98.73787
10709,SouthEast,General,High,30.167208,69.83279
10709,SouthEast,OBC,High,0.55042493,99.44957
10709,SouthEast,ST,High,0.6493227,99.35068
10709,SouthEast,Overall,High,2.8709514,97.12905
10710,SouthWestA,General,High,0.18809502,99.811905
10710,SouthWestA,OBC,High,0.21010984,99.789894
10710,SouthWestA,SC,High,0.79341877,99.20658
10710,SouthWestA,ST,High,0.7955188,99.20448
10710,SouthWestA,Overall,High,20.185324,79.81468
10711,SouthWestB,General,High,2.2562695,97.74373
10712,WestA,General,High,0.07932845,99.92067
10712,WestA,SC,High,0.21069792,99.78931
10712,WestA,ST,High,0.39296728,99.607025
10712,WestA,Overall,High,1.4042386,98.59576
10713,WestB,General,High,0.08829911,99.9117
10713,WestB,SC,High,9.051554,90.94845
10713,WestB,ST,High,0.361099,99.6389
10801,NORTHGOA,General,High,15.898186,84.10182
10801,NORTHGOA,OBC,High,1.0839667,98.91604
10801,NORTHGOA,SC,High,1.5428984,98.4571
10802,SOUTHGOA,Overall,High,11.445163,88.55483
10901,AHMEDABAD,General,High,0.110115685,99.889885
10901,AHMEDABAD,OBC,High,0.14324616,99.85674
10901,AHMEDABAD,SC,High,40.513653,59.486347
10901,AHMEDABAD,Overall,High,1.3479025,98.6521
10902,AMRELI,General,High,2.9555056,97.044495
10902,AMRELI,OBC,High,26.384684,73.61531
10902,AMRELI,SC,High,0.2522829,99.74771
10902,AMRELI,ST,High,1.1793876,98.82061
10902,AMRELI,Overall,High,1.0595288,98.94047
10903,ANAND,General,High,0.225213,99.77478
10903,ANAND,OBC,High,1.1960974,98.803894
10903,ANAND,SC,High,3.3662162,96.63379
10903,ANAND,Overall,High,0.72320795,99.276794
10904,ARAVALLI,General,High,1.123926,98.876076
10904,ARAVALLI,OBC,High,3.368542,96.63146
10904,ARAVALLI,SC,High,0.1758679,99.82413
10905,BANASKANTHA,Overall,High,0.3891483,99.61085
10906,BHARUCH,General,High,1.01364,98.98636
10906,BHARUCH,OBC,High,0.19778325,99.80222
10906,BHARUCH,SC,High,0.8825112,99.117485
10906,BHARUCH,ST,High,37.967022,62.032978
10906,BHARUCH,Overall,High,0.052834094,99.947174
10907,BHAVNAGAR,General,High,11.249318,88.75069
10907,BHAVNAGAR,OBC,High,0.71727514,99.28272
10907,BHAVNAGAR,SC,High,1.2089765,98.79103
10907,BHAVNAGAR,ST,High,3.2882657,96.71174
10908,BOTAD,General,High,1.9171631,98.08283
10908,BOTAD,OBC,High,0.7413182,99.25868
10908,BOTAD,SC,High,0.7775576,99.22244
