DNo,Location,Social Category,Income,upPrim_Girls_socialcat,upPrim_Girls_income
10317,KISHANGANJ,OBC,High,1.0085906,98.99141
10317,KISHANGANJ,SC,High,1.9700776,98.02992
10317,KISHANGANJ,ST,High,4.970247,95.029755
10318,LAKHISARAI,General,High,4.564011,95.43599
10318,LAKHISARAI,ST,High,3.1588733,96.841125
10318,LAKHISARAI,Overall,High,7.132293,92.86771
10319,MADHEPURA,General,High,16.480425,83.51957
10319,MADHEPURA,OBC,High,2.502224,97.49777
10319,MADHEPURA,SC,High,2.5793118,97.420685
10319,MADHEPURA,ST,High,1.889736,98.11027
10319,MADHEPURA,Overall,High,20.565315,79.434685
10320,MADHUBANI,General,High,2.1189506,97.88106
10320,MADHUBANI,SC,High,8.866154,91.13384
10320,MADHUBANI,Overall,High,0.9641773,99.03583
10321,MUNGER,OBC,Low,3.311534,96.68846
10321,MUNGER,SC,Low,0.42734602,99.57266
10321,MUNGER,ST,Low,3.4057093,96.5943
10321,MUNGER,Overall,Low,0.5911932,99.408806
10322,MUZAFFARPUR,OBC,High,1.7930295,98.20697
10322,MUZAFFARPUR,SC,High,1.0049227,98.99507
10322,MUZAFFARPUR,Overall,High,2.2765224,97.72348
10323,NALANDA,General,Low,1.2935802,98.70642
10323,NALANDA,ST,Low,1.3178495,98.682144
10323,NALANDA,Overall,Low,2.1975088,97.8025
10324,NAWADA,General,High,2.0294707,97.97053
10324,NAWADA,ST,High,10.640512,89.35949
10324,NAWADA,Overall,High,2.766099,97.2339
10325,PASHCHIMCHAMPARAN,Overall,High,0.8518118,99.14819
10326,PATNA,General,Low,1.565871,98.434135
10326,PATNA,OBC,Low,2.8978832,97.10212
10326,PATNA,Overall,Low,38.982666,61.017334
10327,PURBACHAMPARAN,General,Low,47.5127,52.487297
10327,PURBACHAMPARAN,OBC,Low,1.2689639,98.731026
10327,PURBACHAMPARAN,SC,Low,3.9758048,96.02419
10327,PURBACHAMPARAN,ST,Low,20.0583,79.9417
10328,PURNIA,General,High,4.805952,95.194046
10328,PURNIA,OBC,High,9.474066,90.52593
10328,PURNIA,SC,High,1.0914387,98.90856
10328,PURNIA,ST,High,1.4626772,98.53732
10328,PURNIA,Overall,High,25.639692,74.36031
10329,ROHTAS,General,High,1.1840689,98.81593
10329,ROHTAS,OBC,High,2.2770193,97.72298
10329,ROHTAS,SC,High,1.5996134,98.40038
10329,ROHTAS,ST,High,2.248114,97.75188
10330,SAHARSA,General,High,0.9732455,99.02676
10330,SAHARSA,OBC,High,1.5470241,98.45297
10330,SAHARSA,Overall,High,1.4333324,98.566666
10331,SAMASTIPUR,General,High,0.23014073,99.76986
10331,SAMASTIPUR,SC,High,1.1777432,98.82225
10331,SAMASTIPUR,Overall,High,21.156424,78.843575
10332,SARAN,General,Low,1.0626376,98.93736
10332,SARAN,SC,Low,37.18122,62.81878
10332,SARAN,ST,Low,0.20492831,99.795074
10332,SARAN,Overall,Low,0.9285666,99.071434
10333,SHEIKHPURA,General,Low,5.263607,94.73639
10333,SHEIKHPURA,OBC,Low,5.3468404,94.65316
10333,SHEIKHPURA,SC,Low,1.5372723,98.46273
10333,SHEIKHPURA,ST,Low,1.7166786,98.28332
10333,SHEIKHPURA,Overall,Low,28.41037,71.58963
10334,SHEOHAR,General,High,1.8359572,98.16404
10334,SHEOHAR,OBC,High,1.1877155,98.81229
10334,SHEOHAR,SC,High,2.5876899,97.412315
10334,SHEOHAR,ST,High,3.2726407,96.72736
10335,SITAMARHI,General,High,9.169379,90.83062
10335,SITAMARHI,OBC,High,38.686768,61.313236
10335,SITAMARHI,SC,High,1.8733004,98.12669
10335,SITAMARHI,ST,High,1.4825978,98.5174
10336,SIWAN,General,High,1.1126078,98.8874
10336,SIWAN,OBC,High,1.9874997,98.012505
10336,SIWAN,SC,High,2.7613912,97.23861
10336,SIWAN,ST,High,2.0911348,97.90886
