DNo,Location,Social Category,Income,prim_Boys_socialcat,prim_Boys_income
10516,KAWARDHA,OBC,High,3.4583087,96.54169
10516,KAWARDHA,SC,High,6.4323554,93.56764
10517,KONDAGAON,General,High,5.4321027,94.567894
10517,KONDAGAON,OBC,High,2.863367,97.136635
10517,KONDAGAON,SC,High,14.431897,85.568115
10517,KONDAGAON,ST,High,27.404871,72.59512
10517,KONDAGAON,Overall,High,40.240772,59.759235
10518,KORBA,OBC,High,45.250637,54.74936
10518,KORBA,SC,High,19.953321,80.046684
10518,KORBA,Overall,High,6.9025474,93.09745
10519,KORIYA,General,High,19.213877,80.78612
10519,KORIYA,ST,High,7.9498186,92.05018
10519,KORIYA,Overall,High,7.6331043,92.36689
10520,MAHASAMUND,General,High,25.343027,74.65697
10520,MAHASAMUND,OBC,High,47.709915,52.29008
10520,MAHASAMUND,SC,High,15.819801,84.1802
10520,MAHASAMUND,ST,High,11.550169,88.44982
10521,MUNGELI,General,High,6.4021816,93.59782
10521,MUNGELI,OBC,High,26.298697,73.7013
10521,MUNGELI,ST,High,4.360563,95.639435
10522,NARAYANPUR,General,High,3.0307066,96.96929
10522,NARAYANPUR,SC,High,4.987097,95.01291
10522,NARAYANPUR,ST,High,34.525524,65.47447
10523,RAIGARH,General,High,12.058998,87.941
10523,RAIGARH,OBC,High,35.05766,64.942345
10523,RAIGARH,SC,High,16.91543,83.08457
10523,RAIGARH,SC,High,26.120323,73.87968
10523,RAIGARH,ST,High,6.284593,93.71541
10523,RAIGARH,ST,High,12.216249,87.783745
10523,RAIGARH,Overall,High,8.921055,91.07895
10524,RAIPUR,OBC,High,34.650032,65.34997
10524,RAIPUR,SC,High,17.257624,82.74238
10524,RAIPUR,Overall,High,44.572838,55.42717
10525,RAJNANDGAON,OBC,High,6.0057974,93.994194
10525,RAJNANDGAON,SC,High,8.088877,91.911125
10525,RAJNANDGAON,ST,High,8.180068,91.81993
10526,SUKMA,General,High,7.812202,92.18779
10526,SUKMA,SC,High,4.3592477,95.64075
10526,SUKMA,ST,High,9.149488,90.85051
10527,SURAJPUR,General,High,38.19555,61.80445
10527,SURAJPUR,OBC,High,6.3426137,93.65738
10527,SURAJPUR,SC,High,26.99079,73.00921
10527,SURAJPUR,ST,High,35.98534,64.01466
10527,SURAJPUR,Overall,High,5.904812,94.09519
10528,SURGUJA,General,High,7.474168,92.525826
10528,SURGUJA,OBC,High,8.060136,91.939865
10528,SURGUJA,SC,High,3.366143,96.63385
10601,DADRAANDNAGARHAVELI(DIST),General,High,13.176309,86.82369
10601,DADRAANDNAGARHAVELI(DIST),SC,High,5.521278,94.47872
10601,DADRAANDNAGARHAVELI(DIST),ST,High,8.211507,91.78849
10601,DADRAANDNAGARHAVELI(DIST),Overall,High,3.1452808,96.85472
10602,DAMAN(DIST),General,High,39.30548,60.69451
10602,DAMAN(DIST),ST,High,6.628422,93.371574
10603,DIU(DIST),General,High,8.968546,91.031456
10603,DIU(DIST),OBC,High,22.096527,77.90347
10603,DIU(DIST),ST,High,3.3848946,96.6151
10603,DIU(DIST),Overall,High,12.782023,87.21797
10701,Central,SC,High,6.7112207,93.28878
10701,Central,ST,High,4.118707,95.88129
10701,Central,Overall,High,2.003653,97.996346
10702,East,General,High,5.4679613,94.53204
10702,East,OBC,High,9.374886,90.62512
10702,East,ST,High,42.979404,57.0206
10702,East,Overall,High,17.885124,82.11488
10703,NewDelhi,General,High,12.657164,87.34284
10703,NewDelhi,SC,High,2.8161504,97.18385
10703,NewDelhi,ST,High,8.4284525,91.57155
10703,NewDelhi,Overall,High,33.414494,66.58551
10704,North,General,High,49.930996,50.069
10704,North,OBC,High,5.41442,94.58558
10704,North,SC,High,2.7652779,97.234726
10704,North,ST,High,22.978823,77.02118
10704,North,Overall,High,5.0999684,94.90004
10705,NorthEast,General,High,43.05756,56.942432
10705,NorthEast,OBC,High,26.35557,73.644424
10705,NorthEast,SC,High,7.065939,92.93407
10705,NorthEast,Overall,High,6.807705,93.19231
10706,NorthWestA,General,High,4.2346187,95.76538
10706,NorthWestA,OBC,High,12.459008,87.540985
10706,NorthWestA,SC,High,8.714177,91.28583
10706,NorthWestA,Overall,High,34.8776,65.1224
10707,NorthWestB,General,High,5.719523,94.28047
10707,NorthWestB,OBC,High,4.671498,95.32851
10707,NorthWestB,SC,High,41.82629,58.17371
10707,NorthWestB,ST,High,3.65442,96.34558
10707,NorthWestB,Overall,High,2.4338512,97.566154
10708,South,General,High,7.279653,92.720345
10708,South,SC,High,5.8972807,94.102715
10709,SouthEast,OBC,High,13.089879,86.91012
10709,SouthEast,SC,High,32.427803,67.5722
10709,SouthEast,Overall,High,3.157846,96.842155
10710,SouthWestA,General,High,4.9516907,95.04831
10710,SouthWestA,OBC,High,4.8554344,95.14456
10710,SouthWestA,SC,High,43.263657,56.736343
10710,SouthWestA,ST,High,3.1825974,96.8174
10711,SouthWestB,General,High,11.68433,88.31567
10712,WestA,General,High,8.967456,91.03255
10712,WestA,ST,High,3.0444305,96.95556
10712,WestA,Overall,High,1.7853237,98.21468
10713,WestB,General,High,18.504076,81.495926
10713,WestB,SC,High,1.3976619,98.60234
10713,WestB,ST,High,13.151838,86.84817
10801,NORTHGOA,SC,High,19.40855,80.591446
10802,SOUTHGOA,General,High,25.80498,74.19502
10802,SOUTHGOA,SC,High,9.282478,90.71752
10901,AHMEDABAD,General,High,11.882106,88.1179
10901,AHMEDABAD,OBC,High,7.430723,92.569275
10901,AHMEDABAD,ST,High,7.3139734,92.68603
10901,AHMEDABAD,Overall,High,3.2805336,96.71947
10902,AMRELI,SC,High,25.340122,74.659874
10902,AMRELI,ST,High,2.2004392,97.79956
10902,AMRELI,Overall,High,13.6907015,86.3093
10903,ANAND,General,High,11.67622,88.323784
10903,ANAND,OBC,High,6.5823054,93.417694
10903,ANAND,SC,High,35.216705,64.7833
10903,ANAND,Overall,High,3.7816498,96.218346
10904,ARAVALLI,General,High,36.73591,63.26409
10904,ARAVALLI,OBC,High,24.841837,75.158165
10904,ARAVALLI,SC,High,25.373465,74.62654
10904,ARAVALLI,Overall,High,9.322778,90.67722
10905,BANASKANTHA,Overall,High,42.898247,57.101757
10906,BHARUCH,General,High,3.7779992,96.222
10906,BHARUCH,OBC,High,22.661139,77.33886
10906,BHARUCH,SC,High,10.766067,89.23393
10906,BHARUCH,Overall,High,21.179638,78.82036
10907,BHAVNAGAR,OBC,High,37.275337,62.724663
10907,BHAVNAGAR,SC,High,20.344315,79.655685
10907,BHAVNAGAR,ST,High,16.816874,83.18312
10907,BHAVNAGAR,Overall,High,7.939218,92.06078
10908,BOTAD,OBC,High,47.611603,52.3884
10908,BOTAD,SC,High,6.990224,93.00977
10908,BOTAD,ST,High,8.790712,91.20928
10908,BOTAD,Overall,High,12.831508,87.168495
