DNo,Location,Social Category,Income,prim_Girls_socialcat,prim_Girls_income
10232,TAMULPUR,ST,High,0.7559592,99.24405
10233,TINSUKIA,General,Low,4.825305,95.1747
10233,TINSUKIA,SC,Low,1.0098015,98.990204
10235,WESTKARBIANGLONG,General,High,2.9509273,97.04907
10235,WESTKARBIANGLONG,ST,High,41.08633,58.91366
10235,WESTKARBIANGLONG,Overall,High,1.2256863,98.774315
10301,ARARIA,SC,High,3.6199899,96.38001
10301,ARARIA,ST,High,1.4863825,98.51362
10301,ARARIA,Overall,High,7.936959,92.06305
10302,ARWAL,OBC,Low,1.1880609,98.81194
10302,ARWAL,SC,Low,0.82829773,99.17171
10302,ARWAL,Overall,Low,12.454173,87.54583
10303,AURANGABAD(BIHAR),General,Low,17.318577,82.68143
10303,AURANGABAD(BIHAR),OBC,Low,20.83667,79.16333
10303,AURANGABAD(BIHAR),ST,Low,20.17403,79.82597
10304,BANKA,General,High,29.986948,70.013054
10304,BANKA,ST,High,1.101572,98.89843
10305,BEGUSARAI,General,High,0.9982223,99.001785
10305,BEGUSARAI,OBC,High,4.50838,95.491615
10305,BEGUSARAI,SC,High,2.5125585,97.487434
10305,BEGUSARAI,Overall,High,2.091219,97.90878
10306,BHAGALPUR,OBC,Low,1.4234618,98.57654
10306,BHAGALPUR,SC,Low,41.12988,58.870117
10306,BHAGALPUR,Overall,Low,4.285604,95.71439
10307,BHOJPUR,ST,Low,45.210293,54.789703
10308,BUXAR,OBC,High,6.9303126,93.06969
10309,DARBHANGA,General,High,2.9659736,97.03403
10309,DARBHANGA,OBC,High,25.022585,74.97742
10309,DARBHANGA,SC,High,46.04985,53.95015
10309,DARBHANGA,ST,High,7.357196,92.64281
10310,GAYA,General,Low,2.6239696,97.37603
10310,GAYA,ST,Low,32.269104,67.73089
10310,GAYA,Overall,Low,23.502693,76.49731
10311,GOPALGANJ,General,Low,3.4700253,96.529976
10311,GOPALGANJ,OBC,Low,0.96890384,99.03109
10312,JAMUI,General,High,1.2548459,98.74515
10312,JAMUI,SC,High,18.12914,81.87086
10312,JAMUI,ST,High,25.61975,74.38026
10312,JAMUI,Overall,High,2.2848284,97.71517
10313,JEHANABAD,ST,High,14.097236,85.902756
10313,JEHANABAD,Overall,High,21.45854,78.54146
10314,KAIMUR(BHABUA),OBC,High,2.5972962,97.4027
10314,KAIMUR(BHABUA),Overall,High,5.4845343,94.515465
10315,KATIHAR,General,High,1.4056323,98.59437
10315,KATIHAR,SC,High,2.7960474,97.20395
10316,KHAGARIA,Overall,High,2.5746162,97.425385
10317,KISHANGANJ,General,High,1.3819629,98.618034
10317,KISHANGANJ,OBC,High,6.2768893,93.72311
10317,KISHANGANJ,Overall,High,2.3739393,97.62606
10318,LAKHISARAI,General,High,3.590842,96.40916
10319,MADHEPURA,General,High,2.5200772,97.47992
10319,MADHEPURA,SC,High,1.6370269,98.362976
10319,MADHEPURA,ST,High,24.184093,75.8159
10319,MADHEPURA,Overall,High,1.2115545,98.788445
