DNo,Location,Social Category,Income,dropout,snr_Boys_social_category,snr_Boys_income
10218,JORHAT,General,High,1,0.026416403125040233,99.97357726097107
10218,JORHAT,OBC,High,1,0.006481667514890432,99.99351501464844
10218,JORHAT,SC,High,1,11.597838997840881,88.40215802192688
10218,JORHAT,ST,High,1,0.3885052399709821,99.611496925354
10218,JORHAT,Overall,High,1,0.01082591261365451,99.98917579650879
10219,KAMRUP-METRO,General,High,1,0.807631853967905,99.19236302375793
10219,KAMRUP-METRO,OBC,High,0,82.90987014770508,17.0901358127594
10219,KAMRUP-METRO,SC,High,1,0.0057064040447585285,99.99428987503052
10219,KAMRUP-METRO,ST,High,1,0.669145630672574,99.33085441589355
10219,KAMRUP-METRO,Overall,High,1,0.293637253344059,99.70635771751404
10220,KAMRUP-RURAL,General,High,1,0.00033550213629496284,99.99966621398926
10220,KAMRUP-RURAL,OBC,High,1,0.0011117473150079604,99.99889135360718
10220,KAMRUP-RURAL,SC,High,1,0.0010978023055940866,99.99890327453613
10220,KAMRUP-RURAL,ST,High,1,0.00022564390746993013,99.99977350234985
10220,KAMRUP-RURAL,Overall,High,1,0.000161031073275808,99.99983310699463
10221,KARBIANGLONG,General,High,0,80.18529266119003,19.814705848693848
10221,KARBIANGLONG,OBC,High,1,0.0008243026059062686,99.9991774559021
10221,KARBIANGLONG,SC,High,1,0.0004953958068654174,99.99949932098389
10221,KARBIANGLONG,ST,High,1,0.014582823496311903,99.98542070388794
10221,KARBIANGLONG,Overall,High,1,0.005645813143928535,99.9943494796753
10222,KARIMGANJ,General,High,1,0.001179328955913661,99.99881982803345
10222,KARIMGANJ,OBC,High,1,8.285500712190697e-05,99.99991655349731
10222,KARIMGANJ,SC,High,1,0.0002871737251552986,99.99971389770508
10222,KARIMGANJ,ST,High,0,91.2901520729065,8.709847927093506
10222,KARIMGANJ,Overall,High,1,0.0002578221256044344,99.99973773956299
10223,KOKRAJHAR,General,High,1,0.0021046505935373716,99.99788999557495
10223,KOKRAJHAR,OBC,High,1,0.00282465189229697,99.99717473983765
10223,KOKRAJHAR,SC,High,1,0.00979808610281907,99.99020099639893
10223,KOKRAJHAR,ST,High,1,1.0773874819278717,98.92261624336243
10223,KOKRAJHAR,Overall,High,1,0.006515069253509864,99.99347925186157
10224,LAKHIMPUR,General,Low,1,0.006943498010514304,99.99305009841919
10224,LAKHIMPUR,OBC,Low,1,0.014833634486421943,99.98515844345093
10224,LAKHIMPUR,SC,Low,1,0.0047599874960724264,99.99524354934692
10224,LAKHIMPUR,ST,Low,1,6.626143306493759,93.37385296821594
10224,LAKHIMPUR,Overall,Low,1,0.01985488779610023,99.98014569282532
10225,MAJULI,General,Low,1,0.017126312013715506,99.98286962509155
10225,MAJULI,OBC,Low,1,0.00398836491513066,99.99600648880005
10225,MAJULI,SC,Low,1,0.0418476207414642,99.9581515789032
10225,MAJULI,ST,Low,1,0.09407044854015112,99.905925989151
10225,MAJULI,Overall,Low,1,0.01896935427794233,99.981027841568
10226,MORIGAON,General,High,1,0.00027984215194010176,99.99972581863403
10226,MORIGAON,OBC,High,1,0.01667772448854521,99.98332262039185
10226,MORIGAON,SC,High,1,0.0010839690730790608,99.99891519546509
10226,MORIGAON,ST,High,1,0.0004017898845631862,99.99959468841553
10226,MORIGAON,Overall,High,1,0.00029372909011726733,99.99970197677612
10227,NAGAON,General,High,1,0.0009230211617250461,99.99908208847046
10227,NAGAON,OBC,High,1,0.07202578708529472,99.9279797077179
10227,NAGAON,SC,High,1,0.03577139577828348,99.96422529220581
10227,NAGAON,ST,High,1,0.0865034235175699,99.91349577903748
10227,NAGAON,Overall,High,1,0.0017117576135206036,99.99828338623047
10228,NALBARI,General,High,1,0.04150219028815627,99.9584972858429
10228,NALBARI,OBC,High,1,0.14864369295537472,99.85135197639465
10228,NALBARI,SC,High,1,0.0015907664419501089,99.99841451644897
10228,NALBARI,ST,High,0,91.2901520729065,8.709847927093506
10228,NALBARI,Overall,High,1,0.01705135655356571,99.98294115066528
10229,SIBSAGAR,General,High,1,4.033125936985016,95.96686959266663
10229,SIBSAGAR,OBC,High,1,0.011640649609034881,99.98835325241089
10229,SIBSAGAR,SC,High,1,0.06211036234162748,99.93789196014404
10229,SIBSAGAR,ST,High,1,0.13674311339855194,99.86324906349182
10229,SIBSAGAR,Overall,High,1,0.020542799029499292,99.97945427894592
10230,SONITPUR,General,High,1,0.00021832647689734586,99.99978542327881
10230,SONITPUR,OBC,High,1,0.0005432855687104166,99.99945163726807
10230,SONITPUR,SC,High,1,0.0009518502338323742,99.9990463256836
10230,SONITPUR,ST,High,1,0.0007622713837918127,99.99923706054688
10230,SONITPUR,Overall,High,1,0.00020246625354047865,99.99979734420776
10231,SOUTHSALMARA-MANKACHAR,General,High,1,0.0011279382306383923,99.99886751174927
10231,SOUTHSALMARA-MANKACHAR,OBC,High,1,7.937734025631471e-07,100.0
10231,SOUTHSALMARA-MANKACHAR,SC,High,1,8.636051318511306e-08,100.0
10231,SOUTHSALMARA-MANKACHAR,ST,High,1,4.73768624331683e-07,100.0
10231,SOUTHSALMARA-MANKACHAR,Overall,High,1,0.00024347757516807178,99.9997615814209
10232,TAMULPUR,General,High,0,80.18529266119003,19.814705848693848
10232,TAMULPUR,OBC,High,0,82.90987014770508,17.0901358127594
10232,TAMULPUR,SC,High,0,82.38890618085861,17.61109232902527
10232,TAMULPUR,ST,High,0,91.2901520729065,8.709847927093506
10232,TAMULPUR,Overall,High,0,72.41910398006439,27.580899000167847
10233,TINSUKIA,General,Low,0,87.3549535870552,12.645047903060913
10233,TINSUKIA,OBC,Low,1,6.825009677413618e-05,99.99992847442627
10233,TINSUKIA,SC,Low,1,0.0030855590011924505,99.99691247940063
10233,TINSUKIA,ST,Low,1,0.007802132313372567,99.99219179153442
10233,TINSUKIA,Overall,Low,1,0.0009802142812986858,99.99902248382568
10234,UDALGURI,General,High,1,0.3511720569804311,99.64883327484131
10234,UDALGURI,OBC,High,1,0.002888280687329825,99.99711513519287
10234,UDALGURI,SC,High,1,0.04211509658489376,99.95788931846619
10234,UDALGURI,ST,High,1,11.905116587877274,88.09488415718079
10234,UDALGURI,Overall,High,1,0.043699980597011745,99.95630383491516
10235,WESTKARBIANGLONG,General,High,0,80.18529266119003,19.814705848693848
10235,WESTKARBIANGLONG,OBC,High,1,2.362963158475395e-06,100.0
10235,WESTKARBIANGLONG,SC,High,1,2.5163504346892296e-05,99.99997615814209
10235,WESTKARBIANGLONG,ST,High,1,0.00021860273591300938,99.99978542327881
10235,WESTKARBIANGLONG,Overall,High,1,7.11136578956939e-05,99.99992847442627
10301,ARARIA,General,High,1,0.04594949132297188,99.95405673980713
10301,ARARIA,OBC,High,1,0.008360830543097109,99.99164342880249
10301,ARARIA,SC,High,1,0.01984788541449234,99.98015761375427
10301,ARARIA,ST,High,0,91.2901520729065,8.709847927093506
10301,ARARIA,Overall,High,1,0.007099597132764757,99.99289512634277
10302,ARWAL,General,Low,0,87.3549535870552,12.645047903060913
10302,ARWAL,OBC,Low,0,86.27233356237411,13.727670907974243
10302,ARWAL,SC,Low,1,0.5846257321536541,99.41537976264954
10302,ARWAL,ST,Low,1,1.2427223339273041e-05,99.99998807907104
10302,ARWAL,Overall,Low,0,78.51493060588837,21.485072374343872
10303,AURANGABAD(BIHAR),General,Low,0,87.35495507717133,12.645047903060913
10303,AURANGABAD(BIHAR),OBC,Low,1,0.0011747491953428835,99.99881982803345
10303,AURANGABAD(BIHAR),SC,Low,1,0.0017499269233667292,99.9982476234436
10303,AURANGABAD(BIHAR),ST,Low,1,0.05491870688274503,99.94508624076843
10303,AURANGABAD(BIHAR),Overall,Low,1,0.00452102831332013,99.99548196792603
10304,BANKA,General,High,0,80.18529266119003,19.814705848693848
10304,BANKA,OBC,High,1,0.015207637625280768,99.98478889465332
10304,BANKA,SC,High,1,0.012757451622746885,99.98724460601807
10304,BANKA,ST,High,1,0.059631833573803306,99.9403715133667
10304,BANKA,Overall,High,1,0.01550950255477801,99.98449087142944
10305,BEGUSARAI,General,High,1,0.0024834156647557393,99.99752044677734
10305,BEGUSARAI,OBC,High,1,0.009617419709684327,99.99037981033325
10305,BEGUSARAI,SC,High,1,0.0009794003744900692,99.99902248382568
10305,BEGUSARAI,ST,High,0,91.2901520729065,8.709847927093506
10305,BEGUSARAI,Overall,High,1,0.002647226028784644,99.99735355377197
10306,BHAGALPUR,General,Low,1,0.006633772136410698,99.99336004257202
10306,BHAGALPUR,OBC,Low,1,0.0004984672159480397,99.99949932098389
10306,BHAGALPUR,SC,Low,1,0.001313548727921443,99.99868869781494
10306,BHAGALPUR,ST,Low,1,0.005876220893696882,99.99412298202515
10306,BHAGALPUR,Overall,Low,1,0.0006715970812365413,99.99933242797852
10307,BHOJPUR,General,Low,1,0.007387082587229088,99.99260902404785
10307,BHOJPUR,OBC,Low,1,0.015526147035416216,99.98446702957153
10307,BHOJPUR,SC,Low,1,0.01564098201924935,99.98435974121094
10307,BHOJPUR,ST,Low,1,5.729384042751917e-05,99.99994039535522
10307,BHOJPUR,Overall,Low,1,0.008536262612324208,99.99146461486816
10308,BUXAR,General,High,1,0.13080810895189643,99.8691976070404
10308,BUXAR,OBC,High,1,0.00393280315620359,99.99606609344482
10308,BUXAR,SC,High,1,0.0005178776973480126,99.99948740005493
10308,BUXAR,ST,High,1,0.0006067094091122271,99.99939203262329
10308,BUXAR,Overall,High,1,0.002523826879041735,99.99747276306152
10309,DARBHANGA,General,High,1,0.05022984114475548,99.9497652053833
10309,DARBHANGA,OBC,High,1,3.34314506744704e-05,99.99996423721313
10309,DARBHANGA,SC,High,1,8.287902915071754e-05,99.99991655349731
10309,DARBHANGA,ST,High,0,91.29015058279037,8.709847927093506
10309,DARBHANGA,Overall,High,1,0.00014591286117138225,99.99985694885254
10310,GAYA,General,Low,1,0.5440005101263523,99.45599436759949
10310,GAYA,OBC,Low,1,0.04480944771785289,99.95518326759338
10310,GAYA,SC,Low,1,0.2666348358616233,99.73336458206177
10310,GAYA,ST,Low,1,23.554138839244843,76.44586563110352
10310,GAYA,Overall,Low,1,0.05841725505888462,99.94158744812012
10311,GOPALGANJ,General,Low,1,1.415771059691906,98.58422875404358
10311,GOPALGANJ,OBC,Low,1,0.012726879504043609,99.98726844787598
10311,GOPALGANJ,SC,Low,1,0.008284150680992752,99.99171495437622
10311,GOPALGANJ,ST,Low,1,0.32142193522304296,99.67857599258423
10311,GOPALGANJ,Overall,Low,1,0.01697967672953382,99.98301267623901
10312,JAMUI,General,High,0,80.18529266119003,19.814705848693848
10312,JAMUI,OBC,High,1,0.09445286123082042,99.90554451942444
10312,JAMUI,SC,High,1,0.08011910831555724,99.9198853969574
10312,JAMUI,ST,High,1,0.07895093294791877,99.92104768753052
10312,JAMUI,Overall,High,1,0.13464000076055527,99.86535310745239
10313,JEHANABAD,General,High,1,0.008701306796865538,99.9912977218628
10313,JEHANABAD,OBC,High,1,0.013432776904664934,99.98656511306763
10313,JEHANABAD,SC,High,1,0.0003930491857317975,99.99960660934448
10313,JEHANABAD,ST,High,1,3.762786193739487e-08,100.0
10313,JEHANABAD,Overall,High,1,0.002812228922266513,99.9971866607666
10314,KAIMUR(BHABUA),General,High,0,78.4137025475502,21.586304903030396
10314,KAIMUR(BHABUA),OBC,High,1,0.05882092518731952,99.94118213653564
10314,KAIMUR(BHABUA),SC,High,1,0.026339574833400548,99.97366070747375
10314,KAIMUR(BHABUA),ST,High,0,91.2901520729065,8.709847927093506
10314,KAIMUR(BHABUA),Overall,High,1,0.08607468334957957,99.91391897201538
10315,KATIHAR,General,High,1,0.01826337247621268,99.9817430973053
10315,KATIHAR,OBC,High,1,0.000490681713927188,99.99951124191284
10315,KATIHAR,SC,High,1,0.009223623783327639,99.99077320098877
10315,KATIHAR,ST,High,1,0.008010434976313263,99.99198913574219
10315,KATIHAR,Overall,High,1,0.0008232939762820024,99.9991774559021
10316,KHAGARIA,General,High,1,0.037724501453340054,99.96227025985718
10316,KHAGARIA,OBC,High,1,0.00809896519058384,99.9919056892395
10316,KHAGARIA,SC,High,1,0.02883621782530099,99.97115731239319
10316,KHAGARIA,ST,High,0,91.2901520729065,8.709847927093506
10316,KHAGARIA,Overall,High,1,0.007446711970260367,99.99254941940308
10317,KISHANGANJ,General,High,1,0.00016552406805203645,99.99983310699463
10317,KISHANGANJ,OBC,High,1,0.06835818639956415,99.93164539337158
10317,KISHANGANJ,SC,High,1,0.07530151633545756,99.92469549179077
10317,KISHANGANJ,ST,High,1,0.0015117941075004637,99.9984860420227
10317,KISHANGANJ,Overall,High,1,0.001478648391639581,99.99852180480957
10318,LAKHISARAI,General,High,1,38.715946674346924,61.284053325653076
10318,LAKHISARAI,OBC,High,1,0.08648112998344004,99.91351962089539
10318,LAKHISARAI,SC,High,1,0.019349380454514176,99.98065829277039
10318,LAKHISARAI,ST,High,1,0.000231439867093286,99.99977350234985
10318,LAKHISARAI,Overall,High,1,0.07166079012677073,99.92833733558655
10319,MADHEPURA,General,High,1,1.0170420061683672e-07,100.0
10319,MADHEPURA,OBC,High,1,0.0014249882042349782,99.99856948852539
10319,MADHEPURA,SC,High,1,0.0006780376679671463,99.99932050704956
10319,MADHEPURA,ST,High,1,2.2682996814182843e-06,100.0
10319,MADHEPURA,Overall,High,1,0.00020375787244120147,99.99979734420776
10320,MADHUBANI,General,High,1,0.0014736127923242748,99.99852180480957
10320,MADHUBANI,OBC,High,1,0.0012038131899316795,99.99879598617554
10320,MADHUBANI,SC,High,1,0.0003208726184311672,99.99967813491821
10320,MADHUBANI,ST,High,0,91.2901520729065,8.709847927093506
10320,MADHUBANI,Overall,High,1,0.0005838281140313484,99.9994158744812
10321,MUNGER,General,Low,1,8.465740829706192,91.5342628955841
10321,MUNGER,OBC,Low,1,0.001966128002095502,99.99803304672241
10321,MUNGER,SC,Low,1,0.008230323874158785,99.991774559021
10321,MUNGER,ST,Low,0,94.74063590168953,5.25936484336853
10321,MUNGER,Overall,Low,1,0.007300003926502541,99.99270439147949
10322,MUZAFFARPUR,General,High,1,0.12792990310117602,99.87207055091858
10322,MUZAFFARPUR,OBC,High,1,0.0007097846719261725,99.9992847442627
10322,MUZAFFARPUR,SC,High,1,0.0006589660642930539,99.99934434890747
10322,MUZAFFARPUR,ST,High,1,0.0068580171500798315,99.99314546585083
10322,MUZAFFARPUR,Overall,High,1,0.0012491446796047967,99.99874830245972
10323,NALANDA,General,Low,1,1.089800987392664,98.91020655632019
10323,NALANDA,OBC,Low,1,0.0018601424017106183,99.99814033508301
10323,NALANDA,SC,Low,1,0.001732896635076031,99.99827146530151
10323,NALANDA,ST,Low,1,0.2509023295715451,99.74910020828247
10323,NALANDA,Overall,Low,1,0.002402222526143305,99.99759197235107
10324,NAWADA,General,High,0,80.18529266119003,19.814705848693848
10324,NAWADA,OBC,High,1,0.020121857232879847,99.9798834323883
10324,NAWADA,SC,High,1,0.49554831348359585,99.5044469833374
10324,NAWADA,ST,High,1,4.060507308167871e-05,99.99996423721313
10324,NAWADA,Overall,High,1,0.19789470825344324,99.80210065841675
10325,PASHCHIMCHAMPARAN,General,High,1,0.11446063872426748,99.88553524017334
10325,PASHCHIMCHAMPARAN,OBC,High,1,0.0009068818144442048,99.99909400939941
10325,PASHCHIMCHAMPARAN,SC,High,1,0.002306010719621554,99.99769926071167
10325,PASHCHIMCHAMPARAN,ST,High,1,0.00629546630079858,99.99370574951172
10325,PASHCHIMCHAMPARAN,Overall,High,1,0.0013655636394105386,99.99862909317017
10326,PATNA,General,Low,1,0.0002081552338495385,99.99979734420776
10326,PATNA,OBC,Low,1,0.004369489397504367,99.99562501907349
10326,PATNA,SC,Low,1,0.0005814882115373621,99.9994158744812
10326,PATNA,ST,Low,1,0.0013560408660850953,99.99864101409912
10326,PATNA,Overall,Low,1,0.0009005643732962199,99.99909400939941
10327,PURBACHAMPARAN,General,Low,1,0.001842627716541756,99.99815225601196
10327,PURBACHAMPARAN,OBC,Low,1,0.00029301454560481943,99.99970197677612
10327,PURBACHAMPARAN,SC,Low,1,9.219575645147415e-05,99.99990463256836
10327,PURBACHAMPARAN,ST,Low,1,1.6608399278084107e-05,99.99998807907104
10327,PURBACHAMPARAN,Overall,Low,1,0.00023358563794317888,99.9997615814209
10328,PURNIA,General,High,1,14.472682774066925,85.52731275558472
10328,PURNIA,OBC,High,1,0.011789772543124855,99.98821020126343
10328,PURNIA,SC,High,1,0.047678264672867954,99.95232820510864
10328,PURNIA,ST,High,1,0.0009426549695490394,99.99905824661255
10328,PURNIA,Overall,High,1,0.013000256149098277,99.98699426651001
10329,ROHTAS,General,High,1,0.01891392603283748,99.98108744621277
10329,ROHTAS,OBC,High,1,0.005475679427036084,99.99452829360962
