DNo,Location,Social Category,Income,snr_Overall_socialcat,snr_Overall_income
10209,DARRANG,OBC,High,9.411105,90.5889
10209,DARRANG,SC,High,0.25449356,99.74551
10209,DARRANG,ST,High,0.4177778,99.58222
10209,DARRANG,Overall,High,0.18777908,99.81222
10210,DHEMAJI,General,High,0.061108604,99.938896
10210,DHEMAJI,OBC,High,0.77474684,99.22525
10210,DHEMAJI,SC,High,0.23856507,99.76144
10210,DHEMAJI,ST,High,2.8930252,97.10697
10210,DHEMAJI,Overall,High,0.7309449,99.26905
10211,DHUBRI,General,High,32.895287,67.10472
10211,DHUBRI,SC,High,0.25964317,99.74036
10211,DHUBRI,ST,High,0.26087502,99.73912
10211,DHUBRI,Overall,High,0.5175243,99.482475
10212,DIBRUGARH,General,High,0.39344487,99.60655
10212,DIBRUGARH,OBC,High,38.284355,61.715645
10212,DIBRUGARH,ST,High,4.487318,95.51269
10213,DIMAHASAO,General,High,0.78127205,99.21873
10213,DIMAHASAO,OBC,High,5.5303397,94.46966
10213,DIMAHASAO,SC,High,0.529683,99.470314
10213,DIMAHASAO,ST,High,0.2569075,99.743095
10213,DIMAHASAO,Overall,High,0.17909518,99.8209
10214,GOALPARA,General,High,0.49534756,99.50465
10214,GOALPARA,OBC,High,26.323757,73.67625
10214,GOALPARA,SC,High,9.712758,90.28724
10214,GOALPARA,ST,High,0.56104517,99.43896
10214,GOALPARA,Overall,High,0.20763406,99.79236
10215,GOLAGHAT,General,High,35.34855,64.65145
10215,GOLAGHAT,OBC,High,0.12558025,99.87441
10215,GOLAGHAT,SC,High,0.29793411,99.702065
10215,GOLAGHAT,ST,High,34.814636,65.18536
10215,GOLAGHAT,Overall,High,0.14665185,99.85335
10216,HAILAKANDI,General,High,0.011492462,99.98851
10216,HAILAKANDI,OBC,High,30.29646,69.703545
10216,HAILAKANDI,ST,High,2.4100726,97.589935
10216,HAILAKANDI,Overall,High,0.1228019,99.8772
10217,HOJAI,General,High,8.258365,91.74163
10217,HOJAI,OBC,High,2.7567074,97.24329
10217,HOJAI,ST,High,3.978118,96.02188
10217,HOJAI,Overall,High,38.083904,61.916096
10218,JORHAT,General,High,0.68943447,99.31057
10218,JORHAT,OBC,High,0.81186366,99.18814
10218,JORHAT,SC,High,0.4064671,99.59353
10218,JORHAT,ST,High,2.6403537,97.35964
10218,JORHAT,Overall,High,2.8046892,97.195305
10219,KAMRUP-METRO,General,High,3.246198,96.75381
10219,KAMRUP-METRO,OBC,High,0.20130141,99.798706
10219,KAMRUP-METRO,SC,High,1.2840965,98.715904
10219,KAMRUP-METRO,ST,High,2.10138,97.89862
10219,KAMRUP-METRO,Overall,High,1.1787698,98.82123
10220,KAMRUP-RURAL,General,High,1.1339428,98.86606
10220,KAMRUP-RURAL,OBC,High,0.78898233,99.21102
10220,KAMRUP-RURAL,SC,High,0.84505796,99.15494
10220,KAMRUP-RURAL,ST,High,0.17599636,99.824
10220,KAMRUP-RURAL,Overall,High,0.26908642,99.73091
10221,KARBIANGLONG,General,High,0.5414886,99.45851
10221,KARBIANGLONG,OBC,High,24.119755,75.88024
10221,KARBIANGLONG,SC,High,1.9147599,98.08524
10221,KARBIANGLONG,ST,High,0.14947549,99.850525
10221,KARBIANGLONG,Overall,High,0.25474522,99.745255
10222,KARIMGANJ,General,High,2.286882,97.71313
10222,KARIMGANJ,OBC,High,0.0027159492,99.997284
10222,KARIMGANJ,SC,High,0.42562905,99.57437
10222,KARIMGANJ,ST,High,0.6464718,99.35353
10222,KARIMGANJ,Overall,High,0.25191036,99.74809
10223,KOKRAJHAR,General,High,0.31632775,99.68367
10223,KOKRAJHAR,OBC,High,0.5441143,99.45589
10223,KOKRAJHAR,SC,High,2.8945963,97.10541
10223,KOKRAJHAR,ST,High,1.1207395,98.87926
10223,KOKRAJHAR,Overall,High,1.5704136,98.42958
