DNo,Location,Social Category,Income,snr_Overall_socialcat,snr_Overall_income
10517,KONDAGAON,Overall,High,0.91079205,99.08921
10518,KORBA,General,High,0.14176801,99.85824
10518,KORBA,OBC,High,0.19138652,99.808624
10518,KORBA,SC,High,0.057443947,99.94255
10518,KORBA,ST,High,0.10320855,99.89679
10518,KORBA,Overall,High,0.5771044,99.4229
10519,KORIYA,General,High,26.672363,73.32764
10519,KORIYA,OBC,High,0.14111887,99.85887
10519,KORIYA,SC,High,0.42960396,99.5704
10519,KORIYA,ST,High,0.9911119,99.00889
10519,KORIYA,Overall,High,0.30760628,99.69238
10520,MAHASAMUND,General,High,0.67595047,99.32405
10520,MAHASAMUND,OBC,High,0.25296214,99.74704
10520,MAHASAMUND,SC,High,0.048252005,99.951744
10520,MAHASAMUND,ST,High,17.973251,82.02675
10520,MAHASAMUND,Overall,High,3.9984639,96.001526
10521,MUNGELI,General,High,0.20017342,99.79983
10521,MUNGELI,OBC,High,0.2948029,99.70519
10521,MUNGELI,SC,High,0.30226922,99.69773
10521,MUNGELI,ST,High,6.723052,93.276955
10521,MUNGELI,Overall,High,1.6635677,98.33643
10522,NARAYANPUR,OBC,High,0.34525245,99.654755
10522,NARAYANPUR,SC,High,0.6356405,99.364365
10522,NARAYANPUR,ST,High,9.459361,90.540634
10523,RAIGARH,General,High,0.3476674,99.65233
10523,RAIGARH,General,High,40.13761,59.86239
10523,RAIGARH,OBC,High,0.17048351,99.82951
10523,RAIGARH,OBC,High,0.12701476,99.872986
10523,RAIGARH,SC,High,1.2963814,98.70361
10523,RAIGARH,SC,High,1.7432395,98.25676
10523,RAIGARH,ST,High,2.1579742,97.84202
10523,RAIGARH,Overall,High,0.91185474,99.08814
10523,RAIGARH,Overall,High,0.0914815,99.908516
10524,RAIPUR,General,High,8.580681,91.41933
10524,RAIPUR,OBC,High,0.18464617,99.81535
10524,RAIPUR,SC,High,0.64014643,99.359856
10524,RAIPUR,ST,High,0.2763385,99.72366
10524,RAIPUR,Overall,High,12.412646,87.58736
10525,RAJNANDGAON,OBC,High,0.1817035,99.8183
10525,RAJNANDGAON,SC,High,0.15266488,99.847336
10525,RAJNANDGAON,ST,High,0.19011202,99.80989
10525,RAJNANDGAON,Overall,High,3.5729728,96.42703
10526,SUKMA,General,High,0.18619373,99.813805
10526,SUKMA,OBC,High,0.10002133,99.89998
10526,SUKMA,SC,High,1.0123538,98.98765
10526,SUKMA,Overall,High,3.8362396,96.163765
10527,SURAJPUR,General,High,7.036821,92.96318
10527,SURAJPUR,OBC,High,0.3397889,99.6602
10527,SURAJPUR,SC,High,0.05297521,99.94703
10527,SURAJPUR,ST,High,0.4303207,99.56968
10527,SURAJPUR,Overall,High,3.6303992,96.369606
10528,SURGUJA,General,High,0.30726486,99.69273
10528,SURGUJA,OBC,High,13.333498,86.6665
10528,SURGUJA,SC,High,3.1855211,96.81448
10528,SURGUJA,ST,High,0.5239157,99.47608
10601,DADRAANDNAGARHAVELI(DIST),General,High,0.77375764,99.226234
10601,DADRAANDNAGARHAVELI(DIST),OBC,High,40.43932,59.560673
10601,DADRAANDNAGARHAVELI(DIST),SC,High,1.7595619,98.24044
10601,DADRAANDNAGARHAVELI(DIST),ST,High,0.7140663,99.285934
10601,DADRAANDNAGARHAVELI(DIST),Overall,High,0.73466545,99.265335
10602,DAMAN(DIST),General,High,0.19876333,99.80123
10602,DAMAN(DIST),OBC,High,38.11576,61.884243
10602,DAMAN(DIST),SC,High,3.8911674,96.10883
10602,DAMAN(DIST),ST,High,0.8524866,99.14751
10602,DAMAN(DIST),Overall,High,0.09485815,99.905136
10603,DIU(DIST),General,High,0.44369316,99.556305
10603,DIU(DIST),OBC,High,0.13094698,99.86906
10603,DIU(DIST),SC,High,0.57481694,99.425186
10603,DIU(DIST),ST,High,2.1780725,97.82193
10603,DIU(DIST),Overall,High,1.607431,98.39257
10701,Central,General,High,38.284355,61.715645
10701,Central,OBC,High,29.1853,70.8147
10701,Central,SC,High,1.4298491,98.57016
10701,Central,ST,High,0.69064444,99.309364
10701,Central,Overall,High,47.6208,52.379204
10702,East,General,High,13.770875,86.22912
10702,East,OBC,High,0.64370537,99.35629
10702,East,SC,High,19.453188,80.54681
10702,East,ST,High,1.2137624,98.78623
10702,East,Overall,High,0.12371743,99.87628
10703,NewDelhi,General,High,1.3466907,98.653305
10703,NewDelhi,OBC,High,49.890495,50.109505
10703,NewDelhi,SC,High,1.1132643,98.886734
10703,NewDelhi,Overall,High,0.87693876,99.12306
10704,North,General,High,0.4269185,99.57308
10704,North,OBC,High,1.3881065,98.61189
10704,North,SC,High,2.7866917,97.2133
10704,North,ST,High,0.0071834293,99.99281
10704,North,Overall,High,0.6787444,99.32126
10705,NorthEast,General,High,0.08000276,99.920006
10705,NorthEast,OBC,High,0.66463023,99.33537
10705,NorthEast,SC,High,0.5423519,99.45764
10705,NorthEast,ST,High,0.48167443,99.518326
10705,NorthEast,Overall,High,12.836761,87.163246
10706,NorthWestA,General,High,1.0129298,98.987076
10706,NorthWestA,OBC,High,0.15263799,99.84736
10706,NorthWestA,SC,High,0.5874587,99.41254
10706,NorthWestA,ST,High,1.3069148,98.693085
10706,NorthWestA,Overall,High,0.06496258,99.935036
10707,NorthWestB,General,High,1.0009836,98.99901
10707,NorthWestB,OBC,High,0.3828741,99.61713
10707,NorthWestB,SC,High,0.13771416,99.86229
10707,NorthWestB,ST,High,0.6291494,99.37085
10707,NorthWestB,Overall,High,7.5656056,92.434395
10708,South,General,High,0.19987293,99.800125
10708,South,SC,High,19.792782,80.207214
10708,South,ST,High,0.6549915,99.34501
10708,South,Overall,High,38.284355,61.715645
10709,SouthEast,General,High,7.79924,92.20076
10709,SouthEast,OBC,High,0.24764603,99.75235
10709,SouthEast,SC,High,5.45863,94.541374
10709,SouthEast,ST,High,0.1987413,99.801254
10709,SouthEast,Overall,High,0.4974664,99.50253
10710,SouthWestA,General,High,30.175716,69.82429
10710,SouthWestA,OBC,High,0.48178732,99.51821
10710,SouthWestA,SC,High,0.41195667,99.58805
10710,SouthWestA,ST,High,0.49930224,99.500694
10710,SouthWestA,Overall,High,0.8057272,99.194275
10711,SouthWestB,General,High,0.24380845,99.756195
10711,SouthWestB,OBC,High,0.8678168,99.13219
10711,SouthWestB,SC,High,2.7597227,97.24028
10711,SouthWestB,ST,High,3.2082458,96.79175
10711,SouthWestB,Overall,High,0.6516066,99.3484
10712,WestA,General,High,0.11733253,99.88267
10712,WestA,OBC,High,4.434957,95.56505
10712,WestA,SC,High,0.100093916,99.8999
10712,WestA,ST,High,1.1709442,98.829056
10712,WestA,Overall,High,6.090212,93.90978
10713,WestB,General,High,0.036520995,99.96347
10713,WestB,OBC,High,2.0145752,97.98543
10713,WestB,ST,High,0.1146574,99.885345
10713,WestB,Overall,High,6.5630593,93.43694
10801,NORTHGOA,General,High,30.777773,69.22222
10801,NORTHGOA,OBC,High,0.08416381,99.91584
10801,NORTHGOA,SC,High,0.27595323,99.724045
10801,NORTHGOA,ST,High,0.34200215,99.658
10801,NORTHGOA,Overall,High,32.816715,67.18328
10802,SOUTHGOA,General,High,1.167714,98.83229
10802,SOUTHGOA,SC,High,0.7039778,99.29601
10802,SOUTHGOA,Overall,High,0.4761041,99.52389
10901,AHMEDABAD,General,High,0.2665779,99.73342
10901,AHMEDABAD,OBC,High,0.186114,99.81389
10901,AHMEDABAD,SC,High,0.21385981,99.78615
10901,AHMEDABAD,ST,High,1.0240005,98.976
10901,AHMEDABAD,Overall,High,1.7670797,98.23292
10902,AMRELI,General,High,0.24240908,99.75759
10902,AMRELI,OBC,High,2.8137445,97.18625
10902,AMRELI,SC,High,0.7611245,99.23888
10902,AMRELI,ST,High,1.3887181,98.611275
10902,AMRELI,Overall,High,0.04818936,99.95181
10903,ANAND,General,High,0.26538998,99.734604
10903,ANAND,OBC,High,9.6498165,90.35019
10903,ANAND,SC,High,0.4079221,99.59208
10903,ANAND,ST,High,33.91322,66.086784
10903,ANAND,Overall,High,0.27928382,99.72071
10904,ARAVALLI,General,High,0.99972326,99.000275
10904,ARAVALLI,OBC,High,0.440674,99.559326
10904,ARAVALLI,SC,High,0.25901142,99.74099
10904,ARAVALLI,ST,High,1.3638978,98.6361
10905,BANASKANTHA,General,High,0.7614361,99.23856
10905,BANASKANTHA,OBC,High,0.4053549,99.59465
10905,BANASKANTHA,SC,High,3.462974,96.537025
10905,BANASKANTHA,ST,High,0.10796388,99.892044
10905,BANASKANTHA,Overall,High,0.058800157,99.94121
10906,BHARUCH,General,High,1.9587395,98.04125
10906,BHARUCH,OBC,High,1.4627638,98.53724
10906,BHARUCH,SC,High,0.24326643,99.756744
10906,BHARUCH,ST,High,9.350266,90.64973
10906,BHARUCH,Overall,High,1.4958422,98.50416
10907,BHAVNAGAR,General,High,0.29312453,99.70688
10907,BHAVNAGAR,OBC,High,1.5035537,98.496445
10907,BHAVNAGAR,SC,High,0.35358036,99.646416
10907,BHAVNAGAR,ST,High,2.923507,97.07649
10907,BHAVNAGAR,Overall,High,28.380808,71.61919
10908,BOTAD,General,High,49.447365,50.552643
10908,BOTAD,OBC,High,0.40525365,99.59476
10908,BOTAD,SC,High,0.23008072,99.76992
10908,BOTAD,ST,High,0.51252633,99.48748
10908,BOTAD,Overall,High,0.5731556,99.42684
