DNo,Location,Social Category,Income,dropout,snr_Overall_social_category,snr_Overall_income
10011,VISAKHAPATNAM,General,High,1,0.059810420498251915,99.94019269943237
10011,VISAKHAPATNAM,OBC,High,1,0.00015353843991761096,99.99984502792358
10011,VISAKHAPATNAM,SC,High,1,21.564881503582,78.43512296676636
10011,VISAKHAPATNAM,ST,High,1,7.978352982718206e-05,99.99991655349731
10011,VISAKHAPATNAM,Overall,High,0,81.33489042520523,18.66511106491089
10012,VIZIANAGARAM,General,High,1,9.164095260416616e-07,100.0
10012,VIZIANAGARAM,OBC,High,1,0.5339106544852257,99.46609139442444
10012,VIZIANAGARAM,SC,High,1,0.20641966257244349,99.79357719421387
10012,VIZIANAGARAM,ST,High,1,4.959603771567345,95.04039883613586
10012,VIZIANAGARAM,Overall,High,1,0.1626838813535869,99.83731508255005
10013,WESTGODAVARI,General,High,1,0.07678377442061901,99.92321729660034
10013,WESTGODAVARI,OBC,High,1,3.360979690114618e-05,99.99996423721313
10013,WESTGODAVARI,SC,High,1,0.6057565566152334,99.39424395561218
10013,WESTGODAVARI,ST,High,1,0.12434822274371982,99.87565279006958
10013,WESTGODAVARI,Overall,High,1,0.17322279745712876,99.82677698135376
10101,ArunachalPradesh,General,High,1,0.000537501819053432,99.99946355819702
10101,ArunachalPradesh,SC,High,0,88.95367830991745,11.04632019996643
10101,ArunachalPradesh,ST,High,0,80.89867830276489,19.101321697235107
10101,ArunachalPradesh,OBC,High,1,3.8237344473600388,96.17626070976257
10201,BAJALI,General,High,1,0.25448978412896395,99.74550604820251
10201,BAJALI,OBC,High,1,0.002749737905105576,99.99724626541138
10201,BAJALI,SC,High,1,0.15257550403475761,99.84741806983948
10201,BAJALI,ST,High,1,0.0006559858320542844,99.99934434890747
10201,BAJALI,Overall,High,1,0.30337884090840816,99.69661831855774
10202,BAKSA,General,Low,1,0.00046199156713555567,99.99953508377075
10202,BAKSA,OBC,Low,1,0.017500646936241537,99.98250603675842
10202,BAKSA,SC,Low,1,0.030391974723897874,99.9696135520935
10202,BAKSA,ST,Low,1,1.7248753181320353e-05,99.99998807907104
10202,BAKSA,Overall,Low,1,0.2675180556252599,99.73248243331909
10203,BARPETA,General,High,0,79.8694297671318,20.130568742752075
10203,BARPETA,OBC,High,1,0.3395664971321821,99.6604323387146
10203,BARPETA,SC,High,1,3.2375894486904144,96.76240682601929
10203,BARPETA,ST,High,1,30.68026602268219,69.31973099708557
10203,BARPETA,Overall,High,1,48.86784255504608,51.13215446472168
10204,BISWANATH,General,High,1,0.001757850441208575,99.9982476234436
10204,BISWANATH,OBC,High,1,9.395221809427312e-05,99.99990463256836
10204,BISWANATH,SC,High,1,0.0191781364264898,99.98082518577576
10204,BISWANATH,ST,High,1,0.07247342728078365,99.9275267124176
10204,BISWANATH,Overall,High,0,81.33489042520523,18.66511106491089
10205,BONGAIGAON,General,High,1,0.0020113977370783687,99.99798536300659
10205,BONGAIGAON,OBC,High,1,0.03522449696902186,99.96477365493774
10205,BONGAIGAON,SC,High,0,81.33489042520523,18.66511106491089
10205,BONGAIGAON,ST,High,1,0.0134710906422697,99.98652935028076
10205,BONGAIGAON,Overall,High,1,0.0002982994601552491,99.99970197677612
10206,CACHAR,General,Low,1,3.784982141041837e-05,99.99996423721313
