,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
91,12419,OBC,0,1,1,1,2,0,4,0,4,KHURDHA
92,12419,Overall,0,0,0,0,2,0,1,1,1,KHURDHA
93,12419,SC,2,1,2,4,0,4,2,4,0,KHURDHA
94,12419,ST,0,0,0,1,3,3,3,1,2,KHURDHA
95,12420,General,0,4,2,1,2,2,2,1,3,KORAPUT
96,12420,OBC,0,1,1,1,0,0,4,1,4,KORAPUT
97,12420,Overall,0,0,1,2,4,4,1,1,1,KORAPUT
98,12420,SC,2,1,2,0,3,2,2,4,0,KORAPUT
99,12420,ST,0,0,1,0,4,4,4,4,4,KORAPUT
100,12421,General,0,4,2,1,4,1,2,1,3,MALKANGIRI
101,12421,OBC,0,1,1,3,2,3,0,1,1,MALKANGIRI
102,12421,Overall,0,2,1,2,1,2,1,1,1,MALKANGIRI
103,12421,SC,2,1,2,0,3,2,2,4,0,MALKANGIRI
104,12421,ST,0,2,1,0,2,1,4,4,4,MALKANGIRI
105,12422,General,0,4,2,0,4,1,3,1,0,MAYURBHANJ
106,12422,OBC,0,1,1,1,0,0,0,1,1,MAYURBHANJ
107,12422,Overall,0,2,1,2,1,2,1,1,1,MAYURBHANJ
108,12422,SC,1,1,1,2,1,1,2,0,2,MAYURBHANJ
109,12422,ST,0,2,1,0,2,1,4,4,4,MAYURBHANJ
110,12423,General,0,4,2,0,4,1,2,1,1,NABARANGPUR
111,12423,OBC,2,1,1,3,4,3,0,1,1,NABARANGPUR
112,12423,Overall,0,2,1,2,4,4,2,1,2,NABARANGPUR
113,12423,SC,1,1,1,0,3,2,2,0,2,NABARANGPUR
114,12423,ST,0,2,1,0,4,4,4,4,4,NABARANGPUR
115,12424,General,0,2,2,0,4,1,2,1,1,NAYAGARH
116,12424,OBC,2,1,1,0,0,0,0,1,1,NAYAGARH
117,12424,Overall,2,2,1,0,2,0,2,2,2,NAYAGARH
118,12424,SC,1,1,1,2,1,1,1,0,2,NAYAGARH
119,12424,ST,2,2,1,3,1,0,4,4,4,NAYAGARH
120,12425,General,1,2,2,0,0,1,2,1,1,NUAPADA
121,12425,OBC,2,1,1,3,4,3,2,4,3,NUAPADA
122,12425,Overall,2,2,1,2,4,4,2,2,2,NUAPADA
123,12425,SC,1,1,1,2,1,1,1,0,2,NUAPADA
124,12425,ST,2,2,1,0,4,4,2,3,1,NUAPADA
125,12426,General,1,2,2,0,0,1,2,1,1,PURI
126,12426,OBC,2,3,1,3,0,3,0,1,1,PURI
127,12426,Overall,2,2,1,0,2,0,2,2,2,PURI
128,12426,SC,1,0,1,2,1,1,1,0,2,PURI
129,12426,ST,2,2,1,3,1,0,2,3,1,PURI
130,12427,General,1,2,4,0,0,1,2,1,1,RAYAGADA
131,12427,OBC,2,3,3,0,0,2,2,4,3,RAYAGADA
132,12427,Overall,2,4,3,2,1,4,2,2,2,RAYAGADA
133,12427,SC,1,0,1,2,1,1,1,0,2,RAYAGADA
134,12427,ST,2,4,3,0,4,4,2,3,1,RAYAGADA
135,12428,General,1,2,4,0,0,1,4,1,1,SAMBALPUR
136,12428,OBC,2,3,3,0,0,2,2,4,3,SAMBALPUR
137,12428,Overall,2,4,3,0,2,0,2,2,2,SAMBALPUR
138,12428,SC,1,0,1,2,1,1,1,0,2,SAMBALPUR
139,12428,ST,2,4,3,0,1,0,2,3,1,SAMBALPUR
140,12429,General,1,2,4,0,0,1,4,1,1,SONEPUR
141,12429,OBC,2,3,3,0,0,2,2,4,3,SONEPUR
142,12429,Overall,2,4,3,0,2,0,2,2,2,SONEPUR
143,12429,SC,1,0,1,2,1,1,1,0,2,SONEPUR
144,12429,ST,2,4,3,0,1,0,2,3,1,SONEPUR
145,12430,General,1,2,4,0,0,1,4,1,1,SUNDERGARH
146,12430,OBC,2,3,3,0,0,2,2,4,3,SUNDERGARH
147,12430,Overall,2,4,3,0,2,0,2,2,2,SUNDERGARH
148,12430,SC,4,0,4,2,1,1,1,0,2,SUNDERGARH
149,12430,ST,2,4,3,0,1,0,2,3,1,SUNDERGARH
