Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo
KALBURGI,SC,0.0,0.0,0.0,0.0,0.44,0.1,13.57,19.49,16.74,11419
KALBURGI,ST,0.0,0.0,0.0,2.3,0.0,0.72,11.03,3.23,6.75,11419
KALBURGI,Overall,0.0,0.0,0.0,0.25,0.73,0.5,15.19,20.11,17.78,11419
KODAGU,General,17.92,17.18,17.51,12.72,1.44,6.17,0.0,9.29,5.67,11420
KODAGU,OBC,0.0,0.0,0.0,0.0,0.95,0.41,15.8,18.6,17.22,11420
KODAGU,SC,0.0,0.0,0.0,1.89,0.0,0.2,15.58,19.5,17.54,11420
KODAGU,ST,0.38,0.0,0.0,3.48,3.84,3.66,25.92,30.48,28.07,11420
KODAGU,Overall,0.0,0.0,0.0,1.16,1.03,1.09,16.55,19.54,18.07,11420
KOLAR,General,0.0,0.0,0.0,5.38,11.96,8.93,0.0,0.0,0.0,11421
KOLAR,OBC,0.0,0.0,0.0,1.59,1.66,1.62,13.53,22.42,18.1,11421
KOLAR,SC,0.0,0.0,0.0,1.02,0.01,0.5,10.94,23.4,17.27,11421
KOLAR,ST,0.0,0.0,0.0,1.78,1.17,1.47,8.14,7.65,7.88,11421
KOLAR,Overall,0.0,0.0,0.0,1.55,1.51,1.53,11.61,20.81,16.33,11421
KOPPAL,General,6.95,11.14,9.15,1.88,3.64,2.82,0.0,0.0,0.0,11422
KOPPAL,OBC,0.02,0.62,0.33,1.82,1.82,1.82,17.45,19.57,18.56,11422
KOPPAL,SC,0.29,0.96,0.64,1.74,1.52,1.63,20.19,18.45,19.25,11422
KOPPAL,ST,0.9,0.88,0.89,2.73,0.92,1.82,18.01,17.05,17.52,11422
KOPPAL,Overall,0.32,0.93,0.63,1.93,1.68,1.8,17.69,18.22,17.97,11422
MANDYA,General,4.64,4.37,4.49,2.72,0.0,0.48,32.5,39.69,36.57,11423
MANDYA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,20.88,27.66,24.44,11423
MANDYA,SC,0.0,0.0,0.0,0.0,0.92,0.32,18.56,26.44,22.61,11423
MANDYA,ST,4.63,1.81,3.17,3.79,4.0,3.9,6.24,21.09,14.16,11423
MANDYA,Overall,0.0,0.0,0.0,0.04,0.0,0.0,20.5,27.66,24.25,11423
MYSURU,General,2.21,1.65,1.91,8.61,8.49,8.55,11.72,22.0,17.3,11424
MYSURU,OBC,0.0,0.0,0.0,0.0,0.0,0.0,7.06,14.22,10.74,11424
MYSURU,SC,0.0,0.0,0.0,0.42,0.05,0.24,5.31,8.89,7.11,11424
MYSURU,ST,0.0,0.0,0.0,1.23,1.22,1.22,15.81,17.93,16.89,11424
MYSURU,Overall,0.0,0.0,0.0,0.0,0.0,0.0,8.05,14.22,11.21,11424
RAICHUR,General,0.0,1.39,0.42,8.02,10.33,9.25,26.9,42.77,35.8,11425
RAICHUR,OBC,0.05,0.28,0.17,0.48,1.02,0.75,20.88,20.11,20.49,11425
