,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
0,General,16.791818181818183,8.792727272727275,11.026363636363635,13.982727272727272,13.495454545454544,10.24,15.159999999999998,19.717272727272725,17.915454545454544,12206.0,23.2146169,92.8687612
1,OBC,19.59181818181818,13.484545454545453,15.938181818181818,12.904545454545454,10.417272727272728,10.256363636363636,0.0,0.0,0.0,12206.0,23.2146169,92.8687612
2,Overall,4.988181818181818,6.22,5.615454545454545,3.3154545454545454,4.475454545454546,3.9063636363636363,19.23090909090909,21.775454545454547,20.43909090909091,12206.0,23.2146169,92.8687612
3,SC,13.162727272727272,14.574545454545454,13.995454545454544,14.410909090909088,14.462727272727273,14.756363636363636,5.46,15.67090909090909,14.403636363636364,12206.0,23.2146169,92.8687612
4,ST,5.0236363636363635,5.882727272727272,5.469090909090909,3.2427272727272727,4.466363636363637,3.8490909090909096,18.752727272727274,21.158181818181816,19.89181818181818,12206.0,23.2146169,92.8687612
