Location,Caste,PB,PG,PO,UB,UG,UO,SB,SG,SO
,General,,,,,,,,,
,OBC,,,,,,,,,
,SC,,,,,,,,,
,ST,,,,,,,,,
,Overall,,,,,,,,,
