,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
120,Tamil Nadu,129,OBC,0,1,2,0,2,3,2,4,1
121,Tamil Nadu,129,Overall,4,4,4,2,0,2,2,3,3
122,Tamil Nadu,129,ST,2,4,4,4,2,0,4,1,2
123,Tamil Nadu,129,General,2,2,2,0,1,4,2,2,2
124,Tamil Nadu,129,SC,2,2,4,3,2,2,2,1,2
