,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,Location
0,General,0.0,0.0,0.0,1.526923076923077,1.9569230769230768,1.7515384615384615,5.518461538461538,7.255384615384615,6.438461538461539,10707.0,28.6273928,77.1716954,Delhi
1,OBC,1.0292307692307692,0.0,0.047692307692307694,0.0,0.0,0.0,0.047692307692307694,0.0,0.0,10707.0,28.6273928,77.1716954,Delhi
2,Overall,0.0,0.0,0.0,0.6038461538461539,0.6661538461538462,0.6361538461538461,3.6946153846153846,5.363846153846154,4.512307692307692,10707.0,28.6273928,77.1716954,Delhi
3,SC,0.10307692307692308,0.022307692307692306,0.06076923076923077,0.14615384615384613,0.3169230769230769,0.030000000000000002,0.803076923076923,2.7023076923076923,1.5192307692307692,10707.0,28.6273928,77.1716954,Delhi
4,ST,0.8792307692307693,1.2246153846153847,0.7515384615384615,1.8353846153846154,0.2730769230769231,0.2569230769230769,3.256153846153846,6.873076923076923,3.4353846153846153,10707.0,28.6273928,77.1716954,Delhi
