Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
PAURI,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.74,2.41,3.05,13308,30.06424,78.73122,30.06424,78.73122
PAURI,ST,0.0,4.1,1.34,0.0,6.32,1.12,12.73,20.78,17.42,13308,30.06424,78.73122,30.06424,78.73122
PAURI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.34,3.75,3.55,13308,30.06424,78.73122,30.06424,78.73122
PITHORAGARH,General,0.47,0.0,0.0,1.25,0.45,0.8,0.0,0.73,0.0,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,OBC,9.39,7.17,8.21,0.0,5.36,2.76,8.05,10.36,9.28,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,SC,0.0,0.0,0.0,0.49,0.0,0.1,0.74,0.55,0.64,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,ST,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.0,2.8,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,Overall,0.36,0.0,0.0,0.6,0.55,0.57,1.13,2.03,1.62,13309,29.55596,80.23107,29.55596,80.23107
RUDRAPRAYAG,General,4.61,2.25,3.38,1.64,3.02,2.36,4.33,3.04,3.67,13310,30.0417376,79.089691,30.0417376,79.089691
RUDRAPRAYAG,OBC,0.0,0.0,0.0,0.0,14.29,3.76,21.25,16.87,19.02,13310,30.0417376,79.089691,30.0417376,79.089691
RUDRAPRAYAG,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.27,13310,30.0417376,79.089691,30.0417376,79.089691
RUDRAPRAYAG,ST,0.0,0.0,0.0,27.27,0.0,0.0,33.33,0.0,0.0,13310,30.0417376,79.089691,30.0417376,79.089691
RUDRAPRAYAG,Overall,2.84,0.57,1.66,0.54,1.78,1.19,4.39,1.68,2.99,13310,30.0417376,79.089691,30.0417376,79.089691
TEHRI GARHWAL,General,3.39,1.72,2.52,4.63,4.72,4.67,5.23,5.22,5.23,13311,30.0417376,79.089691,30.0417376,79.089691
TEHRI GARHWAL,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.54,1.49,2.55,13311,30.0417376,79.089691,30.0417376,79.089691
TEHRI GARHWAL,SC,0.0,0.0,0.0,0.0,0.0,0.0,4.27,5.08,4.68,13311,30.0417376,79.089691,30.0417376,79.089691
TEHRI GARHWAL,ST,0.0,15.45,0.0,0.0,43.75,26.25,0.0,0.0,0.0,13311,30.0417376,79.089691,30.0417376,79.089691
TEHRI GARHWAL,Overall,1.37,0.29,0.81,2.01,2.3,2.16,4.68,4.46,4.57,13311,30.0417376,79.089691,30.0417376,79.089691
UDHAM SINGH NAGAR,General,1.19,1.82,1.54,0.35,3.08,1.87,6.95,8.66,7.9,13312,30.0417376,79.089691,30.0417376,79.089691
UDHAM SINGH NAGAR,OBC,0.0,1.76,0.63,1.56,3.78,2.69,11.02,13.32,12.18,13312,30.0417376,79.089691,30.0417376,79.089691
UDHAM SINGH NAGAR,SC,1.45,1.41,1.42,6.22,8.37,7.34,13.27,14.55,13.92,13312,30.0417376,79.089691,30.0417376,79.089691
UDHAM SINGH NAGAR,ST,0.0,0.0,0.0,3.5,6.33,4.96,10.63,9.44,10.02,13312,30.0417376,79.089691,30.0417376,79.089691
UDHAM SINGH NAGAR,Overall,0.17,1.59,0.93,2.28,4.62,3.51,10.12,11.6,10.89,13312,30.0417376,79.089691,30.0417376,79.089691
UTTARKASHI,General,14.13,12.69,13.36,16.18,18.96,17.7,9.2,11.54,10.51,13313,30.72986,78.44342,30.72986,78.44342
UTTARKASHI,OBC,1.28,0.0,0.55,0.56,0.0,0.0,6.29,3.59,4.91,13313,30.72986,78.44342,30.72986,78.44342
UTTARKASHI,SC,2.26,1.5,1.86,0.0,0.0,0.0,6.28,6.75,6.52,13313,30.72986,78.44342,30.72986,78.44342
UTTARKASHI,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13313,30.72986,78.44342,30.72986,78.44342
UTTARKASHI,Overall,2.77,1.48,2.1,1.11,0.0,0.33,6.28,4.84,5.54,13313,30.72986,78.44342,30.72986,78.44342
