,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
140,Uttarakhand,133,OBC,0,1,2.0,0,2,3.0,2,4,1.0
141,Uttarakhand,133,SC,2,2,4.0,3,2,2.0,2,1,2.0
142,Uttarakhand,133,Overall,4,4,,2,0,,2,3,
143,Uttarakhand,133,ST,2,4,4.0,1,2,0.0,4,1,2.0
144,Uttarakhand,133,General,2,2,2.0,0,1,4.0,2,2,2.0
