Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
BHOPAL,SC,2.66,1.9,2.26,7.28,7.76,7.52,4.09,3.73,3.91,11809,23.2584857,77.401989,23.2584857,77.401989
BHOPAL,ST,8.18,7.6,7.87,9.45,8.7,9.05,9.71,8.93,9.31,11809,23.2584857,77.401989,23.2584857,77.401989
BHOPAL,Overall,3.52,3.55,3.54,8.01,8.05,8.04,4.39,4.84,4.62,11809,23.2584857,77.401989,23.2584857,77.401989
BURHANPUR,General,7.56,6.69,7.11,12.0,9.34,10.6,12.75,19.01,16.48,11810,21.3118839,76.2291992,21.3118839,76.2291992
BURHANPUR,OBC,0.3,2.46,1.44,6.01,6.83,6.44,8.01,9.03,8.55,11810,21.3118839,76.2291992,21.3118839,76.2291992
BURHANPUR,SC,6.39,2.61,4.46,5.01,10.13,7.77,11.83,13.63,12.8,11810,21.3118839,76.2291992,21.3118839,76.2291992
BURHANPUR,ST,1.19,4.56,2.98,15.99,16.1,16.05,18.98,24.17,21.97,11810,21.3118839,76.2291992,21.3118839,76.2291992
BURHANPUR,Overall,1.77,3.55,2.71,9.49,10.29,9.92,11.49,14.64,13.23,11810,21.3118839,76.2291992,21.3118839,76.2291992
CHHATARPUR,General,0.0,0.0,0.0,0.06,0.0,0.0,9.84,13.31,11.71,11811,23.0648873,78.9278127,23.0648873,78.9278127
CHHATARPUR,OBC,0.0,1.34,0.0,4.72,5.3,5.03,17.42,17.05,17.22,11811,23.0648873,78.9278127,23.0648873,78.9278127
CHHATARPUR,SC,0.0,0.04,0.0,9.38,8.32,8.81,16.93,14.05,15.36,11811,23.0648873,78.9278127,23.0648873,78.9278127
CHHATARPUR,ST,0.0,0.0,0.0,15.41,22.02,18.92,50.54,40.79,45.28,11811,23.0648873,78.9278127,23.0648873,78.9278127
CHHATARPUR,Overall,0.0,0.67,0.0,5.99,5.78,5.88,17.06,16.41,16.71,11811,23.0648873,78.9278127,23.0648873,78.9278127
CHHINDWARA,General,0.95,0.0,0.0,1.11,7.13,4.3,3.72,5.88,4.85,11812,22.0578244,78.9386203,22.0578244,78.9386203
CHHINDWARA,OBC,0.29,0.77,0.53,3.02,2.26,2.63,6.1,7.95,7.04,11812,22.0578244,78.9386203,22.0578244,78.9386203
CHHINDWARA,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.27,4.61,3.94,11812,22.0578244,78.9386203,22.0578244,78.9386203
CHHINDWARA,ST,0.61,1.73,1.19,7.86,7.32,7.59,12.25,15.87,14.07,11812,22.0578244,78.9386203,22.0578244,78.9386203
CHHINDWARA,Overall,0.0,0.48,0.22,4.63,4.47,4.55,8.04,10.54,9.31,11812,22.0578244,78.9386203,22.0578244,78.9386203
DAMOH,General,5.6,7.87,6.77,4.19,7.55,5.94,1.73,3.2,2.52,11813,23.8395678,79.4444361,23.8395678,79.4444361
DAMOH,OBC,1.39,2.33,1.87,3.96,3.52,3.73,7.76,7.3,7.52,11813,23.8395678,79.4444361,23.8395678,79.4444361
DAMOH,SC,0.6,2.04,1.33,8.48,7.49,7.96,11.82,9.4,10.52,11813,23.8395678,79.4444361,23.8395678,79.4444361
DAMOH,ST,0.02,0.0,0.0,14.35,13.49,13.92,16.79,22.48,19.84,11813,23.8395678,79.4444361,23.8395678,79.4444361
DAMOH,Overall,1.34,2.31,1.83,6.58,6.21,6.39,8.94,8.93,8.93,11813,23.8395678,79.4444361,23.8395678,79.4444361
DATIA,General,8.41,11.01,9.85,9.96,11.32,10.7,3.79,7.92,6.15,11814,25.6650399,78.4586499,25.6650399,78.4586499
DATIA,OBC,1.73,2.59,2.19,11.09,9.51,10.26,9.06,8.4,8.68,11814,25.6650399,78.4586499,25.6650399,78.4586499
DATIA,SC,0.0,0.71,0.06,6.42,4.92,5.62,11.28,7.72,9.28,11814,25.6650399,78.4586499,25.6650399,78.4586499
DATIA,ST,0.0,0.0,0.0,9.59,21.49,15.66,11.76,12.58,12.33,11814,25.6650399,78.4586499,25.6650399,78.4586499
DATIA,Overall,1.62,2.93,2.32,9.6,8.68,9.11,9.02,8.19,8.55,11814,25.6650399,78.4586499,25.6650399,78.4586499
DEWAS,General,3.65,4.0,3.84,5.74,3.64,4.63,16.27,7.31,11.6,11815,22.4181355,77.0261011,22.4181355,77.0261011
DEWAS,OBC,4.35,5.44,4.93,7.93,7.68,7.8,12.63,11.74,12.14,11815,22.4181355,77.0261011,22.4181355,77.0261011
DEWAS,SC,0.0,0.13,0.0,2.29,1.38,1.83,5.87,8.52,7.35,11815,22.4181355,77.0261011,22.4181355,77.0261011
DEWAS,ST,0.0,0.0,0.0,9.41,9.75,9.58,22.15,15.57,18.74,11815,22.4181355,77.0261011,22.4181355,77.0261011
DEWAS,Overall,1.19,2.75,2.0,6.82,6.33,6.56,13.92,11.15,12.43,11815,22.4181355,77.0261011,22.4181355,77.0261011
DHAR,General,5.62,1.71,3.54,9.33,2.92,5.9,19.03,9.16,13.72,11816,23.8143419,77.5340719,23.8143419,77.5340719
DHAR,OBC,1.34,1.35,1.35,6.4,6.68,6.55,10.17,3.09,6.35,11816,23.8143419,77.5340719,23.8143419,77.5340719
DHAR,SC,0.0,0.0,0.0,9.66,6.24,7.88,13.7,5.91,9.42,11816,23.8143419,77.5340719,23.8143419,77.5340719
DHAR,ST,3.82,5.19,4.53,13.88,14.6,14.26,12.57,16.88,14.86,11816,23.8143419,77.5340719,23.8143419,77.5340719
DHAR,Overall,2.91,3.59,3.27,11.52,11.16,11.33,12.73,11.69,12.17,11816,23.8143419,77.5340719,23.8143419,77.5340719
DINDORI,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,5.42,11817,22.87146,81.02335,22.87146,81.02335
