,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
0,General,4.687733333333333,3.9541333333333335,4.283866666666667,4.161333333333333,2.6293333333333333,3.1846666666666668,8.8876,8.458533333333333,8.564266666666667,13238.0,27.1303344,80.859666
1,OBC,3.0218666666666665,2.7496,2.840133333333333,5.0141333333333336,2.9377333333333335,3.757066666666667,10.4056,9.422933333333333,9.844666666666667,13238.0,27.1303344,80.859666
2,Overall,2.997733333333333,2.7572,2.808666666666667,5.4850666666666665,3.3084,4.2184,10.134400000000001,9.439333333333334,9.761733333333334,13238.0,27.1303344,80.859666
3,SC,3.472266666666667,3.4719999999999995,3.4514666666666667,9.071333333333333,6.677066666666667,7.7434666666666665,10.513733333333333,10.427333333333333,10.481866666666667,13238.0,27.1303344,80.859666
4,ST,4.856533333333333,4.911333333333332,4.779866666666667,12.507333333333333,11.8056,11.328933333333334,21.997333333333334,22.9724,21.200533333333333,13238.0,27.1303344,80.859666
