,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
135,Uttar Pradesh,132,General,2,2,2,0,1,4,2,2,2
136,Uttar Pradesh,132,OBC,0,1,2,0,2,3,2,4,1
137,Uttar Pradesh,132,SC,2,2,4,3,2,2,2,1,2
138,Uttar Pradesh,132,ST,2,4,4,4,1,0,3,1,2
139,Uttar Pradesh,132,Overall,4,4,4,2,0,2,2,3,3
